"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kwak1269-1-one-1","numerals-kwak1269-1","Chan2019","one",1,"nˀəm","nam","","false",NA,NA,NA
"2","numerals-kwak1269-1-two-1","numerals-kwak1269-1","Chan2019","two",2,"maʔɬ","mal","","false",NA,NA,NA
"3","numerals-kwak1269-1-three-1","numerals-kwak1269-1","Chan2019","three",3,"yudəxʷ","yudaxw","","false",NA,NA,NA
"4","numerals-kwak1269-1-four-1","numerals-kwak1269-1","Chan2019","four",4,"mu","mu","","false",NA,NA,NA
"5","numerals-kwak1269-1-five-1","numerals-kwak1269-1","Chan2019","five",5,"səkʼa","saka","","false",NA,NA,NA
"6","numerals-kwak1269-1-six-1","numerals-kwak1269-1","Chan2019","six",6,"qʼəƛʼa","qala","","false",NA,NA,NA
"7","numerals-kwak1269-1-seven-1","numerals-kwak1269-1","Chan2019","seven",7,"ʔəƛəbu","alabu","","false",NA,NA,NA
"8","numerals-kwak1269-1-eight-1","numerals-kwak1269-1","Chan2019","eight",8,"məʔɬɡʷənəɬ","malgwanal","","false",NA,NA,NA
"9","numerals-kwak1269-1-nine-1","numerals-kwak1269-1","Chan2019","nine",9,"nˀanˀəma","nanama","","false",NA,NA,NA
"10","numerals-kwak1269-1-ten-1","numerals-kwak1269-1","Chan2019","ten",10,"ləʔəstu","laastu","","false",NA,NA,NA
"11","numerals-kwak1269-1-eleven-1","numerals-kwak1269-1","Chan2019","eleven",11,"nˀəmaɡu","namagu","","false",NA,NA,NA
"12","numerals-kwak1269-1-twelve-1","numerals-kwak1269-1","Chan2019","twelve",12,"maʔɬaɡu","malagu","","false",NA,NA,NA
"13","numerals-kwak1269-1-thirteen-1","numerals-kwak1269-1","Chan2019","thirteen",13,"yudəxʷwəɡu","yudaxwwagu","","false",NA,NA,NA
"14","numerals-kwak1269-1-fourteen-1","numerals-kwak1269-1","Chan2019","fourteen",14,"muwaɡu","muwagu","","false",NA,NA,NA
"15","numerals-kwak1269-1-fifteen-1","numerals-kwak1269-1","Chan2019","fifteen",15,"səkʼaɡu","sakagu","","false",NA,NA,NA
"16","numerals-kwak1269-1-sixteen-1","numerals-kwak1269-1","Chan2019","sixteen",16,"qʼəƛʼaɡu","qalagu","","false",NA,NA,NA
"17","numerals-kwak1269-1-seventeen-1","numerals-kwak1269-1","Chan2019","seventeen",17,"ʔəƛəboɡu","alabogu","","false",NA,NA,NA
"18","numerals-kwak1269-1-eighteen-1","numerals-kwak1269-1","Chan2019","eighteen",18,"maʔɬɡʷənˀaɬəɡu","malgwanalagu","","false",NA,NA,NA
"19","numerals-kwak1269-1-nineteen-1","numerals-kwak1269-1","Chan2019","nineteen",19,"nˀanˀəmaɡu","nanamagu","","false",NA,NA,NA
"20","numerals-kwak1269-1-twenty-1","numerals-kwak1269-1","Chan2019","twenty",20,"məɬcəmɡusto","malcamgusto","","false",NA,NA,NA
"21","numerals-kwak1269-1-twentyone-1","numerals-kwak1269-1","Chan2019","twentyone",21,"nˀənˀəmɡ̌ola","nanamgola","","false",NA,NA,NA
"22","numerals-kwak1269-1-twentytwo-1","numerals-kwak1269-1","Chan2019","twentytwo",22,"həmaʔɬola","hamalola","","false",NA,NA,NA
"23","numerals-kwak1269-1-twentythree-1","numerals-kwak1269-1","Chan2019","twentythree",23,"həyudəxola","hayudaxola","","false",NA,NA,NA
"24","numerals-kwak1269-1-twentyfour-1","numerals-kwak1269-1","Chan2019","twentyfour",24,"həmuɡ̌ola","hamugola","","false",NA,NA,NA
"25","numerals-kwak1269-1-twentyfive-1","numerals-kwak1269-1","Chan2019","twentyfive",25,"sikʼasɡ̌əmɡ̌ola","sikasgamgola","","false",NA,NA,NA
"26","numerals-kwak1269-1-twentysix-1","numerals-kwak1269-1","Chan2019","twentysix",26,"qʼəƛʼaɡ̌ola","qalagola","","false",NA,NA,NA
"27","numerals-kwak1269-1-twentyseven-1","numerals-kwak1269-1","Chan2019","twentyseven",27,"ʔəƛəbuɡ̌ola","alabugola","","false",NA,NA,NA
"28","numerals-kwak1269-1-twentyeight-1","numerals-kwak1269-1","Chan2019","twentyeight",28,"həmʼaʔɬɡʷənˀaɬola","hamalgwanalola","","false",NA,NA,NA
"29","numerals-kwak1269-1-twentynine-1","numerals-kwak1269-1","Chan2019","twentynine",29,"nˀənˀanʼəmaɡ̌ola","nananamagola","","false",NA,NA,NA
"30","numerals-kwak1269-1-thirty-1","numerals-kwak1269-1","Chan2019","thirty",30,"yudəxʷsəmɡusto","yudaxwsamgusto","","false",NA,NA,NA
"31","numerals-kwak1269-1-forty-1","numerals-kwak1269-1","Chan2019","forty",40,"musɡ̌əmɡusto","musgamgusto","","false",NA,NA,NA
"32","numerals-kwak1269-1-fifty-1","numerals-kwak1269-1","Chan2019","fifty",50,"sayakʼəsmɡusto","sayakasmgusto","","false",NA,NA,NA
"33","numerals-kwak1269-1-sixty-1","numerals-kwak1269-1","Chan2019","sixty",60,"qʼaƛʼəsɡ̌əmɡusto","qalasgamgusto","","false",NA,NA,NA
"34","numerals-kwak1269-1-seventy-1","numerals-kwak1269-1","Chan2019","seventy",70,"ʔəƛəbusɡ̌əmɡusto","alabusgamgusto","","false",NA,NA,NA
"35","numerals-kwak1269-1-eighty-1","numerals-kwak1269-1","Chan2019","eighty",80,"maʔɬɡʷənˀaɬcəmɡusto","malgwanalcamgusto","","false",NA,NA,NA
"36","numerals-kwak1269-1-ninety-1","numerals-kwak1269-1","Chan2019","ninety",90,"nˀanˀəmasɡ̌əmɡusto","nanamasgamgusto","","false",NA,NA,NA
"37","numerals-kwak1269-1-hundred-1","numerals-kwak1269-1","Chan2019","hundred",100,"lakʼənd","lakand","","false",NA,NA,NA
"38","numerals-kwak1269-1-twohundred-1","numerals-kwak1269-1","Chan2019","twohundred",200,"maˀɬpʼənyʼaɡi","malpanyagi","","false",NA,NA,NA
"39","numerals-kwak1269-1-thousand-1","numerals-kwak1269-1","Chan2019","thousand",1000,"luxʷsəmxˀid","luxwsamxid","","false",NA,NA,NA
"40","numerals-kwak1269-1-twothousand-1","numerals-kwak1269-1","Chan2019","twothousand",2000,"maˀɬpʼənxˀid","malpanxid","","false",NA,NA,NA
