,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-nimo1246-3-one-1,barlowpacific-nimo1246-3,Barlow2024,one,1,ho-tia ,hotia,,FALSE,{?}1,,
2,barlowpacific-nimo1246-3-two-1,barlowpacific-nimo1246-3,Barlow2024,two,2,ho-iwo ,hoiwo,sihe- may replace ho-,FALSE,{?}2,,
3,barlowpacific-nimo1246-3-three-1,barlowpacific-nimo1246-3,Barlow2024,three,3,ho-tuwun ,hotuwun,sihe- may replace ho-,FALSE,{?}3,,
4,barlowpacific-nimo1246-3-four-1,barlowpacific-nimo1246-3,Barlow2024,four,4,ho-pat ,hopat,sihe- may replace ho-,FALSE,{?}4,,
5,barlowpacific-nimo1246-3-five-1,barlowpacific-nimo1246-3,Barlow2024,five,5,ho-limi ,holimi,sihe- may replace ho-,FALSE,{?}5,,
6,barlowpacific-nimo1246-3-six-1,barlowpacific-nimo1246-3,Barlow2024,six,6,ho-wone ,howone,sihe- may replace ho-,FALSE,{?}6,,
7,barlowpacific-nimo1246-3-seven-1,barlowpacific-nimo1246-3,Barlow2024,seven,7,ho-pik ,hopik,sihe- may replace ho-,FALSE,{?}7,,
8,barlowpacific-nimo1246-3-eight-1,barlowpacific-nimo1246-3,Barlow2024,eight,8,ho wan ,howan,sihe- may replace ho-,FALSE,{?}8,,
9,barlowpacific-nimo1246-3-nine-1,barlowpacific-nimo1246-3,Barlow2024,nine,9,ho-siwo ,hosiwo,sihe- may replace ho-,FALSE,{?}9,,
10,barlowpacific-nimo1246-3-ten-1,barlowpacific-nimo1246-3,Barlow2024,ten,10,sia-wate ,siawate,,FALSE,10[⋅]1′,,
11,barlowpacific-nimo1246-3-twenty-1,barlowpacific-nimo1246-3,Barlow2024,twenty,20,sio-iwo ,sioiwo,,FALSE,10′[⋅]2,,
12,barlowpacific-nimo1246-3-thirty-1,barlowpacific-nimo1246-3,Barlow2024,thirty,30,sio-tuwun ,siotuwun,,FALSE,10′[⋅]3,,
13,barlowpacific-nimo1246-3-forty-1,barlowpacific-nimo1246-3,Barlow2024,forty,40,sio-pat ,siopat,,FALSE,10′[⋅]4,,
14,barlowpacific-nimo1246-3-fifty-1,barlowpacific-nimo1246-3,Barlow2024,fifty,50,sio-limi ,siolimi,,FALSE,10′[⋅]5,,
15,barlowpacific-nimo1246-3-sixty-1,barlowpacific-nimo1246-3,Barlow2024,sixty,60,sio-wone ,siowone,,FALSE,10′[⋅]6,,
16,barlowpacific-nimo1246-3-seventy-1,barlowpacific-nimo1246-3,Barlow2024,seventy,70,sio-pik ,siopik,,FALSE,10′[⋅]7,,
17,barlowpacific-nimo1246-3-eighty-1,barlowpacific-nimo1246-3,Barlow2024,eighty,80,sio-wan ,siowan,,FALSE,10′[⋅]8,,
18,barlowpacific-nimo1246-3-ninety-1,barlowpacific-nimo1246-3,Barlow2024,ninety,90,sio-siwo ,siosiwo,,FALSE,10′[⋅]9,,
19,barlowpacific-nimo1246-3-hundred-1,barlowpacific-nimo1246-3,Barlow2024,hundred,100,bumsanak ,bumsanak,,FALSE,100,,
