,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-arop1243-1-one-1,numerals-arop1243-1,Chan2019,one,1,'ɑ.tu,atu,,FALSE,1,,
2,numerals-arop1243-1-two-1,numerals-arop1243-1,Chan2019,two,2,'ru,ru,,FALSE,2,,
3,numerals-arop1243-1-three-1,numerals-arop1243-1,Chan2019,three,3,'toɭ,tol,,FALSE,3,,
4,numerals-arop1243-1-four-1,numerals-arop1243-1,Chan2019,four,4,'pɑi,pai,,FALSE,4,,
5,numerals-arop1243-1-five-1,numerals-arop1243-1,Chan2019,five,5,'li.mi,limi,,FALSE,5,,
6,numerals-arop1243-1-six-1,numerals-arop1243-1,Chan2019,six,6,'li.mi 'bɛ 'ɑ.tu,limibeatu,( 5 + 1 ),FALSE,5{and}+1,,
7,numerals-arop1243-1-seven-1,numerals-arop1243-1,Chan2019,seven,7,'li.mi 'bɛ 'ru,limiberu,( 5 + 2 ),FALSE,5{and}+2,,
8,numerals-arop1243-1-eight-1,numerals-arop1243-1,Chan2019,eight,8,'li.mi 'bɛ 'toɭ,limibetol,( 5 + 3 ),FALSE,5{and}+3,,
9,numerals-arop1243-1-nine-1,numerals-arop1243-1,Chan2019,nine,9,'li.mi 'bɛ 'pɑi,limibepai,( 5 + 4 ),FALSE,5{and}+4,,
10,numerals-arop1243-1-ten-1,numerals-arop1243-1,Chan2019,ten,10,sɑ.'ŋɑu.uɭ,sangauul,,FALSE,10,Historically 1⋅10 (?),
11,numerals-arop1243-1-eleven-1,numerals-arop1243-1,Chan2019,eleven,11,sɑ.'ŋɑu.uɭ 'bɛ 'ɑ.tu,sangauulbeatu,,FALSE,10{and}+1,,
12,numerals-arop1243-1-twelve-1,numerals-arop1243-1,Chan2019,twelve,12,sɑ.'ŋɑu.uɭ 'bɛ 'ru,sangauulberu,,FALSE,10{and}+2,,
13,numerals-arop1243-1-thirteen-1,numerals-arop1243-1,Chan2019,thirteen,13,sɑ.'ŋɑu.uɭ 'bɛ 'toɭ,sangauulbetol,,FALSE,10{and}+3,,
14,numerals-arop1243-1-fourteen-1,numerals-arop1243-1,Chan2019,fourteen,14,sɑ.'ŋɑu.uɭ 'bɛ 'pɑi,sangauulbepai,,FALSE,10{and}+4,,
15,numerals-arop1243-1-fifteen-1,numerals-arop1243-1,Chan2019,fifteen,15,sɑ.'ŋɑu.uɭ 'bɛ 'li.mi,sangauulbelimi,,FALSE,10{and}+5,,
16,numerals-arop1243-1-sixteen-1,numerals-arop1243-1,Chan2019,sixteen,16,sɑ.'ŋɑu.uɭ 'bɛ 'li.mi 'bɛ 'ɑ.tu,sangauulbelimibeatu,,FALSE,10{and}+5{and}+1,,
17,numerals-arop1243-1-seventeen-1,numerals-arop1243-1,Chan2019,seventeen,17,sɑ.'ŋɑu.uɭ 'bɛ 'li.mi 'bɛ 'ɑ.tu,sangauulbelimibeatu,,FALSE,10{and}+5{and}+2,,
18,numerals-arop1243-1-eighteen-1,numerals-arop1243-1,Chan2019,eighteen,18,sɑ.'ŋɑu.uɭ 'bɛ 'li.mi 'bɛ 'toɭ,sangauulbelimibetol,,FALSE,10{and}+5{and}+3,,
19,numerals-arop1243-1-nineteen-1,numerals-arop1243-1,Chan2019,nineteen,19,sɑ.'ŋɑu.uɭ 'bɛ 'li.mi 'bɛ 'pɑi,sangauulbelimibepai,,FALSE,10{and}+5{and}+4,,
20,numerals-arop1243-1-twenty-1,numerals-arop1243-1,Chan2019,twenty,20,sɑ.'ŋɑu.uɭ'ru,sangauulru,,FALSE,10[⋅]2,,
21,numerals-arop1243-1-twentyone-1,numerals-arop1243-1,Chan2019,twentyone,21,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'ɑ.tu,sangauulruinbeatu,,FALSE,(10[⋅]2){and}+1,,
22,numerals-arop1243-1-twentytwo-1,numerals-arop1243-1,Chan2019,twentytwo,22,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'ru,sangauulruinberu,,FALSE,(10[⋅]2){and}+2,,
23,numerals-arop1243-1-twentythree-1,numerals-arop1243-1,Chan2019,twentythree,23,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'toɭ,sangauulruinbetol,,FALSE,(10[⋅]2){and}+3,,
24,numerals-arop1243-1-twentyfour-1,numerals-arop1243-1,Chan2019,twentyfour,24,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'pɑi,sangauulruinbepai,,FALSE,(10[⋅]2){and}+4,,
25,numerals-arop1243-1-twentyfive-1,numerals-arop1243-1,Chan2019,twentyfive,25,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'li.mi,sangauulruinbelimi,,FALSE,(10[⋅]2){and}+5,,
26,numerals-arop1243-1-twentysix-1,numerals-arop1243-1,Chan2019,twentysix,26,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'li.mi 'bɛ 'ɑ.tu,sangauulruinbelimibeatu,,FALSE,(10[⋅]2){and}+5{and}+1,,
27,numerals-arop1243-1-twentyseven-1,numerals-arop1243-1,Chan2019,twentyseven,27,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'li.mi 'bɛ 'ru,sangauulruinbelimiberu,,FALSE,(10[⋅]2){and}+5{and}+2,,
28,numerals-arop1243-1-twentyeight-1,numerals-arop1243-1,Chan2019,twentyeight,28,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'li.mi 'bɛ 'toɭ,sangauulruinbelimibetol,,FALSE,(10[⋅]2){and}+5{and}+3,,
29,numerals-arop1243-1-twentynine-1,numerals-arop1243-1,Chan2019,twentynine,29,sɑ.'ŋɑu.uɭ'ru 'in.bɛ 'li.mi 'bɛ 'pɑi,sangauulruinbelimibepai,,FALSE,(10[⋅]2){and}+5{and}+4,,
30,numerals-arop1243-1-thirty-1,numerals-arop1243-1,Chan2019,thirty,30,sɑ.'ŋɑu.uɭ 'toɭ,sangauultol,,FALSE,10[⋅]3,,
31,numerals-arop1243-1-forty-1,numerals-arop1243-1,Chan2019,forty,40,sɑ.'ŋɑu.uɭ 'pɑi,sangauulpai,,FALSE,10[⋅]4,,
32,numerals-arop1243-1-fifty-1,numerals-arop1243-1,Chan2019,fifty,50,sɑ.'ŋɑu.uɭ 'li.mi,sangauullimi,,FALSE,10[⋅]5,,
33,numerals-arop1243-1-sixty-1,numerals-arop1243-1,Chan2019,sixty,60,sɑ.'ŋɑu.uɭ 'li.mi 'bɛ 'ɑ.tu,sangauullimibeatu,,FALSE,10[⋅](5{and}+1),,
34,numerals-arop1243-1-seventy-1,numerals-arop1243-1,Chan2019,seventy,70,sɑ.'ŋɑu.uɭ 'li.mi 'bɛ 'ru,sangauullimiberu,,FALSE,10[⋅](5{and}+2),,
35,numerals-arop1243-1-eighty-1,numerals-arop1243-1,Chan2019,eighty,80,sɑ.'ŋɑu.uɭ 'li.mi 'bɛ 'toɭ,sangauullimibetol,,FALSE,10[⋅](5{and}+3),,
36,numerals-arop1243-1-ninety-1,numerals-arop1243-1,Chan2019,ninety,90,sɑ.'ŋɑu.uɭ 'li.mi 'bɛ 'pɑi,sangauullimibepai,,FALSE,10[⋅](5{and}+4),,
37,numerals-arop1243-1-hundred-1,numerals-arop1243-1,Chan2019,hundred,100,sɑ.'ŋɑu.uɭ sɑ.'ŋɑu.uɭ,sangauulsangauul,,FALSE,10[⋅]10,,
38,numerals-arop1243-1-twohundred-1,numerals-arop1243-1,Chan2019,twohundred,200,sɑ.'ŋɑu.uɭ sɑ.'ŋɑu.uɭ'ru,sangauulsangauulru,,FALSE,10[⋅]10[⋅]2,,
39,numerals-arop1243-1-thousand-1,numerals-arop1243-1,Chan2019,thousand,1000,'tɑu 'ɑ.tu,tauatu,,FALSE,1000[⋅]1,1000 borrowed from English,
