,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-hulu1246-1-one-1,numerals-hulu1246-1,Chan2019,one,1,ʔesa,esa,,FALSE,{?}1,,1
2,numerals-hulu1246-1-two-1,numerals-hulu1246-1,Chan2019,two,2,'lua,lua,,FALSE,2,,
3,numerals-hulu1246-1-three-1,numerals-hulu1246-1,Chan2019,three,3,teʔelua,teelua,,FALSE,3,,
4,numerals-hulu1246-1-four-1,numerals-hulu1246-1,Chan2019,four,4,'ʔata,ata,,FALSE,4,,
5,numerals-hulu1246-1-five-1,numerals-hulu1246-1,Chan2019,five,5,'lima,lima,,FALSE,5,,
6,numerals-hulu1246-1-six-1,numerals-hulu1246-1,Chan2019,six,6,ne'na,nena,,FALSE,6,,
7,numerals-hulu1246-1-seven-1,numerals-hulu1246-1,Chan2019,seven,7,ʔi'tu,itu,,FALSE,7,,
8,numerals-hulu1246-1-eight-1,numerals-hulu1246-1,Chan2019,eight,8,wa'lu,walu,,FALSE,8,,
9,numerals-hulu1246-1-nine-1,numerals-hulu1246-1,Chan2019,nine,9,siwa,siwa,,FALSE,9,,
10,numerals-hulu1246-1-ten-1,numerals-hulu1246-1,Chan2019,ten,10,hutu'sa,hutusa,,FALSE,10[⋅]1,,10
11,numerals-hulu1246-1-hundred-1,numerals-hulu1246-1,Chan2019,hundred,100,'ʔutu'ne,utune,,FALSE,100,Historically 100[⋅]1 (?),
12,numerals-hulu1246-1-thousand-1,numerals-hulu1246-1,Chan2019,thousand,1000,ʔu'sate,usate,,FALSE,1000,Historically 1000[⋅]1 (?),
