ID,Name,Concepticon_ID,Concepticon_Gloss
zero,ZERO,1294,ZERO
one,ONE,1493,ONE
two,TWO,1498,TWO
three,THREE,492,THREE
four,FOUR,1500,FOUR
five,FIVE,493,FIVE
six,SIX,1703,SIX
seven,SEVEN,1704,SEVEN
eight,EIGHT,1705,EIGHT
nine,NINE,1483,NINE
ten,TEN,1515,TEN
eleven,ELEVEN,1706,ELEVEN
twelve,TWELVE,1707,TWELVE
thirteen,THIRTEEN,1708,THIRTEEN
fourteen,FOURTEEN,2451,FOURTEEN
fifteen,FIFTEEN,1709,FIFTEEN
sixteen,SIXTEEN,2454,SIXTEEN
seventeen,SEVENTEEN,2453,SEVENTEEN
eighteen,EIGHTEEN,1713,EIGHTEEN
nineteen,NINETEEN,1714,NINETEEN
twenty,TWENTY,1710,TWENTY
twentyone,TWENTY ONE,1734,TWENTY ONE
twentytwo,TWENTY TWO,3166,TWENTY TWO
twentythree,TWENTY THREE,3165,TWENTY THREE
twentyfour,TWENTY FOUR,1736,TWENTY FOUR
twentyfive,TWENTY FIVE,1738,TWENTY FIVE
twentysix,TWENTY SIX,3476,TWENTY SIX
twentyseven,TWENTY SEVEN,3477,TWENTY SEVEN
twentyeight,TWENTY EIGHT,3478,TWENTY EIGHT
twentynine,TWENTY NINE,3479,TWENTY NINE
thirty,THIRTY,1715,THIRTY
thirtyone,THIRTY ONE,3480,THIRTY ONE
thirtytwo,THIRTY TWO,3481,THIRTY TWO
thirtythree,THIRTY THREE,3482,THIRTY THREE
thirtyfour,THIRTY FOUR,3483,THIRTY FOUR
thirtyfive,THIRTY FIVE,3484,THIRTY FIVE
thirtysix,THIRTY SIX,3485,THIRTY SIX
thirtyseven,THIRTY SEVEN,3486,THIRTY SEVEN
thirtyeight,THIRTY EIGHT,3487,THIRTY EIGHT
thirtynine,THIRTY NINE,3488,THIRTY NINE
forty,FORTY,1716,FORTY
fortyone,FORTY ONE,3556,FORTY ONE
fortytwo,FORTY TWO,3557,FORTY TWO
fortythree,FORTY THREE,3489,FORTY THREE
fortyfour,FORTY FOUR,3490,FORTY FOUR
fortyfive,FORTY FIVE,3491,FORTY FIVE
fortysix,FORTY SIX,3558,FORTY SIX
fortyseven,FORTY SEVEN,3559,FORTY SEVEN
fortyeight,FORTY EIGHT,3492,FORTY EIGHT
fortynine,FORTY NINE,3560,FORTY NINE
fifty,FIFTY,1717,FIFTY
fiftyone,FIFTY ONE,3561,FIFTY ONE
fiftytwo,FIFTY TWO,3562,FIFTY TWO
