"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-wuyu1234-1-one-1","numerals-wuyu1234-1","Chan2019","one",1,"i55","i55","","false",NA,NA,NA
"2","numerals-wuyu1234-1-two-1","numerals-wuyu1234-1","Chan2019","two",2,"ə55","a55","","false",NA,NA,NA
"3","numerals-wuyu1234-1-three-1","numerals-wuyu1234-1","Chan2019","three",3,"sã33","sa33","","false",NA,NA,NA
"4","numerals-wuyu1234-1-four-1","numerals-wuyu1234-1","Chan2019","four",4,"sɿ24","sr24","","false",NA,NA,NA
"5","numerals-wuyu1234-1-five-1","numerals-wuyu1234-1","Chan2019","five",5,"u3","u3","","false",NA,NA,NA
"6","numerals-wuyu1234-1-six-1","numerals-wuyu1234-1","Chan2019","six",6,"læ55","lae55","","false",NA,NA,NA
"7","numerals-wuyu1234-1-seven-1","numerals-wuyu1234-1","Chan2019","seven",7,"tsʰi55","tshi55","","false",NA,NA,NA
"8","numerals-wuyu1234-1-eight-1","numerals-wuyu1234-1","Chan2019","eight",8,"po55","po55","","false",NA,NA,NA
"9","numerals-wuyu1234-1-nine-1","numerals-wuyu1234-1","Chan2019","nine",9,"tɕiæ3","tciae3","","false",NA,NA,NA
"10","numerals-wuyu1234-1-ten-1","numerals-wuyu1234-1","Chan2019","ten",10,"sɿ55","sr55","","false",NA,NA,NA
"11","numerals-wuyu1234-1-eleven-1","numerals-wuyu1234-1","Chan2019","eleven",11,"sɿ55i55","sr55i55","","false",NA,NA,NA
"12","numerals-wuyu1234-1-twelve-1","numerals-wuyu1234-1","Chan2019","twelve",12,"sɿ55ə55","sr55a55","","false",NA,NA,NA
"13","numerals-wuyu1234-1-thirteen-1","numerals-wuyu1234-1","Chan2019","thirteen",13,"sɿ55sã33","sr55sa33","","false",NA,NA,NA
"14","numerals-wuyu1234-1-fourteen-1","numerals-wuyu1234-1","Chan2019","fourteen",14,"sɿ55sɿ24","sr55sr24","","false",NA,NA,NA
"15","numerals-wuyu1234-1-fifteen-1","numerals-wuyu1234-1","Chan2019","fifteen",15,"sɿ55u3","sr55u3","","false",NA,NA,NA
"16","numerals-wuyu1234-1-sixteen-1","numerals-wuyu1234-1","Chan2019","sixteen",16,"sɿ55læ55","sr55lae55","","false",NA,NA,NA
"17","numerals-wuyu1234-1-seventeen-1","numerals-wuyu1234-1","Chan2019","seventeen",17,"sɿ55tsʰi55","sr55tshi55","","false",NA,NA,NA
"18","numerals-wuyu1234-1-eighteen-1","numerals-wuyu1234-1","Chan2019","eighteen",18,"sɿ55po55","sr55po55","","false",NA,NA,NA
"19","numerals-wuyu1234-1-nineteen-1","numerals-wuyu1234-1","Chan2019","nineteen",19,"sɿ55tɕiæ3","sr55tciae3","","false",NA,NA,NA
"20","numerals-wuyu1234-1-twenty-1","numerals-wuyu1234-1","Chan2019","twenty",20,"ə55sɿ55","a55sr55","","false",NA,NA,NA
"21","numerals-wuyu1234-1-twentyone-1","numerals-wuyu1234-1","Chan2019","twentyone",21,"ə55 sɿ55 i55","a55sr55i55","","false",NA,NA,NA
"22","numerals-wuyu1234-1-twentytwo-1","numerals-wuyu1234-1","Chan2019","twentytwo",22,"ə55 sɿ55 ə55","a55sr55a55","","false",NA,NA,NA
"23","numerals-wuyu1234-1-twentythree-1","numerals-wuyu1234-1","Chan2019","twentythree",23,"ə55 sɿ55 sã33","a55sr55sa33","","false",NA,NA,NA
"24","numerals-wuyu1234-1-twentyfour-1","numerals-wuyu1234-1","Chan2019","twentyfour",24,"ə55 sɿ55 sɿ24","a55sr55sr24","","false",NA,NA,NA
"25","numerals-wuyu1234-1-twentyfive-1","numerals-wuyu1234-1","Chan2019","twentyfive",25,"ə55 sɿ55 u3","a55sr55u3","","false",NA,NA,NA
"26","numerals-wuyu1234-1-twentysix-1","numerals-wuyu1234-1","Chan2019","twentysix",26,"ə55 sɿ55 læ55","a55sr55lae55","","false",NA,NA,NA
"27","numerals-wuyu1234-1-twentyseven-1","numerals-wuyu1234-1","Chan2019","twentyseven",27,"ə55 sɿ55 tsʰi55","a55sr55tshi55","","false",NA,NA,NA
"28","numerals-wuyu1234-1-twentyeight-1","numerals-wuyu1234-1","Chan2019","twentyeight",28,"ə55 sɿ55 po55","a55sr55po55","","false",NA,NA,NA
"29","numerals-wuyu1234-1-twentynine-1","numerals-wuyu1234-1","Chan2019","twentynine",29,"ə55 sɿ55 tɕiæ3","a55sr55tciae3","","false",NA,NA,NA
"30","numerals-wuyu1234-1-thirty-1","numerals-wuyu1234-1","Chan2019","thirty",30,"sã33 sɿ55","sa33sr55","","false",NA,NA,NA
"31","numerals-wuyu1234-1-forty-1","numerals-wuyu1234-1","Chan2019","forty",40,"sɿ24 sɿ55","sr24sr55","","false",NA,NA,NA
"32","numerals-wuyu1234-1-fifty-1","numerals-wuyu1234-1","Chan2019","fifty",50,"u3 sɿ55","u3sr55","","false",NA,NA,NA
"33","numerals-wuyu1234-1-sixty-1","numerals-wuyu1234-1","Chan2019","sixty",60,"læ55 sɿ55","lae55sr55","","false",NA,NA,NA
"34","numerals-wuyu1234-1-seventy-1","numerals-wuyu1234-1","Chan2019","seventy",70,"tsʰi55 sɿ55","tshi55sr55","","false",NA,NA,NA
"35","numerals-wuyu1234-1-eighty-1","numerals-wuyu1234-1","Chan2019","eighty",80,"po55 sɿ55","po55sr55","","false",NA,NA,NA
"36","numerals-wuyu1234-1-ninety-1","numerals-wuyu1234-1","Chan2019","ninety",90,"tɕiæ3sɿ55","tciae3sr55","","false",NA,NA,NA
"37","numerals-wuyu1234-1-hundred-1","numerals-wuyu1234-1","Chan2019","hundred",100,"i55pæ55","i55pae55","","false",NA,NA,NA
"38","numerals-wuyu1234-1-twohundred-1","numerals-wuyu1234-1","Chan2019","twohundred",200,"liõ3pæ55","lio3pae55","","false",NA,NA,NA
"39","numerals-wuyu1234-1-thousand-1","numerals-wuyu1234-1","Chan2019","thousand",1000,"i55 tsʰĩ33","i55tshi33","","false",NA,NA,NA
"40","numerals-wuyu1234-1-twothousand-1","numerals-wuyu1234-1","Chan2019","twothousand",2000,"liõ3tsʰĩ33","lio3tshi33","","false",NA,NA,NA
