"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-biao1253-1-one-1","numerals-biao1253-1","Chan2019","one",1,"jat55","jat55","","false",NA,NA,NA
"2","numerals-biao1253-1-two-1","numerals-biao1253-1","Chan2019","two",2,"ȵi22","ni22","","false",NA,NA,NA
"3","numerals-biao1253-1-three-1","numerals-biao1253-1","Chan2019","three",3,"θaːm55","tham55","","false",NA,NA,NA
"4","numerals-biao1253-1-four-1","numerals-biao1253-1","Chan2019","four",4,"θi35","thi35","","false",NA,NA,NA
"5","numerals-biao1253-1-five-1","numerals-biao1253-1","Chan2019","five",5,"ŋ̩54","ng54","","false",NA,NA,NA
"6","numerals-biao1253-1-six-1","numerals-biao1253-1","Chan2019","six",6,"suk55","suk55","","false",NA,NA,NA
"7","numerals-biao1253-1-seven-1","numerals-biao1253-1","Chan2019","seven",7,"tʰat55","that55","","false",NA,NA,NA
"8","numerals-biao1253-1-eight-1","numerals-biao1253-1","Chan2019","eight",8,"paːt35","pat35","","false",NA,NA,NA
"9","numerals-biao1253-1-nine-1","numerals-biao1253-1","Chan2019","nine",9,"ku54","ku54","","false",NA,NA,NA
"10","numerals-biao1253-1-ten-1","numerals-biao1253-1","Chan2019","ten",10,"sap12","sap12","","false",NA,NA,NA
"11","numerals-biao1253-1-eleven-1","numerals-biao1253-1","Chan2019","eleven",11,"sap12jat55","sap12jat55","","false",NA,NA,NA
"12","numerals-biao1253-1-twelve-1","numerals-biao1253-1","Chan2019","twelve",12,"sap12ȵi22","sap12ni22","","false",NA,NA,NA
"13","numerals-biao1253-1-thirteen-1","numerals-biao1253-1","Chan2019","thirteen",13,"sap12θaːm55","sap12tham55","","false",NA,NA,NA
"14","numerals-biao1253-1-fourteen-1","numerals-biao1253-1","Chan2019","fourteen",14,"sap12θi35","sap12thi35","","false",NA,NA,NA
"15","numerals-biao1253-1-fifteen-1","numerals-biao1253-1","Chan2019","fifteen",15,"sap12ŋ̩54","sap12ng54","","false",NA,NA,NA
"16","numerals-biao1253-1-sixteen-1","numerals-biao1253-1","Chan2019","sixteen",16,"sap12suk55","sap12suk55","","false",NA,NA,NA
"17","numerals-biao1253-1-seventeen-1","numerals-biao1253-1","Chan2019","seventeen",17,"sap12tʰat55","sap12that55","","false",NA,NA,NA
"18","numerals-biao1253-1-eighteen-1","numerals-biao1253-1","Chan2019","eighteen",18,"sap12paːt35","sap12pat35","","false",NA,NA,NA
"19","numerals-biao1253-1-nineteen-1","numerals-biao1253-1","Chan2019","nineteen",19,"sap12ku54","sap12ku54","","false",NA,NA,NA
"20","numerals-biao1253-1-twenty-1","numerals-biao1253-1","Chan2019","twenty",20,"ȵi22sap12","ni22sap12","","false",NA,NA,NA
"21","numerals-biao1253-1-twentyone-1","numerals-biao1253-1","Chan2019","twentyone",21,"ȵi22sap12 jat55","ni22sap12jat55","","false",NA,NA,NA
"22","numerals-biao1253-1-twentytwo-1","numerals-biao1253-1","Chan2019","twentytwo",22,"ȵi22 sap12 ȵi22","ni22sap12ni22","","false",NA,NA,NA
"23","numerals-biao1253-1-twentythree-1","numerals-biao1253-1","Chan2019","twentythree",23,"ȵi22 sap12 θaːm55","ni22sap12tham55","","false",NA,NA,NA
"24","numerals-biao1253-1-twentyfour-1","numerals-biao1253-1","Chan2019","twentyfour",24,"ȵi22 sap12 θi35","ni22sap12thi35","","false",NA,NA,NA
"25","numerals-biao1253-1-twentyfive-1","numerals-biao1253-1","Chan2019","twentyfive",25,"ȵi22 sap12 ŋ̩54","ni22sap12ng54","","false",NA,NA,NA
"26","numerals-biao1253-1-twentysix-1","numerals-biao1253-1","Chan2019","twentysix",26,"ȵi22 sap12 suk55","ni22sap12suk55","","false",NA,NA,NA
"27","numerals-biao1253-1-twentyseven-1","numerals-biao1253-1","Chan2019","twentyseven",27,"ȵi22 sap12 tʰat55","ni22sap12that55","","false",NA,NA,NA
