"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-shek1243-1-one-1","numerals-shek1243-1","Chan2019","one",1,"ek","ek","","false",NA,NA,NA
"2","numerals-shek1243-1-two-1","numerals-shek1243-1","Chan2019","two",2,"do","do","","false",NA,NA,NA
"3","numerals-shek1243-1-three-1","numerals-shek1243-1","Chan2019","three",3,"tin","tin","","false",NA,NA,NA
"4","numerals-shek1243-1-four-1","numerals-shek1243-1","Chan2019","four",4,"t͡ʃjar","tsjar","","false",NA,NA,NA
"5","numerals-shek1243-1-five-1","numerals-shek1243-1","Chan2019","five",5,"pãnt͡ʃ","pants","","false",NA,NA,NA
"6","numerals-shek1243-1-six-1","numerals-shek1243-1","Chan2019","six",6,"t͡ʃʰɛ","tshe","","false",NA,NA,NA
"7","numerals-shek1243-1-seven-1","numerals-shek1243-1","Chan2019","seven",7,"sat","sat","","false",NA,NA,NA
"8","numerals-shek1243-1-eight-1","numerals-shek1243-1","Chan2019","eight",8,"aʈʰ","ath","","false",NA,NA,NA
"9","numerals-shek1243-1-nine-1","numerals-shek1243-1","Chan2019","nine",9,"no","no","","false",NA,NA,NA
"10","numerals-shek1243-1-ten-1","numerals-shek1243-1","Chan2019","ten",10,"dəs","das","","false",NA,NA,NA
"11","numerals-shek1243-1-eleven-1","numerals-shek1243-1","Chan2019","eleven",11,"gjara","gjara","","false",NA,NA,NA
"12","numerals-shek1243-1-twelve-1","numerals-shek1243-1","Chan2019","twelve",12,"bára","bara","","false",NA,NA,NA
"13","numerals-shek1243-1-thirteen-1","numerals-shek1243-1","Chan2019","thirteen",13,"téra","tera","","false",NA,NA,NA
"14","numerals-shek1243-1-fourteen-1","numerals-shek1243-1","Chan2019","fourteen",14,"t͡ʃəwəda","tsawada","","false",NA,NA,NA
"15","numerals-shek1243-1-fifteen-1","numerals-shek1243-1","Chan2019","fifteen",15,"pə̃ndra","pandra","","false",NA,NA,NA
"16","numerals-shek1243-1-sixteen-1","numerals-shek1243-1","Chan2019","sixteen",16,"soɭa","sola","","false",NA,NA,NA
"17","numerals-shek1243-1-seventeen-1","numerals-shek1243-1","Chan2019","seventeen",17,"səttəra","sattara","","false",NA,NA,NA
"18","numerals-shek1243-1-eighteen-1","numerals-shek1243-1","Chan2019","eighteen",18,"əʈʰara","athara","","false",NA,NA,NA
"19","numerals-shek1243-1-nineteen-1","numerals-shek1243-1","Chan2019","nineteen",19,"gunnis","gunnis","( 20 - 1)","false",NA,NA,NA
"20","numerals-shek1243-1-twenty-1","numerals-shek1243-1","Chan2019","twenty",20,"bis","bis","","false",NA,NA,NA
"21","numerals-shek1243-1-twentyone-1","numerals-shek1243-1","Chan2019","twentyone",21,"ikkis","ikkis","","false",NA,NA,NA
"22","numerals-shek1243-1-twentytwo-1","numerals-shek1243-1","Chan2019","twentytwo",22,"bais","bais","","false",NA,NA,NA
"23","numerals-shek1243-1-twentythree-1","numerals-shek1243-1","Chan2019","twentythree",23,"teis","teis","","false",NA,NA,NA
"24","numerals-shek1243-1-twentyfour-1","numerals-shek1243-1","Chan2019","twentyfour",24,"t͡ʃobis","tsobis","","false",NA,NA,NA
"25","numerals-shek1243-1-twentyfive-1","numerals-shek1243-1","Chan2019","twentyfive",25,"pət͡ʃis","patsis","","false",NA,NA,NA
"26","numerals-shek1243-1-twentysix-1","numerals-shek1243-1","Chan2019","twentysix",26,"ˈt͡ʃəbbis","tsabbis","","false",NA,NA,NA
"27","numerals-shek1243-1-twentyseven-1","numerals-shek1243-1","Chan2019","twentyseven",27,"səttais","sattais","","false",NA,NA,NA
"28","numerals-shek1243-1-twentyeight-1","numerals-shek1243-1","Chan2019","twentyeight",28,"aʈʰais","athais","","false",NA,NA,NA
"29","numerals-shek1243-1-twentynine-1","numerals-shek1243-1","Chan2019","twentynine",29,"guɳtis","guntis","( 30 - 1)","false",NA,NA,NA
"30","numerals-shek1243-1-thirty-1","numerals-shek1243-1","Chan2019","thirty",30,"tis","tis","","false",NA,NA,NA
"31","numerals-shek1243-1-forty-1","numerals-shek1243-1","Chan2019","forty",40,"t͡ʃaɭis","tsalis","","false",NA,NA,NA
"32","numerals-shek1243-1-fifty-1","numerals-shek1243-1","Chan2019","fifty",50,"pət͡ʃas","patsas","","false",NA,NA,NA
"33","numerals-shek1243-1-sixty-1","numerals-shek1243-1","Chan2019","sixty",60,"saʈʰ","sath","","false",NA,NA,NA
"34","numerals-shek1243-1-seventy-1","numerals-shek1243-1","Chan2019","seventy",70,"səttər","sattar","","false",NA,NA,NA
"35","numerals-shek1243-1-eighty-1","numerals-shek1243-1","Chan2019","eighty",80,"əssi","assi","","false",NA,NA,NA
"36","numerals-shek1243-1-ninety-1","numerals-shek1243-1","Chan2019","ninety",90,"nəbbɛ","nabbe","","false",NA,NA,NA
"37","numerals-shek1243-1-hundred-1","numerals-shek1243-1","Chan2019","hundred",100,"so","so","","false",NA,NA,NA
"38","numerals-shek1243-1-twohundred-1","numerals-shek1243-1","Chan2019","twohundred",200,"do so","doso","","false",NA,NA,NA
"39","numerals-shek1243-1-thousand-1","numerals-shek1243-1","Chan2019","thousand",1000,"had͡ʒar","hadzar","","false",NA,NA,NA
"40","numerals-shek1243-1-twothousand-1","numerals-shek1243-1","Chan2019","twothousand",2000,"had͡ʒar","hadzar","","false",NA,NA,NA
