"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-lhom1239-1-one-1","numerals-lhom1239-1","Chan2019","one",1,"cɪk","cik","","false",NA,NA,NA
"2","numerals-lhom1239-1-two-1","numerals-lhom1239-1","Chan2019","two",2,"ʰŋi","hngi","","false",NA,NA,NA
"3","numerals-lhom1239-1-three-1","numerals-lhom1239-1","Chan2019","three",3,"ʰsum","hsum","","false",NA,NA,NA
"4","numerals-lhom1239-1-four-1","numerals-lhom1239-1","Chan2019","four",4,"ˡʃi","lsi","","false",NA,NA,NA
"5","numerals-lhom1239-1-five-1","numerals-lhom1239-1","Chan2019","five",5,"ʰŋa","hnga","","false",NA,NA,NA
"6","numerals-lhom1239-1-six-1","numerals-lhom1239-1","Chan2019","six",6,"ɖʰuk","dhuk","","false",NA,NA,NA
"7","numerals-lhom1239-1-seven-1","numerals-lhom1239-1","Chan2019","seven",7,"dʏn","dyn","","false",NA,NA,NA
"8","numerals-lhom1239-1-eight-1","numerals-lhom1239-1","Chan2019","eight",8,"ɟet","jet","","false",NA,NA,NA
"9","numerals-lhom1239-1-nine-1","numerals-lhom1239-1","Chan2019","nine",9,"gu","gu","","false",NA,NA,NA
"10","numerals-lhom1239-1-ten-1","numerals-lhom1239-1","Chan2019","ten",10,"ʰcu","hcu","","false",NA,NA,NA
"11","numerals-lhom1239-1-eleven-1","numerals-lhom1239-1","Chan2019","eleven",11,"ʰcucik","hcucik","","false",NA,NA,NA
"12","numerals-lhom1239-1-twelve-1","numerals-lhom1239-1","Chan2019","twelve",12,"ʰcunni","hcunni","","false",NA,NA,NA
"13","numerals-lhom1239-1-thirteen-1","numerals-lhom1239-1","Chan2019","thirteen",13,"ʰcuksum","hcuksum","","false",NA,NA,NA
"14","numerals-lhom1239-1-fourteen-1","numerals-lhom1239-1","Chan2019","fourteen",14,"ʰcupʃi","hcupsi","","false",NA,NA,NA
"15","numerals-lhom1239-1-fifteen-1","numerals-lhom1239-1","Chan2019","fifteen",15,"ʰceŋa","hcenga","","false",NA,NA,NA
"16","numerals-lhom1239-1-sixteen-1","numerals-lhom1239-1","Chan2019","sixteen",16,"ʰcʏruk","hcyruk","","false",NA,NA,NA
"17","numerals-lhom1239-1-seventeen-1","numerals-lhom1239-1","Chan2019","seventeen",17,"ʰcuptʏn","hcuptyn","","false",NA,NA,NA
