"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kate1253-1-one-1","numerals-kate1253-1","Chan2019","one",1,"moʔ yahaʔ","moyaha","","false",NA,NA,NA
"2","numerals-kate1253-1-two-1","numerals-kate1253-1","Chan2019","two",2,"yayaheʔ","yayahe","","false",NA,NA,NA
"3","numerals-kate1253-1-three-1","numerals-kate1253-1","Chan2019","three",3,"yaheʔ a moʔ","yaheamo","","false",NA,NA,NA
"4","numerals-kate1253-1-four-1","numerals-kate1253-1","Chan2019","four",4,"yaheʔ a yaheʔ","yaheayahe","","false",NA,NA,NA
"5","numerals-kate1253-1-five-1","numerals-kate1253-1","Chan2019","five",5,"me moʔ","memo","( litː 'hand one' )","false",NA,NA,NA
"6","numerals-kate1253-1-six-1","numerals-kate1253-1","Chan2019","six",6,"me moʔ a moʔ","memoamo","","false",NA,NA,NA
"7","numerals-kate1253-1-seven-1","numerals-kate1253-1","Chan2019","seven",7,"me moʔ a yaheʔ","memoayahe","","false",NA,NA,NA
"8","numerals-kate1253-1-eight-1","numerals-kate1253-1","Chan2019","eight",8,"me moʔ a yaheʔ a moʔ","memoayaheamo","","false",NA,NA,NA
"9","numerals-kate1253-1-nine-1","numerals-kate1253-1","Chan2019","nine",9,"me moʔ a yaheʔ a yaheʔ","memoayaheayahe","","false",NA,NA,NA
"10","numerals-kate1253-1-ten-1","numerals-kate1253-1","Chan2019","ten",10,"me yayaheʔ","meyayahe","( litː 'hands two' )","false",NA,NA,NA
"11","numerals-kate1253-1-eleven-1","numerals-kate1253-1","Chan2019","eleven",11,"me yayaheʔ a moʔ","meyayaheamo","","false",NA,NA,NA
"12","numerals-kate1253-1-twelve-1","numerals-kate1253-1","Chan2019","twelve",12,"me yayaheʔ a yaheʔ","meyayaheayahe","","false",NA,NA,NA
"13","numerals-kate1253-1-thirteen-1","numerals-kate1253-1","Chan2019","thirteen",13,"me yayaheʔ a yaheʔ a moʔ","meyayaheayaheamo","","false",NA,NA,NA
"14","numerals-kate1253-1-fourteen-1","numerals-kate1253-1","Chan2019","fourteen",14,"me yayaheʔ a yaheʔ a yaheʔ","meyayaheayaheayahe","","false",NA,NA,NA
"15","numerals-kate1253-1-fifteen-1","numerals-kate1253-1","Chan2019","fifteen",15,"me yayaheʔ a kike moʔ","meyayaheakikemo","","false",NA,NA,NA
"16","numerals-kate1253-1-sixteen-1","numerals-kate1253-1","Chan2019","sixteen",16,"me yayaheʔ a kike moʔ a moʔ","meyayaheakikemoamo","","false",NA,NA,NA
"17","numerals-kate1253-1-seventeen-1","numerals-kate1253-1","Chan2019","seventeen",17,"me yayaheʔ a kike moʔ a yaheʔ","meyayaheakikemoayahe","","false",NA,NA,NA
"18","numerals-kate1253-1-eighteen-1","numerals-kate1253-1","Chan2019","eighteen",18,"me yayaheʔ a kike moʔ a yaheʔ a moʔ","meyayaheakikemoayaheamo","","false",NA,NA,NA
"19","numerals-kate1253-1-nineteen-1","numerals-kate1253-1","Chan2019","nineteen",19,"me yayaheʔ a kike moʔ a yaheʔ a yaheʔ","meyayaheakikemoayaheayahe","","false",NA,NA,NA
"20","numerals-kate1253-1-twenty-1","numerals-kate1253-1","Chan2019","twenty",20,"ŋiʔ moʔ","ngimo","( litː 'man one' )","false",NA,NA,NA
