,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-pare1266-1-one-1,numerals-pare1266-1,Chan2019,one,1,boˀɟ,boj,,false,1,,
2,numerals-pare1266-1-two-1,numerals-pare1266-1,Chan2019,two,2,baɡ,bag,,false,2{?},chance resemblance with the borrowed Indo-Aryan (Indo-European) form for ‘two’ used in 12 (?),
3,numerals-pare1266-1-two-2,numerals-pare1266-1,Chan2019,two,2,dui,dui,< Desia,true,2′,borrowed from Indo-Aryan (Indo-European),
4,numerals-pare1266-1-three-1,numerals-pare1266-1,Chan2019,three,3,jaɡ,jag,,false,3{?},,
5,numerals-pare1266-1-three-2,numerals-pare1266-1,Chan2019,three,3,tin,tin,( < Desia),true,3′,borrowed from Indo-Aryan (Indo-European),
6,numerals-pare1266-1-four-1,numerals-pare1266-1,Chan2019,four,4,unɡi,ungi,,false,4{?},,
7,numerals-pare1266-1-four-2,numerals-pare1266-1,Chan2019,four,4,car,car,< Desia,true,4′,borrowed from Indo-Aryan (Indo-European),
8,numerals-pare1266-1-five-1,numerals-pare1266-1,Chan2019,five,5,monloj,monloj,,false,5,,
9,numerals-pare1266-1-five-2,numerals-pare1266-1,Chan2019,five,5,panc,panc,< Desia,true,5′,borrowed from Indo-Aryan (Indo-European),
10,numerals-pare1266-1-six-1,numerals-pare1266-1,Chan2019,six,6,turɡi,turgi,,false,6{?},,
11,numerals-pare1266-1-six-2,numerals-pare1266-1,Chan2019,six,6,co,co,< Desia,true,6′,borrowed from Indo-Aryan (Indo-European),
12,numerals-pare1266-1-seven-1,numerals-pare1266-1,Chan2019,seven,7,ɡulɡi,gulgi,,false,7{?},,
13,numerals-pare1266-1-seven-2,numerals-pare1266-1,Chan2019,seven,7,sat,sat,< Desia,true,7′,borrowed from Indo-Aryan (Indo-European),
14,numerals-pare1266-1-eight-1,numerals-pare1266-1,Chan2019,eight,8,tamɡi,tamgi,,false,8{?},,
15,numerals-pare1266-1-eight-2,numerals-pare1266-1,Chan2019,eight,8,aʈ,at,< Desia,true,8′,borrowed from Indo-Aryan (Indo-European),
16,numerals-pare1266-1-nine-1,numerals-pare1266-1,Chan2019,nine,9,timɡi,timgi,,false,9{?},,
17,numerals-pare1266-1-nine-2,numerals-pare1266-1,Chan2019,nine,9,no,no,< Desia,true,9′,borrowed from Indo-Aryan (Indo-European),
18,numerals-pare1266-1-ten-1,numerals-pare1266-1,Chan2019,ten,10,ɡalɡi,galgi,,false,10{?},,
19,numerals-pare1266-1-ten-2,numerals-pare1266-1,Chan2019,ten,10,dos,dos,< Desia,true,10′,borrowed from Indo-Aryan (Indo-European),
20,numerals-pare1266-1-eleven-1,numerals-pare1266-1,Chan2019,eleven,11,eɡaro,egaro,( from Desia upwards ),false,1′+10′′,borrowed from Indo-Aryan (Indo-European),
21,numerals-pare1266-1-twelve-1,numerals-pare1266-1,Chan2019,twelve,12,baro,baro,,false,2+10′′,borrowed from Indo-Aryan (Indo-European),
22,numerals-pare1266-1-thirteen-1,numerals-pare1266-1,Chan2019,thirteen,13,tero,tero,,false,3′+10′′,borrowed from Indo-Aryan (Indo-European),
23,numerals-pare1266-1-fourteen-1,numerals-pare1266-1,Chan2019,fourteen,14,coudo,coudo,,false,4′+10′′,borrowed from Indo-Aryan (Indo-European),
24,numerals-pare1266-1-fifteen-1,numerals-pare1266-1,Chan2019,fifteen,15,pondro,pondro,,false,5′+10′′,borrowed from Indo-Aryan (Indo-European),
25,numerals-pare1266-1-sixteen-1,numerals-pare1266-1,Chan2019,sixteen,16,solo,solo,,false,6′′+10′′,borrowed from Indo-Aryan (Indo-European),
26,numerals-pare1266-1-seventeen-1,numerals-pare1266-1,Chan2019,seventeen,17,sotro,sotro,,false,7′+10′′,borrowed from Indo-Aryan (Indo-European),
27,numerals-pare1266-1-eighteen-1,numerals-pare1266-1,Chan2019,eighteen,18,oʈro,otro,,false,8′+10′′,borrowed from Indo-Aryan (Indo-European),
28,numerals-pare1266-1-nineteen-1,numerals-pare1266-1,Chan2019,nineteen,19,onis,onis,,false,19,borrowed from Indo-Aryan (Indo-European); historically subtractive,
29,numerals-pare1266-1-twenty-1,numerals-pare1266-1,Chan2019,twenty,20,kaɖe,kade,,false,20,,
30,numerals-pare1266-1-twentyone-1,numerals-pare1266-1,Chan2019,twentyone,21,kaɖe ek,kadeek,,false,20[+]1′,<ek> ‘one’ borrowed from Indo-Aryan (Indo-European),
31,numerals-pare1266-1-twentytwo-1,numerals-pare1266-1,Chan2019,twentytwo,22,kaɖe dui,kadedui,,false,20[+]2′,<dui> ‘two’ borrowed from Indo-Aryan (Indo-European),
32,numerals-pare1266-1-twentythree-1,numerals-pare1266-1,Chan2019,twentythree,23,kaɖe tin,kadetin,,false,20[+]3′,<tin> ‘three’ borrowed from Indo-Aryan (Indo-European),
33,numerals-pare1266-1-twentyfour-1,numerals-pare1266-1,Chan2019,twentyfour,24,kaɖe car,kadecar,,false,20[+]4′,<car> ‘four’ borrowed from Indo-Aryan (Indo-European),
34,numerals-pare1266-1-twentyfive-1,numerals-pare1266-1,Chan2019,twentyfive,25,kaɖe panc,kadepanc,,false,20[+]5′,<panc> ‘five’ borrowed from Indo-Aryan (Indo-European),
35,numerals-pare1266-1-twentysix-1,numerals-pare1266-1,Chan2019,twentysix,26,kaɖe co,kadeco,,false,20[+]6′,<co> ‘six’ borrowed from Indo-Aryan (Indo-European),
36,numerals-pare1266-1-twentyseven-1,numerals-pare1266-1,Chan2019,twentyseven,27,kaɖe sat,kadesat,,false,20[+]7′,<sat> ‘seven’ borrowed from Indo-Aryan (Indo-European),
37,numerals-pare1266-1-twentyeight-1,numerals-pare1266-1,Chan2019,twentyeight,28,kaɖe aʈ,kadeat,,false,20[+]8′,<aʈ> ‘eight’ borrowed from Indo-Aryan (Indo-European),
38,numerals-pare1266-1-twentynine-1,numerals-pare1266-1,Chan2019,twentynine,29,kaɖe no,kadeno,,false,20[+]9′,<no> ‘nine’ borrowed from Indo-Aryan (Indo-European),
39,numerals-pare1266-1-thirty-1,numerals-pare1266-1,Chan2019,thirty,30,kaɖe dos,kadedos,,false,20[+]10′,<dos> ‘ten’ borrowed from Indo-Aryan (Indo-European),
40,numerals-pare1266-1-thirty-2,numerals-pare1266-1,Chan2019,thirty,30,tiris,tiris,,false,30,borrowed from Indo-Aryan (Indo-European),3′⋅10′′
41,numerals-pare1266-1-forty-1,numerals-pare1266-1,Chan2019,forty,40,bar-kad,barkad,,false,2[⋅]20,,
42,numerals-pare1266-1-fifty-1,numerals-pare1266-1,Chan2019,fifty,50,dui kaɖi,duikadi,,false,?,This appears to be an error: 2′[⋅]20 = 40,
43,numerals-pare1266-1-fifty-2,numerals-pare1266-1,Chan2019,fifty,50,calis,calis,,false,?,This appears to be an error: it looks like a borrowed Indo-Aryan (Indo-European) word for 40,
44,numerals-pare1266-1-sixty-1,numerals-pare1266-1,Chan2019,sixty,60,tin kaɖi,tinkadi,,false,3′[⋅]20,,
45,numerals-pare1266-1-seventy-1,numerals-pare1266-1,Chan2019,seventy,70,tin kaɖi dos,tinkadidos,,false,(3′[⋅]20)[+]10′,,
46,numerals-pare1266-1-eighty-1,numerals-pare1266-1,Chan2019,eighty,80,car kaɖi,carkadi,,false,4′[⋅]20,,
47,numerals-pare1266-1-ninety-1,numerals-pare1266-1,Chan2019,ninety,90,car kaɖi dos,carkadidos,,false,(4′[⋅]20)]+]10′,,
48,numerals-pare1266-1-hundred-1,numerals-pare1266-1,Chan2019,hundred,100,soie,soie,,false,100,borrowed from Indo-Aryan (Indo-European),
49,numerals-pare1266-1-twohundred-1,numerals-pare1266-1,Chan2019,twohundred,200,dui so,duiso,,false,2′[⋅]100,<so> ‘hundred’ borrowed from Indo-Aryan (Indo-European),
50,numerals-pare1266-1-twohundred-2,numerals-pare1266-1,Chan2019,twohundred,200,dui soie,duisoie,,false,2′[⋅]100,<soie> ‘hundred’ borrowed from Indo-Aryan (Indo-European),
51,numerals-pare1266-1-thousand-1,numerals-pare1266-1,Chan2019,thousand,1000,ozar,ozar,,false,1000,borrowed from Indo-Iranian (Indo-European),
52,numerals-pare1266-1-twothousand-1,numerals-pare1266-1,Chan2019,twothousand,2000,dui ozar,duiozar,,false,2′[⋅]1000,<ozar> ‘thousand’ borrowed from Indo-Iranian (Indo-European),
