,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-nung1283-1-one-1,numerals-nung1283-1,Chan2019,one,1,nɯŋ35,nwng35,,false,1,,
2,numerals-nung1283-1-two-1,numerals-nung1283-1,Chan2019,two,2,ɬoŋ35,long35,,false,2,ultimately a loan from Sinitic (Sino-Tibetan) ,
3,numerals-nung1283-1-three-1,numerals-nung1283-1,Chan2019,three,3,ɬam35,lam35,,false,3,ultimately a loan from Sinitic (Sino-Tibetan) ,
4,numerals-nung1283-1-four-1,numerals-nung1283-1,Chan2019,four,4,ɬi13,li13,,false,4,ultimately a loan from Sinitic (Sino-Tibetan) ,
5,numerals-nung1283-1-five-1,numerals-nung1283-1,Chan2019,five,5,ha31,ha31,,false,5,ultimately a loan from Sinitic (Sino-Tibetan) ,
6,numerals-nung1283-1-six-1,numerals-nung1283-1,Chan2019,six,6,hoːk31,hok31,,false,6,ultimately a loan from Sinitic (Sino-Tibetan) ,
7,numerals-nung1283-1-seven-1,numerals-nung1283-1,Chan2019,seven,7,ɕɛt35,cet35,,false,7,ultimately a loan from Sinitic (Sino-Tibetan) ,
8,numerals-nung1283-1-eight-1,numerals-nung1283-1,Chan2019,eight,8,pet13,pet13,,false,8,ultimately a loan from Sinitic (Sino-Tibetan) ,
9,numerals-nung1283-1-nine-1,numerals-nung1283-1,Chan2019,nine,9,kau31,kau31,,false,9,ultimately a loan from Sinitic (Sino-Tibetan) ,
10,numerals-nung1283-1-ten-1,numerals-nung1283-1,Chan2019,ten,10,ɬiːp35,lip35,,false,10,ultimately a loan from Sinitic (Sino-Tibetan) ,
11,numerals-nung1283-1-eleven-1,numerals-nung1283-1,Chan2019,eleven,11,ɬiːp35ɛt35,lip35et35,,false,10[+]1′,ultimately a loan from Sinitic (Sino-Tibetan) ,
12,numerals-nung1283-1-twelve-1,numerals-nung1283-1,Chan2019,twelve,12,ɬiːp35ɲiʔ35,lip35ni35,,false,10[+]2′,ultimately a loan from Sinitic (Sino-Tibetan) ,
13,numerals-nung1283-1-thirteen-1,numerals-nung1283-1,Chan2019,thirteen,13,ɬiːp35ɬam35,lip35lam35,,false,10[+]3,ultimately a loan from Sinitic (Sino-Tibetan) ,
