,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-yang1286-1-one-1,numerals-yang1286-1,Chan2019,one,1,ʔdeu31,deu31,,false,1,,
2,numerals-yang1286-1-one-2,numerals-yang1286-1,Chan2019,one,1,ʔɐt55,at55,,false,1′,ultimately borrowed from Sinitic (Sino-Tibetan),
3,numerals-yang1286-1-one-2,numerals-yang1286-1,Chan2019,one,1,ou31,ou31,,false,1′′,,
4,numerals-yang1286-1-two-1,numerals-yang1286-1,Chan2019,two,2,ɬoːŋ453,long453,,false,2,ultimately borrowed from Sinitic (Sino-Tibetan),
5,numerals-yang1286-1-two-2,numerals-yang1286-1,Chan2019,two,2,ŋjei33,ngjei33,,false,2′,ultimately borrowed from Sinitic (Sino-Tibetan),
6,numerals-yang1286-1-three-1,numerals-yang1286-1,Chan2019,three,3,ɬaːm453,lam453,,false,3,ultimately borrowed from Sinitic (Sino-Tibetan),
7,numerals-yang1286-1-four-1,numerals-yang1286-1,Chan2019,four,4,ɬei55,lei55,,false,4,ultimately borrowed from Sinitic (Sino-Tibetan),
8,numerals-yang1286-1-five-1,numerals-yang1286-1,Chan2019,five,5,haː24,ha24,,false,5,ultimately borrowed from Sinitic (Sino-Tibetan),
9,numerals-yang1286-1-six-1,numerals-yang1286-1,Chan2019,six,6,kʰjɔːk55,khjok55,,false,6,ultimately borrowed from Sinitic (Sino-Tibetan),
10,numerals-yang1286-1-seven-1,numerals-yang1286-1,Chan2019,seven,7,tɕɐt55,tcat55,,false,7,ultimately borrowed from Sinitic (Sino-Tibetan),
11,numerals-yang1286-1-eight-1,numerals-yang1286-1,Chan2019,eight,8,peːt55,pet55,,false,8,ultimately borrowed from Sinitic (Sino-Tibetan),
12,numerals-yang1286-1-nine-1,numerals-yang1286-1,Chan2019,nine,9,kɐu24,kau24,,false,9,ultimately borrowed from Sinitic (Sino-Tibetan),
