,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-moro1285-1-one-1,numerals-moro1285-1,Chan2019,one,1,ɡónto,gonto,,false,1,,
2,numerals-moro1285-1-two-1,numerals-moro1285-1,Chan2019,two,2,lə́ɡə́tʃan,lagatsan,,false,2,,
3,numerals-moro1285-1-three-1,numerals-moro1285-1,Chan2019,three,3,lə́ɡɪ́tʃɪn,lagitsin,,false,3,,
4,numerals-moro1285-1-four-1,numerals-moro1285-1,Chan2019,four,4,márlon,marlon,,false,4,,
5,numerals-moro1285-1-five-1,numerals-moro1285-1,Chan2019,five,5,ðénə́ŋ,denang,,false,5,,
6,numerals-moro1285-1-six-1,numerals-moro1285-1,Chan2019,six,6,ðénə́ŋ nəɡónto,denangnagonto,( 5+ 1 ),false,5+{and}1,,
7,numerals-moro1285-1-seven-1,numerals-moro1285-1,Chan2019,seven,7,ðénə́ŋ ꜜlə́ɡə́tʃan,denanglagatsan,( 5+ 2 ),false,5[+]2,,
8,numerals-moro1285-1-eight-1,numerals-moro1285-1,Chan2019,eight,8,ðénə́ŋ ꜜlə́ɡɪ́tʃan,denanglagitsan,( 5+ 3 ),false,5[+]3,,
9,numerals-moro1285-1-nine-1,numerals-moro1285-1,Chan2019,nine,9,ðénə́ŋ nəmárlon,denangnamarlon,( 5+ 4 ),false,5+{and}4,,
10,numerals-moro1285-1-ten-1,numerals-moro1285-1,Chan2019,ten,10,rɛ́θ,reth,,false,10,,
11,numerals-moro1285-1-eleven-1,numerals-moro1285-1,Chan2019,eleven,11,rɛ́θ nəɡónto,rethnagonto,,false,10+{and}1,,
12,numerals-moro1285-1-twelve-1,numerals-moro1285-1,Chan2019,twelve,12,rɛ́θ ꜜlə́ɡə́tʃan,rethlagatsan,,false,10[+]2,,
13,numerals-moro1285-1-thirteen-1,numerals-moro1285-1,Chan2019,thirteen,13,rɛ́θ ꜜlə́ɡɪ́tʃɪn,rethlagitsin,,false,10[+]3,,
14,numerals-moro1285-1-fourteen-1,numerals-moro1285-1,Chan2019,fourteen,14,rɛ́θ nəmárlon,rethnamarlon,,false,10+{and}4,,
15,numerals-moro1285-1-fifteen-1,numerals-moro1285-1,Chan2019,fifteen,15,rɛ́θ nðénə́ŋ,rethndenang,,false,10[+]5,,
16,numerals-moro1285-1-sixteen-1,numerals-moro1285-1,Chan2019,sixteen,16,rɛ́θ nðénə́ŋ nəɡónto,rethndenangnagonto,,false,10[+]5+{and}1,,
17,numerals-moro1285-1-seventeen-1,numerals-moro1285-1,Chan2019,seventeen,17,rɛ́θ nðénə́ŋ ꜜlə́ɡə́tʃan,rethndenanglagatsan,,false,10[+]5[+]2,,
