"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-ogee1238-1-one-1","numerals-ogee1238-1","Chan2019","one",1,"ékán","ekan","","false",NA,NA,NA
"2","numerals-ogee1238-1-two-1","numerals-ogee1238-1","Chan2019","two",2,"ìyí","iyi","","false",NA,NA,NA
"3","numerals-ogee1238-1-three-1","numerals-ogee1238-1","Chan2019","three",3,"ídaː","ida","","false",NA,NA,NA
"4","numerals-ogee1238-1-four-1","numerals-ogee1238-1","Chan2019","four",4,"ínɛ́","ine","","false",NA,NA,NA
"5","numerals-ogee1238-1-five-1","numerals-ogee1238-1","Chan2019","five",5,"ítɔ̃̀","ito","","false",NA,NA,NA
"6","numerals-ogee1238-1-six-1","numerals-ogee1238-1","Chan2019","six",6,"ìfà","ifa","","false",NA,NA,NA
"7","numerals-ogee1238-1-seven-1","numerals-ogee1238-1","Chan2019","seven",7,"ídʒúí","idzui","","false",NA,NA,NA
"8","numerals-ogee1238-1-eight-1","numerals-ogee1238-1","Chan2019","eight",8,"írò","iro","","false",NA,NA,NA
"9","numerals-ogee1238-1-nine-1","numerals-ogee1238-1","Chan2019","nine",9,"ĩ́ŋa","inga","","false",NA,NA,NA
"10","numerals-ogee1238-1-ten-1","numerals-ogee1238-1","Chan2019","ten",10,"íyè","iye","","false",NA,NA,NA
"11","numerals-ogee1238-1-eleven-1","numerals-ogee1238-1","Chan2019","eleven",11,"íyèkúakã","iyekuaka","(10+1)","false",NA,NA,NA
"12","numerals-ogee1238-1-twelve-1","numerals-ogee1238-1","Chan2019","twelve",12,"íyèkúijé","iyekuije","","false",NA,NA,NA
"13","numerals-ogee1238-1-thirteen-1","numerals-ogee1238-1","Chan2019","thirteen",13,"íyèkúidá","iyekuida","","false",NA,NA,NA
"14","numerals-ogee1238-1-fourteen-1","numerals-ogee1238-1","Chan2019","fourteen",14,"íyèkúinɛ̀","iyekuine","","false",NA,NA,NA
"15","numerals-ogee1238-1-fifteen-1","numerals-ogee1238-1","Chan2019","fifteen",15,"íyèkúitɔ̃̀","iyekuito","","false",NA,NA,NA
"16","numerals-ogee1238-1-sixteen-1","numerals-ogee1238-1","Chan2019","sixteen",16,"íyèkúìfà","iyekuifa","","false",NA,NA,NA
"17","numerals-ogee1238-1-seventeen-1","numerals-ogee1238-1","Chan2019","seventeen",17,"íyèkúidʒúí","iyekuidzui","","false",NA,NA,NA
"18","numerals-ogee1238-1-eighteen-1","numerals-ogee1238-1","Chan2019","eighteen",18,"íyèkúíro","iyekuiro","","false",NA,NA,NA
"19","numerals-ogee1238-1-nineteen-1","numerals-ogee1238-1","Chan2019","nineteen",19,"íyèkúíŋà","iyekuinga","","false",NA,NA,NA
"20","numerals-ogee1238-1-twenty-1","numerals-ogee1238-1","Chan2019","twenty",20,"úɡbɔ́rɔ","ugboro","","false",NA,NA,NA
"21","numerals-ogee1238-1-twentyone-1","numerals-ogee1238-1","Chan2019","twentyone",21,"úɡbɔ́rɔrɛ̀ɔlɔ","ugbororeolo","","false",NA,NA,NA
"22","numerals-ogee1238-1-twentytwo-1","numerals-ogee1238-1","Chan2019","twentytwo",22,"úɡbɔ́rɔrɛìyí","ugbororeiyi","","false",NA,NA,NA
"23","numerals-ogee1238-1-twentythree-1","numerals-ogee1238-1","Chan2019","twentythree",23,"úɡbɔ́rɔrɛídà","ugbororeida","","false",NA,NA,NA
"24","numerals-ogee1238-1-twentyfour-1","numerals-ogee1238-1","Chan2019","twentyfour",24,"úɡbɔ́rɔrɛ̀nɛ","ugbororene","","false",NA,NA,NA
"25","numerals-ogee1238-1-twentyfive-1","numerals-ogee1238-1","Chan2019","twentyfive",25,"úɡbɔ́rɔrítɔ̃̀","ugbororito","( 20+5)","false",NA,NA,NA
"26","numerals-ogee1238-1-twentysix-1","numerals-ogee1238-1","Chan2019","twentysix",26,"úɡbɔ́rɔrɛ̀fà","ugbororefa","","false",NA,NA,NA
"27","numerals-ogee1238-1-twentyseven-1","numerals-ogee1238-1","Chan2019","twentyseven",27,"úɡbɔ́rɔrɛídʒúí","ugbororeidzui","","false",NA,NA,NA
"28","numerals-ogee1238-1-twentyeight-1","numerals-ogee1238-1","Chan2019","twentyeight",28,"úɡbɔ́rɔrɛ́írò","ugbororeiro","","false",NA,NA,NA
"29","numerals-ogee1238-1-twentynine-1","numerals-ogee1238-1","Chan2019","twentynine",29,"úɡbɔ́rɔrɛíŋà","ugbororeinga","","false",NA,NA,NA
"30","numerals-ogee1238-1-thirty-1","numerals-ogee1238-1","Chan2019","thirty",30,"ɔ̃̀ɡbà","ogba","","false",NA,NA,NA
"31","numerals-ogee1238-1-forty-1","numerals-ogee1238-1","Chan2019","forty",40,"òrĩ̀yí","oriyi","","false",NA,NA,NA
"32","numerals-ogee1238-1-fifty-1","numerals-ogee1238-1","Chan2019","fifty",50,"òrĩ̀yírɛ'yè","oriyireye","(40+10)","false",NA,NA,NA
"33","numerals-ogee1238-1-sixty-1","numerals-ogee1238-1","Chan2019","sixty",60,"orĩ́ŋà","oringa","","false",NA,NA,NA
"34","numerals-ogee1238-1-seventy-1","numerals-ogee1238-1","Chan2019","seventy",70,"orĩ́ŋarɛ'ye","oringareye","(60+10)","false",NA,NA,NA
"35","numerals-ogee1238-1-seventy-2","numerals-ogee1238-1","Chan2019","seventy",70,"iyèrɛorĩ́da","iyereorida","","false",NA,NA,NA
"36","numerals-ogee1238-1-eighty-1","numerals-ogee1238-1","Chan2019","eighty",80,"òrĩnɛ́","orine","","false",NA,NA,NA
"37","numerals-ogee1238-1-ninety-1","numerals-ogee1238-1","Chan2019","ninety",90,"òrĩnɛ́rɛ'ye","orinereye","(80+10)","false",NA,NA,NA
"38","numerals-ogee1238-1-ninety-2","numerals-ogee1238-1","Chan2019","ninety",90,"iyèrɛòrĩnɛ́","iyereorine","","false",NA,NA,NA
"39","numerals-ogee1238-1-hundred-1","numerals-ogee1238-1","Chan2019","hundred",100,"orĩ́tɔ̃̀","orito","","false",NA,NA,NA
"40","numerals-ogee1238-1-twohundred-1","numerals-ogee1238-1","Chan2019","twohundred",200,"íyèɡbɔ́rɔ","iyegboro","","false",NA,NA,NA
"41","numerals-ogee1238-1-fourhundred-1","numerals-ogee1238-1","Chan2019","fourhundred",400,"ìyíyeɡbɔ́rɔ","iyiyegboro","(200 x 2)","false",NA,NA,NA
"42","numerals-ogee1238-1-eighthundred-1","numerals-ogee1238-1","Chan2019","eighthundred",800,"ínɛ̀yèɡbɔ́rɔ","ineyegboro","","false",NA,NA,NA
"43","numerals-ogee1238-1-thousand-1","numerals-ogee1238-1","Chan2019","thousand",1000,"ítɔ̃̀yéɡbɔ́rɔ","itoyegboro","","false",NA,NA,NA
"44","numerals-ogee1238-1-twothousand-1","numerals-ogee1238-1","Chan2019","twothousand",2000,"íyèyéɡbɔ́rɔ","iyeyegboro","","false",NA,NA,NA
