"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-maxi1236-1-one-1","numerals-maxi1236-1","Chan2019","one",1,"ɖèé","dee","","false",NA,NA,NA
"2","numerals-maxi1236-1-two-1","numerals-maxi1236-1","Chan2019","two",2,"òwè","owe","","false",NA,NA,NA
"3","numerals-maxi1236-1-three-1","numerals-maxi1236-1","Chan2019","three",3,"ɔ̀tɔ̃̀","oto","","false",NA,NA,NA
"4","numerals-maxi1236-1-four-1","numerals-maxi1236-1","Chan2019","four",4,"ɛ̀nɛ̀","ene","","false",NA,NA,NA
"5","numerals-maxi1236-1-five-1","numerals-maxi1236-1","Chan2019","five",5,"àtɔ̃́","ato","","false",NA,NA,NA
"6","numerals-maxi1236-1-six-1","numerals-maxi1236-1","Chan2019","six",6,"ayizɛ̃","ayize","","false",NA,NA,NA
"7","numerals-maxi1236-1-seven-1","numerals-maxi1236-1","Chan2019","seven",7,"tɛ́ɛwè","teewe","( 5 + 2 )","false",NA,NA,NA
"8","numerals-maxi1236-1-eight-1","numerals-maxi1236-1","Chan2019","eight",8,"tã́tɔ̃̀","tato","( 5 + 3 )","false",NA,NA,NA
"9","numerals-maxi1236-1-nine-1","numerals-maxi1236-1","Chan2019","nine",9,"tɛ̃ɛ̃nɛ̀","teene","( 5 + 5 )","false",NA,NA,NA
"10","numerals-maxi1236-1-ten-1","numerals-maxi1236-1","Chan2019","ten",10,"òwó","owo","","false",NA,NA,NA
"11","numerals-maxi1236-1-eleven-1","numerals-maxi1236-1","Chan2019","eleven",11,"òwókúk͡pó","owokukpo","","false",NA,NA,NA
"12","numerals-maxi1236-1-twelve-1","numerals-maxi1236-1","Chan2019","twelve",12,"òwòkówè","owokowe","","false",NA,NA,NA
"13","numerals-maxi1236-1-thirteen-1","numerals-maxi1236-1","Chan2019","thirteen",13,"òwòkótɔ̃̀","owokoto","","false",NA,NA,NA
"14","numerals-maxi1236-1-fourteen-1","numerals-maxi1236-1","Chan2019","fourteen",14,"òwóénɛ̀","owoene","","false",NA,NA,NA
"15","numerals-maxi1236-1-fifteen-1","numerals-maxi1236-1","Chan2019","fifteen",15,"àfɔ̀tɔ̃́","afoto","(litː 'foot x 3 ')","false",NA,NA,NA
"16","numerals-maxi1236-1-sixteen-1","numerals-maxi1236-1","Chan2019","sixteen",16,"àfɔ̀tɔ̃ŋkúk͡pó","afotongkukpo","( 15 + 1 )","false",NA,NA,NA
"17","numerals-maxi1236-1-seventeen-1","numerals-maxi1236-1","Chan2019","seventeen",17,"àfɔ̀tɔ̃ŋkówè","afotongkowe","( 15 + 2 )","false",NA,NA,NA
"18","numerals-maxi1236-1-eighteen-1","numerals-maxi1236-1","Chan2019","eighteen",18,"àfɔ̀tɔ̃ŋkótɔ̃","afotongkoto","( 15 + 3 )","false",NA,NA,NA
"19","numerals-maxi1236-1-nineteen-1","numerals-maxi1236-1","Chan2019","nineteen",19,"àfɔ̀tɔ̃ŋkúènɛ̀","afotongkuene","( 15 + 4 )","false",NA,NA,NA
"20","numerals-maxi1236-1-twenty-1","numerals-maxi1236-1","Chan2019","twenty",20,"ko","ko","","false",NA,NA,NA
"21","numerals-maxi1236-1-twentyone-1","numerals-maxi1236-1","Chan2019","twentyone",21,"koŋkúk͡pó","kongkukpo","","false",NA,NA,NA
"22","numerals-maxi1236-1-twentytwo-1","numerals-maxi1236-1","Chan2019","twentytwo",22,"koŋkówè","kongkowe","","false",NA,NA,NA
"23","numerals-maxi1236-1-twentythree-1","numerals-maxi1236-1","Chan2019","twentythree",23,"koŋkɔ́tɔ̃̀","kongkoto","","false",NA,NA,NA
"24","numerals-maxi1236-1-twentyfour-1","numerals-maxi1236-1","Chan2019","twentyfour",24,"koŋkúènɛ̀","kongkuene","","false",NA,NA,NA
"25","numerals-maxi1236-1-twentyfive-1","numerals-maxi1236-1","Chan2019","twentyfive",25,"koatɔ̃́","koato","","false",NA,NA,NA
"26","numerals-maxi1236-1-twentysix-1","numerals-maxi1236-1","Chan2019","twentysix",26,"koatɔ̃́ŋkúk͡pó","koatongkukpo","( 20 + 5 + 1 )","false",NA,NA,NA
"27","numerals-maxi1236-1-twentyseven-1","numerals-maxi1236-1","Chan2019","twentyseven",27,"koatɔ̃́ŋkówè","koatongkowe","( 20 + 5 + 2 )","false",NA,NA,NA
"28","numerals-maxi1236-1-twentyeight-1","numerals-maxi1236-1","Chan2019","twentyeight",28,"koatɔ̃́ŋkótɔ̃̀","koatongkoto","( 20 + 5 + 3 )","false",NA,NA,NA
"29","numerals-maxi1236-1-twentynine-1","numerals-maxi1236-1","Chan2019","twentynine",29,"koatɔ̃́ŋkúènɛ́","koatongkuene","( 20 + 5 + 4 )","false",NA,NA,NA
"30","numerals-maxi1236-1-thirty-1","numerals-maxi1236-1","Chan2019","thirty",30,"ɡ͡bã̀","gba","","false",NA,NA,NA
"31","numerals-maxi1236-1-forty-1","numerals-maxi1236-1","Chan2019","forty",40,"kãɖé","kade","","false",NA,NA,NA
"32","numerals-maxi1236-1-fifty-1","numerals-maxi1236-1","Chan2019","fifty",50,"kãɖéòwó","kadeowo","( 40 + 10 )","false",NA,NA,NA
"33","numerals-maxi1236-1-sixty-1","numerals-maxi1236-1","Chan2019","sixty",60,"kãɖéko","kadeko","( 40 + 20 )","false",NA,NA,NA
"34","numerals-maxi1236-1-seventy-1","numerals-maxi1236-1","Chan2019","seventy",70,"kãɖéɡ͡bã̀","kadegba","( 40 + 30 )","false",NA,NA,NA
"35","numerals-maxi1236-1-eighty-1","numerals-maxi1236-1","Chan2019","eighty",80,"kãwè","kawe","( 40 x 2 )","false",NA,NA,NA
"36","numerals-maxi1236-1-ninety-1","numerals-maxi1236-1","Chan2019","ninety",90,"kãwèwòó","kawewoo","( 40 x 2 + 10 )","false",NA,NA,NA
"37","numerals-maxi1236-1-hundred-1","numerals-maxi1236-1","Chan2019","hundred",100,"alɔfá","alofa","","false",NA,NA,NA
"38","numerals-maxi1236-1-twohundred-1","numerals-maxi1236-1","Chan2019","twohundred",200,"afɔfáwè","afofawe","( 100 x 2 )","false",NA,NA,NA
"39","numerals-maxi1236-1-thousand-1","numerals-maxi1236-1","Chan2019","thousand",1000,"ak͡poŋk͡pó","akpongkpo","( litː ''bag x 1'' )","false",NA,NA,NA
"40","numerals-maxi1236-1-twothousand-1","numerals-maxi1236-1","Chan2019","twothousand",2000,"ak͡powè","akpowe","( litː ''2 bags'' )","false",NA,NA,NA
