"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-duru1249-1-one-1","numerals-duru1249-1","Chan2019","one",1,"mɔt͡sʰi","motshi","","false",NA,NA,NA
"2","numerals-duru1249-1-two-1","numerals-duru1249-1","Chan2019","two",2,"βiɾi","biri","","false",NA,NA,NA
"3","numerals-duru1249-1-three-1","numerals-duru1249-1","Chan2019","three",3,"hãhũ","hahu","","false",NA,NA,NA
"4","numerals-duru1249-1-four-1","numerals-duru1249-1","Chan2019","four",4,"inɛ","ine","","false",NA,NA,NA
"5","numerals-duru1249-1-five-1","numerals-duru1249-1","Chan2019","five",5,"t͡sʰanɔ","tshano","","false",NA,NA,NA
"6","numerals-duru1249-1-six-1","numerals-duru1249-1","Chan2019","six",6,"handãhũ","handahu","","false",NA,NA,NA
"7","numerals-duru1249-1-seven-1","numerals-duru1249-1","Chan2019","seven",7,"fungãhɛ̃","fungahe","","false",NA,NA,NA
"8","numerals-duru1249-1-eight-1","numerals-duru1249-1","Chan2019","eight",8,"nanɛ","nane","","false",NA,NA,NA
"9","numerals-duru1249-1-nine-1","numerals-duru1249-1","Chan2019","nine",9,"tʃɛnda","tsenda","","false",NA,NA,NA
"10","numerals-duru1249-1-ten-1","numerals-duru1249-1","Chan2019","ten",10,"kumi","kumi","","false",NA,NA,NA
"11","numerals-duru1249-1-eleven-1","numerals-duru1249-1","Chan2019","eleven",11,"kumi na mweŋɡa","kuminamwengga","","false",NA,NA,NA
"12","numerals-duru1249-1-twelve-1","numerals-duru1249-1","Chan2019","twelve",12,"kumi na mβiɾi","kuminambiri","","false",NA,NA,NA
"13","numerals-duru1249-1-thirteen-1","numerals-duru1249-1","Chan2019","thirteen",13,"kumi na thãhũ","kuminathahu","","false",NA,NA,NA
"14","numerals-duru1249-1-fourteen-1","numerals-duru1249-1","Chan2019","fourteen",14,"kumi na nɛ","kuminane","","false",NA,NA,NA
"15","numerals-duru1249-1-fifteen-1","numerals-duru1249-1","Chan2019","fifteen",15,"kumi na t͡sʰanɔ","kuminatshano","","false",NA,NA,NA
"16","numerals-duru1249-1-sixteen-1","numerals-duru1249-1","Chan2019","sixteen",16,"kumi na thandãhũ","kuminathandahu","","false",NA,NA,NA
"17","numerals-duru1249-1-seventeen-1","numerals-duru1249-1","Chan2019","seventeen",17,"kumi na fungãhɛ̃","kuminafungahe","","false",NA,NA,NA
"18","numerals-duru1249-1-eighteen-1","numerals-duru1249-1","Chan2019","eighteen",18,"kumi na nanɛ","kuminanane","","false",NA,NA,NA
"19","numerals-duru1249-1-nineteen-1","numerals-duru1249-1","Chan2019","nineteen",19,"kumi na t͡ʃɛnda","kuminatsenda","","false",NA,NA,NA
"20","numerals-duru1249-1-twenty-1","numerals-duru1249-1","Chan2019","twenty",20,"mirɔŋɡɔ miβiɾi","mironggomibiri","","false",NA,NA,NA
"21","numerals-duru1249-1-twentyone-1","numerals-duru1249-1","Chan2019","twentyone",21,"mirɔŋɡɔ miβiɾi na mwɛŋɡa","mironggomibirinamwengga","","false",NA,NA,NA
"22","numerals-duru1249-1-twentytwo-1","numerals-duru1249-1","Chan2019","twentytwo",22,"mirɔŋɡɔ miβiɾi na mβiɾi","mironggomibirinambiri","","false",NA,NA,NA
"23","numerals-duru1249-1-twentythree-1","numerals-duru1249-1","Chan2019","twentythree",23,"mirɔŋɡɔ miβiɾi na thãhũ","mironggomibirinathahu","","false",NA,NA,NA
"24","numerals-duru1249-1-twentyfour-1","numerals-duru1249-1","Chan2019","twentyfour",24,"mirɔŋɡɔ miβiɾi na nɛ","mironggomibirinane","","false",NA,NA,NA
"25","numerals-duru1249-1-twentyfive-1","numerals-duru1249-1","Chan2019","twentyfive",25,"mirɔŋɡɔ miβiɾi na t͡sʰanɔ","mironggomibirinatshano","","false",NA,NA,NA
"26","numerals-duru1249-1-twentysix-1","numerals-duru1249-1","Chan2019","twentysix",26,"mirɔŋɡɔ miβiɾi na thandãhũ","mironggomibirinathandahu","","false",NA,NA,NA
