"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-baka1274-1-one-1","numerals-baka1274-1","Chan2019","one",1,"ké̘ɗò","kedo","","false",NA,NA,NA
"2","numerals-baka1274-1-two-1","numerals-baka1274-1","Chan2019","two",2,"ɡ͡bʀ͡ʙɛ̀","gbrbe","","false",NA,NA,NA
"3","numerals-baka1274-1-three-1","numerals-baka1274-1","Chan2019","three",3,"ɔ̀tà","ota","","false",NA,NA,NA
"4","numerals-baka1274-1-four-1","numerals-baka1274-1","Chan2019","four",4,"ɛ̀sɔ̀","eso","","false",NA,NA,NA
"5","numerals-baka1274-1-five-1","numerals-baka1274-1","Chan2019","five",5,"ìɲì","ini","","false",NA,NA,NA
"6","numerals-baka1274-1-six-1","numerals-baka1274-1","Chan2019","six",6,"ìɲidɔ̀à kéɽí","inidoakeri","( 5, on it 1 )","false",NA,NA,NA
"7","numerals-baka1274-1-seven-1","numerals-baka1274-1","Chan2019","seven",7,"ìɲidɔ̀à ɡ͡bʀ͡ʙɛ̀","inidoagbrbe","( 5, on it 2 )","false",NA,NA,NA
"8","numerals-baka1274-1-eight-1","numerals-baka1274-1","Chan2019","eight",8,"ìɲidɔ̀à ɔ̀tà","inidoaota","( 5, on it 3 )","false",NA,NA,NA
"9","numerals-baka1274-1-nine-1","numerals-baka1274-1","Chan2019","nine",9,"ìɲidɔ̀à ɛ̀sɔ̀","inidoaeso","( 5, on it 4 )","false",NA,NA,NA
"10","numerals-baka1274-1-ten-1","numerals-baka1274-1","Chan2019","ten",10,"sɔ̀kɔ́","soko","","false",NA,NA,NA
"11","numerals-baka1274-1-eleven-1","numerals-baka1274-1","Chan2019","eleven",11,"sɔ̀kɔ́ dɔ̀à kéɽí","sokodoakeri","","false",NA,NA,NA
"12","numerals-baka1274-1-twelve-1","numerals-baka1274-1","Chan2019","twelve",12,"sɔ̀kɔ́ dɔ̀à ɡ͡bʀ͡ʙɛ̀","sokodoagbrbe","","false",NA,NA,NA
