"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-seze1235-1-one-1","numerals-seze1235-1","Chan2019","one",1,"ʔìʃílè","isile","","false",NA,NA,NA
"2","numerals-seze1235-1-two-1","numerals-seze1235-1","Chan2019","two",2,"nòmbé","nombe","","false",NA,NA,NA
"3","numerals-seze1235-1-three-1","numerals-seze1235-1","Chan2019","three",3,"sììzé","siize","","false",NA,NA,NA
"4","numerals-seze1235-1-four-1","numerals-seze1235-1","Chan2019","four",4,"besʼsʼé","besse","","false",NA,NA,NA
"5","numerals-seze1235-1-five-1","numerals-seze1235-1","Chan2019","five",5,"kʼwíssé","kwisse","( lit: 'hand', kusɛ )","false",NA,NA,NA
"6","numerals-seze1235-1-six-1","numerals-seze1235-1","Chan2019","six",6,"kʼwíssé ʔòòt ʔìʃílè","kwisseootisile","(litː 5 remaining 1)","false",NA,NA,NA
"7","numerals-seze1235-1-seven-1","numerals-seze1235-1","Chan2019","seven",7,"kʼwíssé ʔòòt nòmbé","kwisseootnombe","(litː 5 remain. 2)","false",NA,NA,NA
"8","numerals-seze1235-1-eight-1","numerals-seze1235-1","Chan2019","eight",8,"kʼwíssé ʔòòt sììzé","kwisseootsiize","(litː 5 remaining 3)","false",NA,NA,NA
"9","numerals-seze1235-1-nine-1","numerals-seze1235-1","Chan2019","nine",9,"kʼwíssé ʔòòt besʼsʼé","kwisseootbesse","(litː 5 remain. 4)","false",NA,NA,NA
"10","numerals-seze1235-1-ten-1","numerals-seze1235-1","Chan2019","ten",10,"kúúsé","kuuse","","false",NA,NA,NA
"11","numerals-seze1235-1-eleven-1","numerals-seze1235-1","Chan2019","eleven",11,"kúúsé ʔòòt ʔìʃílè","kuuseootisile","(litː hand remain.1)","false",NA,NA,NA
"12","numerals-seze1235-1-twelve-1","numerals-seze1235-1","Chan2019","twelve",12,"kúúsé ʔòòt nòmbé","kuuseootnombe","","false",NA,NA,NA
"13","numerals-seze1235-1-thirteen-1","numerals-seze1235-1","Chan2019","thirteen",13,"kúúsé ʔòòt sììzé","kuuseootsiize","","false",NA,NA,NA
"14","numerals-seze1235-1-fourteen-1","numerals-seze1235-1","Chan2019","fourteen",14,"kúúsé ʔòòt besʼsʼé","kuuseootbesse","","false",NA,NA,NA
"15","numerals-seze1235-1-fifteen-1","numerals-seze1235-1","Chan2019","fifteen",15,"kúúsé ʔòòt kʼwíssé","kuuseootkwisse","(ʃál djááʃi)","false",NA,NA,NA
"16","numerals-seze1235-1-sixteen-1","numerals-seze1235-1","Chan2019","sixteen",16,"kúúsé ʔòòt kʼwíssé ʔòòt ʔìʃílè","kuuseootkwisseootisile","","false",NA,NA,NA
"17","numerals-seze1235-1-seventeen-1","numerals-seze1235-1","Chan2019","seventeen",17,"kúúsé ʔòòt kʼwíssé ʔòòt nòmbé","kuuseootkwisseootnombe","","false",NA,NA,NA
"18","numerals-seze1235-1-eighteen-1","numerals-seze1235-1","Chan2019","eighteen",18,"kúúsé ʔòòt kʼwíssé ʔòòt sììzé","kuuseootkwisseootsiize","","false",NA,NA,NA
"19","numerals-seze1235-1-nineteen-1","numerals-seze1235-1","Chan2019","nineteen",19,"kúúsé ʔòòt kʼwíssé ʔòòt besʼsʼé","kuuseootkwisseootbesse","","false",NA,NA,NA
"20","numerals-seze1235-1-twenty-1","numerals-seze1235-1","Chan2019","twenty",20,"ʔìʃíl màà kʼwèèj","isilmaakweej","","false",NA,NA,NA
"21","numerals-seze1235-1-twentyone-1","numerals-seze1235-1","Chan2019","twentyone",21,"ʔìʃíl màa kʼwèènè ʔìʃílnè","isilmaakweeneisilne","","false",NA,NA,NA
"22","numerals-seze1235-1-twentytwo-1","numerals-seze1235-1","Chan2019","twentytwo",22,"ʔìʃíl màa kʼwèènè nòmbénè","isilmaakweenenombene","","false",NA,NA,NA
"23","numerals-seze1235-1-twentythree-1","numerals-seze1235-1","Chan2019","twentythree",23,"ʔìʃíl màa kʼwèènè sììzénè","isilmaakweenesiizene","","false",NA,NA,NA
"24","numerals-seze1235-1-twentyfour-1","numerals-seze1235-1","Chan2019","twentyfour",24,"ʔìʃíl màa kʼwèènè besʼsʼénè","isilmaakweenebessene","","false",NA,NA,NA
"25","numerals-seze1235-1-twentyfive-1","numerals-seze1235-1","Chan2019","twentyfive",25,"ʔìʃíl màa kʼwèènè kʼwíssénè","isilmaakweenekwissene","","false",NA,NA,NA
"26","numerals-seze1235-1-twentysix-1","numerals-seze1235-1","Chan2019","twentysix",26,"ʔìʃíl màa kʼwèènè kʼwíssé ʔòòt ʔìʃílnè","isilmaakweenekwisseootisilne","","false",NA,NA,NA
"27","numerals-seze1235-1-twentyseven-1","numerals-seze1235-1","Chan2019","twentyseven",27,"ʔìʃíl màa kʼwèènè kʼwíssé ʔòòt nòmbénè","isilmaakweenekwisseootnombene","","false",NA,NA,NA
"28","numerals-seze1235-1-twentyeight-1","numerals-seze1235-1","Chan2019","twentyeight",28,"ʔìʃíl màa kʼwèènè kʼwíssé ʔòòt sììzénè","isilmaakweenekwisseootsiizene","","false",NA,NA,NA
"29","numerals-seze1235-1-twentynine-1","numerals-seze1235-1","Chan2019","twentynine",29,"ʔìʃíl màa kʼwèènè kʼwíssé ʔòòt besʼsʼénè","isilmaakweenekwisseootbessene","","false",NA,NA,NA
"30","numerals-seze1235-1-thirty-1","numerals-seze1235-1","Chan2019","thirty",30,"ʔìʃíl màa kʼwèènè","isilmaakweene","","false",NA,NA,NA
"31","numerals-seze1235-1-forty-1","numerals-seze1235-1","Chan2019","forty",40,"nòmbé màà kʼwèèj","nombemaakweej","( 2 x 20 )","false",NA,NA,NA
"32","numerals-seze1235-1-fifty-1","numerals-seze1235-1","Chan2019","fifty",50,"nòmbé màa kʼwèènè","nombemaakweene","","false",NA,NA,NA
"33","numerals-seze1235-1-sixty-1","numerals-seze1235-1","Chan2019","sixty",60,"sììzé màà kʼwèèj","siizemaakweej","( 3 x 20 )","false",NA,NA,NA
"34","numerals-seze1235-1-seventy-1","numerals-seze1235-1","Chan2019","seventy",70,"sììzé màa kʼwèènè","siizemaakweene","","false",NA,NA,NA
"35","numerals-seze1235-1-eighty-1","numerals-seze1235-1","Chan2019","eighty",80,"besʼsʼé màà kʼwèèj","bessemaakweej","( 4 x 20 )","false",NA,NA,NA
"36","numerals-seze1235-1-ninety-1","numerals-seze1235-1","Chan2019","ninety",90,"besʼsʼé màa kʼwèènè","bessemaakweene","","false",NA,NA,NA
"37","numerals-seze1235-1-hundred-1","numerals-seze1235-1","Chan2019","hundred",100,"kʼwíssé màà kʼwèèj","kwissemaakweej","( 5 x 20 )","false",NA,NA,NA
"38","numerals-seze1235-1-twohundred-1","numerals-seze1235-1","Chan2019","twohundred",200,"kúúsémàà kʼwèèj","kuusemaakweej","( 10 x 20 )","false",NA,NA,NA
