;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-akeb1238-1-one-1;numerals-akeb1238-1;Chan2019;one;1;ʈɛ́ì;tei;;FALSE;1;;
2;numerals-akeb1238-1-two-1;numerals-akeb1238-1;Chan2019;two;2;jí;ji;;FALSE;2;;
3;numerals-akeb1238-1-three-1;numerals-akeb1238-1;Chan2019;three;3;tā;ta;;FALSE;3;;
4;numerals-akeb1238-1-four-1;numerals-akeb1238-1;Chan2019;four;4;nìə̀ə̀;niaa;;FALSE;4;;
5;numerals-akeb1238-1-five-1;numerals-akeb1238-1;Chan2019;five;5;tʊ̄ʊ̀;tuu;;FALSE;5;;
6;numerals-akeb1238-1-six-1;numerals-akeb1238-1;Chan2019;six;6;kʊ̀rã̀ŋ;kurang;;FALSE;6;;
7;numerals-akeb1238-1-seven-1;numerals-akeb1238-1;Chan2019;seven;7;pīrìmātā;pirimata;;FALSE;7;;
8;numerals-akeb1238-1-eight-1;numerals-akeb1238-1;Chan2019;eight;8;nɛ̀ĩ̀ŋ;neing;;FALSE;8;;
9;numerals-akeb1238-1-nine-1;numerals-akeb1238-1;Chan2019;nine;9;fã̀ŋt͡ʃẽ̄ŋt͡ʃẽ̄ŋ;fangtsengtseng;;FALSE;10-1’;;
10;numerals-akeb1238-1-ten-1;numerals-akeb1238-1;Chan2019;ten;10;tə̀;ta;;FALSE;10’;t > f;
11;numerals-akeb1238-1-eleven-1;numerals-akeb1238-1;Chan2019;eleven;11;tə̀mɨ̄rɛ́ì;tamirei;;FALSE;10’+{+}1”;1;
12;numerals-akeb1238-1-twelve-1;numerals-akeb1238-1;Chan2019;twelve;12;tə̀mɨ̄jí;tamiji;;FALSE;10’+{+}2;;
13;numerals-akeb1238-1-thirteen-1;numerals-akeb1238-1;Chan2019;thirteen;13;tə̀mɨ̄tā;tamita;;FALSE;10’+{+}3;;
14;numerals-akeb1238-1-fourteen-1;numerals-akeb1238-1;Chan2019;fourteen;14;tə̀mɨ̄nìə̀ə̀;taminiaa;;FALSE;10’+{+}4;;
15;numerals-akeb1238-1-fifteen-1;numerals-akeb1238-1;Chan2019;fifteen;15;tə̀mɨ̄tʊ̄ʊ̀;tamituu;;FALSE;10’+{+}5;;
16;numerals-akeb1238-1-sixteen-1;numerals-akeb1238-1;Chan2019;sixteen;16;tə̀mɨ̄kʊ̀rã̀ŋ;tamikurang;;FALSE;10’+{+}6;;
17;numerals-akeb1238-1-seventeen-1;numerals-akeb1238-1;Chan2019;seventeen;17;tə̀mɨ̄βīrìmātā;tamibirimata;;FALSE;10’+{+}7;;
18;numerals-akeb1238-1-eighteen-1;numerals-akeb1238-1;Chan2019;eighteen;18;tə̀mɨ̄nɛ̀ĩ̀ŋ;tamineing;;FALSE;10’+{+}8;;
19;numerals-akeb1238-1-nineteen-1;numerals-akeb1238-1;Chan2019;nineteen;19;tə̀mɨ̄fã̀ŋt͡ʃẽ̄ŋt͡ʃẽ̄ŋ;tamifangtsengtseng;;FALSE;10’+{+}10-1’;;
20;numerals-akeb1238-1-twenty-1;numerals-akeb1238-1;Chan2019;twenty;20;tìí;tii;;FALSE;20;;
21;numerals-akeb1238-1-twentyone-1;numerals-akeb1238-1;Chan2019;twentyone;21;tìímɨ̄rɛ́ì;tiimirei;;FALSE;20+{+}1;;
22;numerals-akeb1238-1-twentytwo-1;numerals-akeb1238-1;Chan2019;twentytwo;22;tìímɨ̄jí;tiimiji;;FALSE;20+{+}2;;
23;numerals-akeb1238-1-twentythree-1;numerals-akeb1238-1;Chan2019;twentythree;23;tìímɨ̄tā;tiimita;;FALSE;20+{+}3;;
24;numerals-akeb1238-1-twentyfour-1;numerals-akeb1238-1;Chan2019;twentyfour;24;tìímɨ̄nìə̀ə̀;tiiminiaa;;FALSE;20+{+}4;;
25;numerals-akeb1238-1-twentyfive-1;numerals-akeb1238-1;Chan2019;twentyfive;25;tìímɨ̄tʊ̄ʊ̀;tiimituu;;FALSE;20+{+}5;;
26;numerals-akeb1238-1-twentysix-1;numerals-akeb1238-1;Chan2019;twentysix;26;tìímɨ̄kʊ̀rã̀ŋ;tiimikurang;;FALSE;20+{+}6;;
27;numerals-akeb1238-1-twentyseven-1;numerals-akeb1238-1;Chan2019;twentyseven;27;tìímɨ̄βīrìmātā;tiimibirimata;;FALSE;20+{+}7;;
28;numerals-akeb1238-1-twentyeight-1;numerals-akeb1238-1;Chan2019;twentyeight;28;tìímɨ̄nɛ̀ĩ̀ŋ;tiimineing;;FALSE;20+{+}8;;
29;numerals-akeb1238-1-twentynine-1;numerals-akeb1238-1;Chan2019;twentynine;29;tìímɨ̄fã̀ŋt͡ʃẽ̄ŋt͡ʃẽ̄ŋ;tiimifangtsengtseng;;FALSE;20+{+}(10-1’);;
30;numerals-akeb1238-1-thirty-1;numerals-akeb1238-1;Chan2019;thirty;30;tə̀tā;tata;;FALSE;10’·3;;
31;numerals-akeb1238-1-forty-1;numerals-akeb1238-1;Chan2019;forty;40;tə̀nìə̀ə̀;taniaa;;FALSE;10’·4;;
32;numerals-akeb1238-1-fifty-1;numerals-akeb1238-1;Chan2019;fifty;50;tə̀tʊ̄ʊ̀;tatuu;;FALSE;10’·5;;
33;numerals-akeb1238-1-sixty-1;numerals-akeb1238-1;Chan2019;sixty;60;tə̀kʊ̀rã̀ŋ;takurang;;FALSE;10’·6;;
34;numerals-akeb1238-1-seventy-1;numerals-akeb1238-1;Chan2019;seventy;70;tə̀βīrìmātā;tabirimata;;FALSE;10’·7;;
35;numerals-akeb1238-1-eighty-1;numerals-akeb1238-1;Chan2019;eighty;80;tə̀nɛ̀ĩ̀ŋ;taneing;;FALSE;10’·8;;
36;numerals-akeb1238-1-ninety-1;numerals-akeb1238-1;Chan2019;ninety;90;tə̀fã̀ŋt͡ʃẽ̄ŋt͡ʃẽ̄ŋ;tafangtsengtseng;;FALSE;10’·(10-1’);;
37;numerals-akeb1238-1-hundred-1;numerals-akeb1238-1;Chan2019;hundred;100;tùùrù;tuuru;;FALSE;100;;
38;numerals-akeb1238-1-twohundred-1;numerals-akeb1238-1;Chan2019;twohundred;200;tùùrùjí;tuuruji;;FALSE;100·2;;
39;numerals-akeb1238-1-thousand-1;numerals-akeb1238-1;Chan2019;thousand;1000;lààfā;laafa;;FALSE;1000;;
40;numerals-akeb1238-1-twothousand-1;numerals-akeb1238-1;Chan2019;twothousand;2000;lààfājí;laafaji;;FALSE;1000·2;;
