;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-kura1250-1-one-1;numerals-kura1250-1;Chan2019;one;1;kelen;kelen;;FALSE;1;;
2;numerals-kura1250-1-two-1;numerals-kura1250-1;Chan2019;two;2;fila;fila;;FALSE;2;;
3;numerals-kura1250-1-three-1;numerals-kura1250-1;Chan2019;three;3;sawa;sawa;;FALSE;3;;
4;numerals-kura1250-1-three-2;numerals-kura1250-1;Chan2019;three;3;saba;saba;;FALSE;3’;;
5;numerals-kura1250-1-four-1;numerals-kura1250-1;Chan2019;four;4;nani;nani;;FALSE;4;;
6;numerals-kura1250-1-five-1;numerals-kura1250-1;Chan2019;five;5;loli;loli;;FALSE;5;;
7;numerals-kura1250-1-six-1;numerals-kura1250-1;Chan2019;six;6;wɔrɔ;woro;;FALSE;5’+[1’];;
8;numerals-kura1250-1-seven-1;numerals-kura1250-1;Chan2019;seven;7;wɔrɔnfila;woronfila;( 6 + 1 ) ?;FALSE;"5""+2";;
9;numerals-kura1250-1-eight-1;numerals-kura1250-1;Chan2019;eight;8;seɡin;segin;;FALSE;8;;
10;numerals-kura1250-1-nine-1;numerals-kura1250-1;Chan2019;nine;9;kɔnɔnt;konont;;FALSE;9;;
11;numerals-kura1250-1-ten-1;numerals-kura1250-1;Chan2019;ten;10;tan;tan;;FALSE;10;;
12;numerals-kura1250-1-eleven-1;numerals-kura1250-1;Chan2019;eleven;11;tan ni kelen;tannikelen;;FALSE;10+[+]1;;
13;numerals-kura1250-1-twelve-1;numerals-kura1250-1;Chan2019;twelve;12;tan ni fila;tannifila;;FALSE;10+[+]2;;
14;numerals-kura1250-1-thirteen-1;numerals-kura1250-1;Chan2019;thirteen;13;tan ni sawa;tannisawa;;FALSE;10+[+]3;;
15;numerals-kura1250-1-fourteen-1;numerals-kura1250-1;Chan2019;fourteen;14;tan ni nani;tanninani;;FALSE;10+[+]4;;
16;numerals-kura1250-1-fifteen-1;numerals-kura1250-1;Chan2019;fifteen;15;tan ni loli;tanniloli;;FALSE;10+[+]5;;
17;numerals-kura1250-1-sixteen-1;numerals-kura1250-1;Chan2019;sixteen;16;tan ni wɔrɔ;tanniworo;;FALSE;10+[+]5’+[1’];;
18;numerals-kura1250-1-seventeen-1;numerals-kura1250-1;Chan2019;seventeen;17;tan ni wɔrɔnfila;tanniworonfila;;FALSE;"10+[+]5""+2";;
19;numerals-kura1250-1-eighteen-1;numerals-kura1250-1;Chan2019;eighteen;18;tan ni seɡin;tannisegin;;FALSE;10+[+]8;;
20;numerals-kura1250-1-nineteen-1;numerals-kura1250-1;Chan2019;nineteen;19;tan ni kɔnɔnt;tannikonont;;FALSE;10+[+]9;;
21;numerals-kura1250-1-twenty-1;numerals-kura1250-1;Chan2019;twenty;20;moɡan;mogan;;FALSE;20;;
22;numerals-kura1250-1-twentyone-1;numerals-kura1250-1;Chan2019;twentyone;21;moɡan ni kelen;mogannikelen;;FALSE;20+[+]1;;
23;numerals-kura1250-1-twentytwo-1;numerals-kura1250-1;Chan2019;twentytwo;22;moɡan ni fila;mogannifila;;FALSE;20+[+]2;;
24;numerals-kura1250-1-twentythree-1;numerals-kura1250-1;Chan2019;twentythree;23;moɡan ni sawa;mogannisawa;;FALSE;20+[+]3;;
25;numerals-kura1250-1-twentyfour-1;numerals-kura1250-1;Chan2019;twentyfour;24;moɡan ni nani;moganninani;;FALSE;20+[+]4;;
26;numerals-kura1250-1-twentyfive-1;numerals-kura1250-1;Chan2019;twentyfive;25;moɡan ni loli;moganniloli;;FALSE;20+[+]5;;
27;numerals-kura1250-1-twentysix-1;numerals-kura1250-1;Chan2019;twentysix;26;moɡan ni wɔrɔ;moganniworo;;FALSE;20+[+]5’+[1’];;
28;numerals-kura1250-1-twentyseven-1;numerals-kura1250-1;Chan2019;twentyseven;27;moɡan ni wɔrɔnfila;moganniworonfila;;FALSE;"20+[+]5""+2";;
29;numerals-kura1250-1-twentyeight-1;numerals-kura1250-1;Chan2019;twentyeight;28;moɡan ni seɡin;mogannisegin;;FALSE;20+[+]8;;
30;numerals-kura1250-1-twentynine-1;numerals-kura1250-1;Chan2019;twentynine;29;moɡan ni kɔnɔnt;mogannikonont;;FALSE;20+[+]9;;
31;numerals-kura1250-1-thirty-1;numerals-kura1250-1;Chan2019;thirty;30;bi-sawa;bisawa;;FALSE;10'·3;;
32;numerals-kura1250-1-thirty-2;numerals-kura1250-1;Chan2019;thirty;30;bi-saba;bisaba;;FALSE;10’·3’;;
33;numerals-kura1250-1-forty-1;numerals-kura1250-1;Chan2019;forty;40;bi-nani;binani;;FALSE;10’·4;;
34;numerals-kura1250-1-fifty-1;numerals-kura1250-1;Chan2019;fifty;50;bi-loli;biloli;;FALSE;10’·5;;
35;numerals-kura1250-1-sixty-1;numerals-kura1250-1;Chan2019;sixty;60;bi-wɔrɔ;biworo;;FALSE;10’·(5’+[1’]);;
36;numerals-kura1250-1-seventy-1;numerals-kura1250-1;Chan2019;seventy;70;bi-wɔrɔnfila;biworonfila;;FALSE;10’·(5”+2);;
37;numerals-kura1250-1-eighty-1;numerals-kura1250-1;Chan2019;eighty;80;bi-seɡin;bisegin;;FALSE;10’·8;;
38;numerals-kura1250-1-ninety-1;numerals-kura1250-1;Chan2019;ninety;90;bi-kɔnɔnt;bikonont;;FALSE;10’·9;;
39;numerals-kura1250-1-hundred-1;numerals-kura1250-1;Chan2019;hundred;100;kɛmɛ;keme;;FALSE;100;;
40;numerals-kura1250-1-twohundred-1;numerals-kura1250-1;Chan2019;twohundred;200;kɛmɛ fila;kemefila;;FALSE;100·2;;
41;numerals-kura1250-1-thousand-1;numerals-kura1250-1;Chan2019;thousand;1000;waɡa;waga;;FALSE;1000;;
42;numerals-kura1250-1-twothousand-1;numerals-kura1250-1;Chan2019;twothousand;2000;waɡa fila;wagafila;;FALSE;1000·2;;
43;numerals-kura1250-1-twothousand-2;numerals-kura1250-1;Chan2019;twothousand;2000;wa'a fila;waafila;;FALSE;1000'·2;;
