,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-bode1246-1-one-1,numerals-bode1246-1,Chan2019,one,1,kénne,kenne,,false,1,NA,NA
2,numerals-bode1246-1-two-1,numerals-bode1246-1,Chan2019,two,2,'óʂːa,osa,,false,2,NA,NA
3,numerals-bode1246-1-three-1,numerals-bode1246-1,Chan2019,three,3,tel(l)éeka,telleeka,,false,3,NA,NA
4,numerals-bode1246-1-four-1,numerals-bode1246-1,Chan2019,four,4,húja,huja,,false,4,NA,NA
5,numerals-bode1246-1-five-1,numerals-bode1246-1,Chan2019,five,5,kennékuh,kennekuh,(lit: 'one hand?'),false,1⋅5,NA,NA
6,numerals-bode1246-1-six-1,numerals-bode1246-1,Chan2019,six,6,pát͡ʃːiʈak,patsitak,,false,6,NA,NA
7,numerals-bode1246-1-seven-1,numerals-bode1246-1,Chan2019,seven,7,ʂeelóowih,seeloowih,,false,7,NA,NA
8,numerals-bode1246-1-eight-1,numerals-bode1246-1,Chan2019,eight,8,'óʂːuwah,osuwah,,false,8,NA,NA
9,numerals-bode1246-1-nine-1,numerals-bode1246-1,Chan2019,nine,9,kénnekotoh,kennekotoh,,false,1−{−}[10],NA,NA
10,numerals-bode1246-1-ten-1,numerals-bode1246-1,Chan2019,ten,10,kít͡ʃːih,kitsih,,false,10,NA,NA
11,numerals-bode1246-1-eleven-1,numerals-bode1246-1,Chan2019,eleven,11,kénne wállik,kennewallik,(ten) increased by one,false,1+{+}[10],NA,NA
12,numerals-bode1246-1-twelve-1,numerals-bode1246-1,Chan2019,twelve,12,'óʂːa wállik,osawallik,,false,2+{+}[10],NA,NA
13,numerals-bode1246-1-thirteen-1,numerals-bode1246-1,Chan2019,thirteen,13,tel(l)éeka wállik,telleekawallik,,false,3+{+}[10],NA,NA
14,numerals-bode1246-1-fourteen-1,numerals-bode1246-1,Chan2019,fourteen,14,húja wállik,hujawallik,,false,4+{+}[10],NA,NA
15,numerals-bode1246-1-fifteen-1,numerals-bode1246-1,Chan2019,fifteen,15,kennékuh wállik,kennekuhwallik,,false,1⋅5+{+}[10],NA,NA
16,numerals-bode1246-1-sixteen-1,numerals-bode1246-1,Chan2019,sixteen,16,pát͡ʃːiʈak wállik,patsitakwallik,,false,6+{+}[10],NA,NA
17,numerals-bode1246-1-seventeen-1,numerals-bode1246-1,Chan2019,seventeen,17,ʂeelóowih wállik,seeloowihwallik,,false,7+{+}[10],NA,NA
18,numerals-bode1246-1-eighteen-1,numerals-bode1246-1,Chan2019,eighteen,18,'óʂːuwah wállik,osuwahwallik,,false,8+{+}[10],NA,NA
19,numerals-bode1246-1-nineteen-1,numerals-bode1246-1,Chan2019,nineteen,19,kénnekotoh wállik,kennekotohwallik,,false,(1−{−}[10])+{+}[10],NA,NA
20,numerals-bode1246-1-twenty-1,numerals-bode1246-1,Chan2019,twenty,20,'óʂːa kít͡ʃːih,osakitsih,(litː 'two tens'),false,2⋅10,NA,NA
21,numerals-bode1246-1-twentyone-1,numerals-bode1246-1,Chan2019,twentyone,21,'óʂːa kít͡ʃːih kénne,osakitsihkenne,,false,2⋅10+1,NA,NA
22,numerals-bode1246-1-thirty-1,numerals-bode1246-1,Chan2019,thirty,30,tel(l)éeka kít͡ʃːih,telleekakitsih,,false,3⋅10,NA,NA
23,numerals-bode1246-1-forty-1,numerals-bode1246-1,Chan2019,forty,40,húja kít͡ʃːih,hujakitsih,,false,4⋅10,NA,NA
24,numerals-bode1246-1-fifty-1,numerals-bode1246-1,Chan2019,fifty,50,kennékuh kít͡ʃːih,kennekuhkitsih,,false,1⋅5⋅10,NA,NA
25,numerals-bode1246-1-sixty-1,numerals-bode1246-1,Chan2019,sixty,60,pát͡ʃːiʈak kít͡ʃːih,patsitakkitsih,,false,6⋅10,NA,NA
26,numerals-bode1246-1-seventy-1,numerals-bode1246-1,Chan2019,seventy,70,ʂeelóowih kít͡ʃːih,seeloowihkitsih,,false,7⋅10,NA,NA
27,numerals-bode1246-1-eighty-1,numerals-bode1246-1,Chan2019,eighty,80,'óʂːuwah kít͡ʃːih,osuwahkitsih,,false,8⋅10,NA,NA
28,numerals-bode1246-1-ninety-1,numerals-bode1246-1,Chan2019,ninety,90,kénnekotoh kít͡ʃːih,kennekotohkitsih,,false,(1−{−}[10])⋅10,NA,NA
29,numerals-bode1246-1-onehundredandone-1,numerals-bode1246-1,Chan2019,onehundredandone,101,kénne ʂijénto kénne,kennesijentokenne,,false,1⋅100+1,ʂijénto is likely a loan from Spanish,NA
