,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-yawa1261-1-one-1,numerals-yawa1261-1,Chan2019,one,1,pauá,paua,,false,1,NA,NA
2,numerals-yawa1261-1-one-2,numerals-yawa1261-1,Chan2019,one,1,pawa,pawa,,false,1,NA,NA
3,numerals-yawa1261-1-two-1,numerals-yawa1261-1,Chan2019,two,2,puzinyama,puzinyama,,false,2,NA,NA
4,numerals-yawa1261-1-two-2,numerals-yawa1261-1,Chan2019,two,2,purziñəməʔ,purzinama,,false,2,NA,NA
5,numerals-yawa1261-1-three-1,numerals-yawa1261-1,Chan2019,three,3,kamayukula,kamayukula,,false,3,NA,NA
6,numerals-yawa1261-1-three-2,numerals-yawa1261-1,Chan2019,three,3,kəməyuxulə,kamayuxula,,false,3,NA,NA
7,numerals-yawa1261-1-four-1,numerals-yawa1261-1,Chan2019,four,4,purzinyam-ipakú,purzinyamipaku,,false,2⋅2’,NA,NA
8,numerals-yawa1261-1-four-2,numerals-yawa1261-1,Chan2019,four,4,puriñə̃mipɨku,purinamipiku,,false,2⋅2’,NA,NA
9,numerals-yawa1261-1-five-1,numerals-yawa1261-1,Chan2019,five,5,pa-uiriku,pauiriku,(=one hand),false,1⋅5{hand},NA,NA
10,numerals-yawa1261-1-six-1,numerals-yawa1261-1,Chan2019,six,6,pau-ikiruatá,pauikiruata,,false,1+{+}[5],NA,NA
11,numerals-yawa1261-1-seven-1,numerals-yawa1261-1,Chan2019,seven,7,purzinyam-ikiruatá,purzinyamikiruata,,false,2+{+}[5],NA,NA
12,numerals-yawa1261-1-eight-1,numerals-yawa1261-1,Chan2019,eight,8,kamayukul-ikiruatá,kamayukulikiruata,,false,3+{+}[5],NA,NA
13,numerals-yawa1261-1-nine-1,numerals-yawa1261-1,Chan2019,nine,9,purzinyam-ipakú-ikiruatá,purzinyamipakuikiruata,,false,2⋅2’+{+}[5],NA,NA
14,numerals-yawa1261-1-ten-1,numerals-yawa1261-1,Chan2019,ten,10,papáiukaka-uíriku,papaiukakauiriku,,false,2’’⋅5{hand},NA,NA
15,numerals-yawa1261-1-eleven-1,numerals-yawa1261-1,Chan2019,eleven,11,tiržal-ikiruatá,tirzalikiruata,(left tooth),false,[10]{foot}+{+}[1],Not sure about contributor comment – did they mean foot??,NA
16,numerals-yawa1261-1-twelve-1,numerals-yawa1261-1,Chan2019,twelve,12,tiržalípurzinyam-ikiruatá,tirzalipurzinyamikiruata,,false,[10+]{foot}2{+},NA,NA
17,numerals-yawa1261-1-thirteen-1,numerals-yawa1261-1,Chan2019,thirteen,13,tiržalí kamayukul-ikiruatá,tirzalikamayukulikiruata,,false,[10+]{foot}3{+},NA,NA
18,numerals-yawa1261-1-fourteen-1,numerals-yawa1261-1,Chan2019,fourteen,14,tiržalí purzinyam-ipakú-ikiruatá,tirzalipurzinyamipakuikiruata,,false,[10+]{foot}2⋅2’{+},NA,NA
19,numerals-yawa1261-1-fifteen-1,numerals-yawa1261-1,Chan2019,fifteen,15,pauá tiržalí,pauatirzali,(=one foot),false,[10+]1⋅5’{foot},NA,NA
20,numerals-yawa1261-1-sixteen-1,numerals-yawa1261-1,Chan2019,sixteen,16,tiržalí-ikiruatá pauá,tirzaliikiruatapaua,,false,[15]{foot}+{+}1,NA,NA
21,numerals-yawa1261-1-seventeen-1,numerals-yawa1261-1,Chan2019,seventeen,17,tiržalí-ikiruatápurzinyam,tirzaliikiruatapurzinyam,,false,[15]{foot}+{+}2,NA,NA
22,numerals-yawa1261-1-eighteen-1,numerals-yawa1261-1,Chan2019,eighteen,18,tiržalí-ikiruatákamayukulá,tirzaliikiruatakamayukula,,false,[15]{foot}+{+}3,NA,NA
23,numerals-yawa1261-1-nineteen-1,numerals-yawa1261-1,Chan2019,nineteen,19,tiržalí-ikiruatápurzinyam-ipakú,tirzaliikiruatapurzinyamipaku,,false,[15]{foot}+{+}2⋅2’,NA,NA
24,numerals-yawa1261-1-twenty-1,numerals-yawa1261-1,Chan2019,twenty,20,papáiukaka-tiržalí,papaiukakatirzali,,false,[10+]2’’⋅5’{foot},NA,NA
