,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-mesk1242-1-one-1,numerals-mesk1242-1,Chan2019,one,1,nɛkoti,nekoti,,false,1,NA,NA
2,numerals-mesk1242-1-two-1,numerals-mesk1242-1,Chan2019,two,2,niːʃwi,niswi,,false,2,NA,NA
3,numerals-mesk1242-1-three-1,numerals-mesk1242-1,Chan2019,three,3,nɛswi,neswi,,false,3,NA,NA
4,numerals-mesk1242-1-four-1,numerals-mesk1242-1,Chan2019,four,4,njæːwi,njaewi,,false,4,NA,NA
5,numerals-mesk1242-1-five-1,numerals-mesk1242-1,Chan2019,five,5,njaːnanwi,njananwi,,false,5,NA,NA
6,numerals-mesk1242-1-six-1,numerals-mesk1242-1,Chan2019,six,6,kotwaːʃika,kotwasika,,false,6,Might be 1+5′ at least historically but I doubt it’s transparent today.,NA
7,numerals-mesk1242-1-seven-1,numerals-mesk1242-1,Chan2019,seven,7,noːhika,nohika,,false,7,NA,NA
8,numerals-mesk1242-1-eight-1,numerals-mesk1242-1,Chan2019,eight,8,ʃwaːʃika,swasika,,false,8,NA,NA
9,numerals-mesk1242-1-nine-1,numerals-mesk1242-1,Chan2019,nine,9,ʃaːka,saka,,false,9,NA,NA
10,numerals-mesk1242-1-ten-1,numerals-mesk1242-1,Chan2019,ten,10,mɛtaːswi,metaswi,,false,10,NA,NA
11,numerals-mesk1242-1-eleven-1,numerals-mesk1242-1,Chan2019,eleven,11,nɛkotinɛsiwɛ,nekotinesiwe,,false,1+10′,NA,NA
12,numerals-mesk1242-1-twelve-1,numerals-mesk1242-1,Chan2019,twelve,12,niːʃwinɛsiwɛ,niswinesiwe,,false,2+10′,NA,NA
13,numerals-mesk1242-1-thirteen-1,numerals-mesk1242-1,Chan2019,thirteen,13,nɛswinɛsiwɛ,neswinesiwe,,false,3+10′,NA,NA
14,numerals-mesk1242-1-fourteen-1,numerals-mesk1242-1,Chan2019,fourteen,14,njæːwinɛsiwɛ,njaewinesiwe,,false,4+10′,NA,NA
15,numerals-mesk1242-1-fifteen-1,numerals-mesk1242-1,Chan2019,fifteen,15,njaːnanwinɛsiwɛ,njananwinesiwe,,false,5+10′,NA,NA
16,numerals-mesk1242-1-sixteen-1,numerals-mesk1242-1,Chan2019,sixteen,16,kotwaːʃikanɛsiwɛ,kotwasikanesiwe,,false,6+10′,NA,NA
17,numerals-mesk1242-1-seventeen-1,numerals-mesk1242-1,Chan2019,seventeen,17,noːhikanɛsiwɛ,nohikanesiwe,,false,7+10′,NA,NA
18,numerals-mesk1242-1-eighteen-1,numerals-mesk1242-1,Chan2019,eighteen,18,ʃwaːʃikanɛsiwɛ,swasikanesiwe,,false,8+10′,NA,NA
19,numerals-mesk1242-1-nineteen-1,numerals-mesk1242-1,Chan2019,nineteen,19,ʃaːkanɛsiwɛ,sakanesiwe,,false,9+10′,NA,NA
20,numerals-mesk1242-1-twenty-1,numerals-mesk1242-1,Chan2019,twenty,20,niːʃwaːpitaki,niswapitaki,,false,2⋅10″,NA,NA
21,numerals-mesk1242-1-twentyone-1,numerals-mesk1242-1,Chan2019,twentyone,21,niːʃwaːpitakinɛkoti,niswapitakinekoti,,false,2⋅10″+1,NA,NA
22,numerals-mesk1242-1-twentytwo-1,numerals-mesk1242-1,Chan2019,twentytwo,22,niːʃwaːpitakiniːʃwi,niswapitakiniswi,,false,2⋅10″+2,NA,NA
23,numerals-mesk1242-1-twentythree-1,numerals-mesk1242-1,Chan2019,twentythree,23,niːʃwaːpitakinɛswi,niswapitakineswi,,false,2⋅10″+3,NA,NA
24,numerals-mesk1242-1-twentyfour-1,numerals-mesk1242-1,Chan2019,twentyfour,24,niːʃwaːpitakinjæːwi,niswapitakinjaewi,,false,2⋅10″+4,NA,NA
25,numerals-mesk1242-1-twentyfive-1,numerals-mesk1242-1,Chan2019,twentyfive,25,niːʃwaːpitakinjaːnanwi,niswapitakinjananwi,,false,2⋅10″+5,NA,NA
26,numerals-mesk1242-1-twentysix-1,numerals-mesk1242-1,Chan2019,twentysix,26,niːʃwaːpitakikotwaːʃika,niswapitakikotwasika,,false,2⋅10″+6,NA,NA
27,numerals-mesk1242-1-twentyseven-1,numerals-mesk1242-1,Chan2019,twentyseven,27,niːʃwaːpitakinoːhika,niswapitakinohika,,false,2⋅10″+7,NA,NA
28,numerals-mesk1242-1-twentyeight-1,numerals-mesk1242-1,Chan2019,twentyeight,28,niːʃwaːpitakiʃwaːʃika,niswapitakiswasika,,false,2⋅10″+8,NA,NA
29,numerals-mesk1242-1-twentynine-1,numerals-mesk1242-1,Chan2019,twentynine,29,niːʃwaːpitakiʃaːka,niswapitakisaka,,false,2⋅10″+9,NA,NA
30,numerals-mesk1242-1-thirty-1,numerals-mesk1242-1,Chan2019,thirty,30,nɛswaːpitaki,neswapitaki,,false,3⋅10″,NA,NA
31,numerals-mesk1242-1-forty-1,numerals-mesk1242-1,Chan2019,forty,40,njæːwaːpitaki,njaewapitaki,,false,4⋅10″,NA,NA
32,numerals-mesk1242-1-fifty-1,numerals-mesk1242-1,Chan2019,fifty,50,njaːnanwaːpitaki,njananwapitaki,,false,5⋅10″,NA,NA
33,numerals-mesk1242-1-sixty-1,numerals-mesk1242-1,Chan2019,sixty,60,kotwaːʃikaːpitaki,kotwasikapitaki,,false,6⋅10″,NA,NA
34,numerals-mesk1242-1-seventy-1,numerals-mesk1242-1,Chan2019,seventy,70,noːhikaːpitaki,nohikapitaki,,false,7⋅10″,NA,NA
35,numerals-mesk1242-1-eighty-1,numerals-mesk1242-1,Chan2019,eighty,80,ʃwaːʃikaːpitaki,swasikapitaki,,false,8⋅10″,NA,NA
36,numerals-mesk1242-1-ninety-1,numerals-mesk1242-1,Chan2019,ninety,90,ʃaːkaːpitaki,sakapitaki,,false,9⋅10″,NA,NA
37,numerals-mesk1242-1-hundred-1,numerals-mesk1242-1,Chan2019,hundred,100,nɛkotwaːʰkʷɛ,nekotwahkwe,,false,1⋅100,NA,NA
38,numerals-mesk1242-1-twohundred-1,numerals-mesk1242-1,Chan2019,twohundred,200,niːʃwaːʰkʷɛ,niswahkwe,,false,2⋅100,NA,NA
39,numerals-mesk1242-1-thousand-1,numerals-mesk1242-1,Chan2019,thousand,1000,nɛkotimaʰkaʰkwi,nekotimahkahkwi,,false,1⋅1000,NA,NA
40,numerals-mesk1242-1-twothousand-1,numerals-mesk1242-1,Chan2019,twothousand,2000,niːʃwimaʰkaʰkwi,niswimahkahkwi,,false,2⋅1000,NA,NA
