,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-mbuk1243-1-one-1,numerals-mbuk1243-1,Chan2019,one,1,kərtek,kartek,,false,1,NA,NA
2,numerals-mbuk1243-1-two-1,numerals-mbuk1243-1,Chan2019,two,2,tsew,tsew,,false,2,NA,NA
3,numerals-mbuk1243-1-three-1,numerals-mbuk1243-1,Chan2019,three,3,maakaŋ,maakang,,false,3,NA,NA
4,numerals-mbuk1243-1-four-1,numerals-mbuk1243-1,Chan2019,four,4,fuɗo,fudo,,false,4,NA,NA
5,numerals-mbuk1243-1-five-1,numerals-mbuk1243-1,Chan2019,five,5,ɗara,dara,,false,5,NA,NA
6,numerals-mbuk1243-1-six-1,numerals-mbuk1243-1,Chan2019,six,6,mbərka,mbarka,,false,6,NA,NA
7,numerals-mbuk1243-1-seven-1,numerals-mbuk1243-1,Chan2019,seven,7,tsuwɓe,tsuwbe,,false,7,NA,NA
8,numerals-mbuk1243-1-eight-1,numerals-mbuk1243-1,Chan2019,eight,8,dzəmaakaŋ,dzamaakang,,false,5’+3,NA,NA
9,numerals-mbuk1243-1-nine-1,numerals-mbuk1243-1,Chan2019,nine,9,dəsuɗo,dasudo,,false,5’+4,NA,NA
10,numerals-mbuk1243-1-ten-1,numerals-mbuk1243-1,Chan2019,ten,10,kuro,kuro,,false,10,NA,NA
11,numerals-mbuk1243-1-eleven-1,numerals-mbuk1243-1,Chan2019,eleven,11,kuro nɡa kərtek,kurongakartek,,false,10+{+}1,NA,NA
12,numerals-mbuk1243-1-twelve-1,numerals-mbuk1243-1,Chan2019,twelve,12,kuro nɡa tsew,kurongatsew,,false,10+{+}2,NA,NA
13,numerals-mbuk1243-1-thirteen-1,numerals-mbuk1243-1,Chan2019,thirteen,13,kuro nɡa maakaŋ,kurongamaakang,,false,10+{+}3,NA,NA
14,numerals-mbuk1243-1-fourteen-1,numerals-mbuk1243-1,Chan2019,fourteen,14,kuro nɡa fuɗo,kurongafudo,,false,10+{+}4,NA,NA
15,numerals-mbuk1243-1-fifteen-1,numerals-mbuk1243-1,Chan2019,fifteen,15,kuro nɡa ɗara,kurongadara,,false,10+{+}5,NA,NA
16,numerals-mbuk1243-1-sixteen-1,numerals-mbuk1243-1,Chan2019,sixteen,16,kuro nɡa mbərka,kurongambarka,,false,10+{+}6,NA,NA
17,numerals-mbuk1243-1-seventeen-1,numerals-mbuk1243-1,Chan2019,seventeen,17,kuro nɡa tsuwɓe,kurongatsuwbe,,false,10+{+}7,NA,NA
18,numerals-mbuk1243-1-eighteen-1,numerals-mbuk1243-1,Chan2019,eighteen,18,kuro nɡa dzəmaakaŋ,kurongadzamaakang,,false,10+{+}5’+3,NA,NA
19,numerals-mbuk1243-1-nineteen-1,numerals-mbuk1243-1,Chan2019,nineteen,19,kuro nɡa dəsuɗo,kurongadasudo,,false,10+{+}5’+4,NA,NA
