,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-gaam1241-1-one-1,numerals-gaam1241-1,Chan2019,one,1,t̪āmán,taman,,false,1,NA,NA
2,numerals-gaam1241-1-two-1,numerals-gaam1241-1,Chan2019,two,2,d̪áāɡɡ,daagg,,false,2,NA,NA
3,numerals-gaam1241-1-three-1,numerals-gaam1241-1,Chan2019,three,3,ɔ́ðɔ̄,odo,,false,3,NA,NA
4,numerals-gaam1241-1-four-1,numerals-gaam1241-1,Chan2019,four,4,yə̄ə̄sə́,yaasa,,false,4,NA,NA
5,numerals-gaam1241-1-five-1,numerals-gaam1241-1,Chan2019,five,5,áás-ááma᷇n,aasaaman,(lit: 'hand'),false,5{hand},NA,NA
6,numerals-gaam1241-1-six-1,numerals-gaam1241-1,Chan2019,six,6,t̪ə́ld̪ìɡɡ,taldigg,,false,1’+5’{eyes},NA,NA
7,numerals-gaam1241-1-seven-1,numerals-gaam1241-1,Chan2019,seven,7,íd̪iɡɡ-ɔ́ðɔ̄,idiggodo,(lit: 'eyes-two'),false,?,7 and 8 may have gotten mixed up. This one is 5’{eyes}+3.,NA
8,numerals-gaam1241-1-eight-1,numerals-gaam1241-1,Chan2019,eight,8,íd̪iɡ-dáāɡɡ,idigdaagg,(lit: 'eyes-three'),false,?,7 and 8 may have gotten mixed up. This one is 5’{eyes}+2.,NA
9,numerals-gaam1241-1-nine-1,numerals-gaam1241-1,Chan2019,nine,9,íd̪iɡ-yə̄ə̄sə́,idigyaasa,(lit: 'eyes-four'),false,5’{eyes}+4,NA,NA
10,numerals-gaam1241-1-ten-1,numerals-gaam1241-1,Chan2019,ten,10,ə́sēɡ-dí,asegdi,(lit: 'hands-also'),false,5{hands}⋅2’{also},NA,NA
11,numerals-gaam1241-1-eleven-1,numerals-gaam1241-1,Chan2019,eleven,11,ə́sēɡdí ì ná t̪āmán,asegdiinataman,,false,5{hands}⋅2’{also}+{+}1,NA,NA
12,numerals-gaam1241-1-twelve-1,numerals-gaam1241-1,Chan2019,twelve,12,ə́sēɡdí ì ná d̪áāɡɡ,asegdiinadaagg,,false,5{hands}⋅2’{also}+{+}2,NA,NA
13,numerals-gaam1241-1-thirteen-1,numerals-gaam1241-1,Chan2019,thirteen,13,ə́sēɡdí ì ná ɔ́ðɔ̄,asegdiinaodo,,false,5{hands}⋅2’{also}+{+}3,NA,NA
14,numerals-gaam1241-1-fourteen-1,numerals-gaam1241-1,Chan2019,fourteen,14,ə́sēɡdí ì ná yə̄ə̄sə́,asegdiinayaasa,,false,5{hands}⋅2’{also}+{+}4,NA,NA
15,numerals-gaam1241-1-fifteen-1,numerals-gaam1241-1,Chan2019,fifteen,15,ə́sēɡdí ì ná áásááma᷇n,asegdiinaaasaaman,,false,5{hands}⋅2’{also}+{+}5{hand},NA,NA
16,numerals-gaam1241-1-sixteen-1,numerals-gaam1241-1,Chan2019,sixteen,16,ə́sēɡdí ì ná t̪ə́ld̪ìɡɡ,asegdiinataldigg,,false,5{hands}⋅2’{also}+{+}1’+5’{eyes},NA,NA
17,numerals-gaam1241-1-seventeen-1,numerals-gaam1241-1,Chan2019,seventeen,17,ə́sēɡdí ì ná íd̪iɡɡ-ɔ́ðɔ̄,asegdiinaidiggodo,,false,?,See comment on 7 and 8.,NA
18,numerals-gaam1241-1-eighteen-1,numerals-gaam1241-1,Chan2019,eighteen,18,ə́sēɡdí ì ná íd̪iɡ-dáāɡɡ,asegdiinaidigdaagg,,false,?,See comment on 7 and 8.,NA
19,numerals-gaam1241-1-nineteen-1,numerals-gaam1241-1,Chan2019,nineteen,19,ə́sēɡdí ì ná íd̪iɡ-yə̄ə̄sə́,asegdiinaidigyaasa,,false,5{hands}⋅2’{also}+{+}5’{eyes}+4,NA,NA
20,numerals-gaam1241-1-twenty-1,numerals-gaam1241-1,Chan2019,twenty,20,ɟāā dùì ə̄ə̄ŋ,jaaduiaang,(lit: ‘person black body’),false,20{person-black-body},NA,NA
21,numerals-gaam1241-1-twentyone-1,numerals-gaam1241-1,Chan2019,twentyone,21,ɟāā dùì ə̄ə̄ŋ ì nát̪āmán,jaaduiaanginataman,,false,20{person-black-body}+{+}1,NA,NA
22,numerals-gaam1241-1-twentytwo-1,numerals-gaam1241-1,Chan2019,twentytwo,22,ɟāā dùì ə̄ə̄ŋ ì nád̪áāɡɡ,jaaduiaanginadaagg,,false,20{person-black-body}+{+}2,NA,NA
23,numerals-gaam1241-1-twentythree-1,numerals-gaam1241-1,Chan2019,twentythree,23,ɟāā dùì ə̄ə̄ŋ ì náɔ́ðɔ̄,jaaduiaanginaodo,,false,20{person-black-body}+{+}3,NA,NA
24,numerals-gaam1241-1-twentyfour-1,numerals-gaam1241-1,Chan2019,twentyfour,24,ɟāā dùì ə̄ə̄ŋ ì náyə̄ə̄sə́,jaaduiaanginayaasa,,false,20{person-black-body}+{+}4,NA,NA
25,numerals-gaam1241-1-twentyfive-1,numerals-gaam1241-1,Chan2019,twentyfive,25,ɟāā dùì ə̄ə̄ŋ ì nááásááma᷇n,jaaduiaanginaaasaaman,,false,20{person-black-body}+{+}5{hand},NA,NA
26,numerals-gaam1241-1-twentysix-1,numerals-gaam1241-1,Chan2019,twentysix,26,ɟāā dùì ə̄ə̄ŋ ì nát̪ə́ld̪ìɡɡ,jaaduiaanginataldigg,,false,20{person-black-body}+{+}1’+5’{eyes},NA,NA
27,numerals-gaam1241-1-twentyseven-1,numerals-gaam1241-1,Chan2019,twentyseven,27,ɟāā dùì ə̄ə̄ŋ ì náíd̪iɡɡ-ɔ́ðɔ̄,jaaduiaanginaidiggodo,,false,?,See comment on 7 and 8.,NA
28,numerals-gaam1241-1-twentyeight-1,numerals-gaam1241-1,Chan2019,twentyeight,28,ɟāā dùì ə̄ə̄ŋ ì náíd̪iɡ-dáāɡɡ,jaaduiaanginaidigdaagg,,false,?,See comment on 7 and 8.,NA
29,numerals-gaam1241-1-twentynine-1,numerals-gaam1241-1,Chan2019,twentynine,29,ɟāā dùì ə̄ə̄ŋ ì náíd̪iɡ-yə̄ə̄sə́,jaaduiaanginaidigyaasa,,false,20{person-black-body}+{+}5’{eyes}+4,NA,NA
30,numerals-gaam1241-1-thirty-1,numerals-gaam1241-1,Chan2019,thirty,30,ɟāā dùì ə̄ə̄ŋ ì náə́sēɡdí,jaaduiaanginaasegdi,,false,20{person-black-body}+{+}5{hands}⋅2’{also},NA,NA
31,numerals-gaam1241-1-forty-1,numerals-gaam1241-1,Chan2019,forty,40,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ d̪áāɡɡ,jogduiggiingadaagg,( 20 x 2 ),false,20{person-black-body}⋅{⋅}2,NA,NA
32,numerals-gaam1241-1-fifty-1,numerals-gaam1241-1,Chan2019,fifty,50,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ d̪áāɡɡ ì ná ə́sēɡdí,jogduiggiingadaagginaasegdi,,false,20{person-black-body}⋅{⋅}2+{+}5{hands}⋅2’{also},NA,NA
33,numerals-gaam1241-1-sixty-1,numerals-gaam1241-1,Chan2019,sixty,60,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ ɔ́ðɔ̄,jogduiggiingaodo,( 20 x 3 ),false,20{person-black-body}⋅{⋅}3,NA,NA
34,numerals-gaam1241-1-seventy-1,numerals-gaam1241-1,Chan2019,seventy,70,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ ɔ́ðɔ̄ ì ná ə́sēɡdí,jogduiggiingaodoinaasegdi,,false,20{person-black-body}⋅{⋅}3+{+}5{hands}⋅2’{also},NA,NA
35,numerals-gaam1241-1-eighty-1,numerals-gaam1241-1,Chan2019,eighty,80,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ yə̄ə̄sə́,jogduiggiingayaasa,( 20 x 4 ),false,20{person-black-body}⋅{⋅}4,NA,NA
36,numerals-gaam1241-1-ninety-1,numerals-gaam1241-1,Chan2019,ninety,90,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ yə̄ə̄sə́ ì ná ə́sēɡdí,jogduiggiingayaasainaasegdi,,false,20{person-black-body}⋅{⋅}4+{+}5{hands}⋅2’{also},NA,NA
37,numerals-gaam1241-1-hundred-1,numerals-gaam1241-1,Chan2019,hundred,100,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ áásááma᷇n,jogduiggiingaaasaaman,( 20 x 5 ),false,20{person-black-body}⋅{⋅}5{hand},NA,NA
38,numerals-gaam1241-1-twohundred-1,numerals-gaam1241-1,Chan2019,twohundred,200,jɔ̄ɡ dùìɡɡ ììŋ-ə̄ ə́sēɡdí,jogduiggiingaasegdi,( 20 x 10 ),false,20{person-black-body}⋅{⋅}5{hands}⋅2’{also},NA,NA
