,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-cent2150-1-one-1,numerals-cent2150-1,Chan2019,one,1,ubisti,ubisti,,false,1,NA,NA
2,numerals-cent2150-1-two-1,numerals-cent2150-1,Chan2019,two,2,bukái,bukai,,false,2,NA,NA
3,numerals-cent2150-1-three-1,numerals-cent2150-1,Chan2019,three,3,bai,bai,,false,3,NA,NA
4,numerals-cent2150-1-four-1,numerals-cent2150-1,Chan2019,four,4,bakái,bakai,,false,4,NA,NA
5,numerals-cent2150-1-five-1,numerals-cent2150-1,Chan2019,five,5,esí,esi,,false,5,NA,NA
6,numerals-cent2150-1-six-1,numerals-cent2150-1,Chan2019,six,6,terai,terai,,false,6,NA,NA
7,numerals-cent2150-1-seven-1,numerals-cent2150-1,Chan2019,seven,7,kukuí,kukui,,false,7,NA,NA
8,numerals-cent2150-1-eight-1,numerals-cent2150-1,Chan2019,eight,8,abi,abi,,false,8,NA,NA
9,numerals-cent2150-1-nine-1,numerals-cent2150-1,Chan2019,nine,9,estari,estari,,false,9,NA,NA
10,numerals-cent2150-1-ten-1,numerals-cent2150-1,Chan2019,ten,10,ukasi,ukasi,,false,10,NA,NA
11,numerals-cent2150-1-eleven-1,numerals-cent2150-1,Chan2019,eleven,11,ukasi kuitar ubisti,ukasikuitarubisti,,false,10+{+}1,NA,NA
12,numerals-cent2150-1-twelve-1,numerals-cent2150-1,Chan2019,twelve,12,ukasi kuitar bukái,ukasikuitarbukai,,false,10+{+}2,NA,NA
13,numerals-cent2150-1-thirteen-1,numerals-cent2150-1,Chan2019,thirteen,13,ukasi kuitar bai,ukasikuitarbai,,false,10+{+}3,NA,NA
14,numerals-cent2150-1-fourteen-1,numerals-cent2150-1,Chan2019,fourteen,14,ukasi kuitar bakái,ukasikuitarbakai,,false,10+{+}4,NA,NA
15,numerals-cent2150-1-fifteen-1,numerals-cent2150-1,Chan2019,fifteen,15,ukasi kuitar esí,ukasikuitaresi,,false,10+{+}5,NA,NA
