;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-acol1236-1-one-1;numerals-acol1236-1;Chan2019;one;1;àcíèl;aciel;;FALSE;1;;
2;numerals-acol1236-1-two-1;numerals-acol1236-1;Chan2019;two;2;àríò;ario;;FALSE;2;;
3;numerals-acol1236-1-three-1;numerals-acol1236-1;Chan2019;three;3;àdék;adek;;FALSE;3;;
4;numerals-acol1236-1-four-1;numerals-acol1236-1;Chan2019;four;4;àŋwɛ̂n;angwen;;FALSE;4;;
5;numerals-acol1236-1-five-1;numerals-acol1236-1;Chan2019;five;5;àbîc;abic;;FALSE;5;;
6;numerals-acol1236-1-six-1;numerals-acol1236-1;Chan2019;six;6;àbícíèl;abiciel;( 5+ 1 );FALSE;5+1;;
7;numerals-acol1236-1-seven-1;numerals-acol1236-1;Chan2019;seven;7;àbíìrɔ́;abiiro;( 5+ 2 );FALSE;5+2;;
8;numerals-acol1236-1-eight-1;numerals-acol1236-1;Chan2019;eight;8;àboôrà;aboora;( 5+ 3 );FALSE;5+3;;
9;numerals-acol1236-1-nine-1;numerals-acol1236-1;Chan2019;nine;9;àbúŋwɛ́n;abungwen;( 5+ 4 );FALSE;5+4;;
10;numerals-acol1236-1-ten-1;numerals-acol1236-1;Chan2019;ten;10;àpáàr;apaar;;FALSE;10;;
11;numerals-acol1236-1-eleven-1;numerals-acol1236-1;Chan2019;eleven;11;àpáàr wí àcíèl;apaarwiaciel;;FALSE;10+{LIG}1;;
12;numerals-acol1236-1-twelve-1;numerals-acol1236-1;Chan2019;twelve;12;àpáàr wí àríò;apaarwiario;;FALSE;10+{LIG}2;;
13;numerals-acol1236-1-thirteen-1;numerals-acol1236-1;Chan2019;thirteen;13;àpáàr wí àdék;apaarwiadek;;FALSE;10+{LIG}3;;
14;numerals-acol1236-1-fourteen-1;numerals-acol1236-1;Chan2019;fourteen;14;àpáàr wí àŋwɛ̂n;apaarwiangwen;;FALSE;10+{LIG}4;;
15;numerals-acol1236-1-fifteen-1;numerals-acol1236-1;Chan2019;fifteen;15;àpáàr wí àbîc;apaarwiabic;;FALSE;10+{LIG}5;;
16;numerals-acol1236-1-sixteen-1;numerals-acol1236-1;Chan2019;sixteen;16;àpáàr wí àbícíèl;apaarwiabiciel;;FALSE;10+{LIG}5+1;;
17;numerals-acol1236-1-seventeen-1;numerals-acol1236-1;Chan2019;seventeen;17;àpáàr wí àbíìrɔ́;apaarwiabiiro;;FALSE;10+{LIG}5+2;;
18;numerals-acol1236-1-eighteen-1;numerals-acol1236-1;Chan2019;eighteen;18;àpáàr wí àboôrà;apaarwiaboora;;FALSE;10+{LIG}5+3;;
19;numerals-acol1236-1-nineteen-1;numerals-acol1236-1;Chan2019;nineteen;19;àpáàr wí àbúŋwɛ́n;apaarwiabungwen;;FALSE;10+{LIG}5+4;;
20;numerals-acol1236-1-twenty-1;numerals-acol1236-1;Chan2019;twenty;20;píèr àríò;pierario;;FALSE;10·2;;
21;numerals-acol1236-1-twentyone-1;numerals-acol1236-1;Chan2019;twentyone;21;píèr àríò wí àcíèl;pierariowiaciel;;FALSE;(10·2)+{LIG}1;;
22;numerals-acol1236-1-thirty-1;numerals-acol1236-1;Chan2019;thirty;30;píèr àdék;pieradek;;FALSE;10·3;;
23;numerals-acol1236-1-forty-1;numerals-acol1236-1;Chan2019;forty;40;píèr àŋwɛ̂n;pierangwen;;FALSE;10·4;;
24;numerals-acol1236-1-fifty-1;numerals-acol1236-1;Chan2019;fifty;50;píèr àbîc;pierabic;;FALSE;10·5;;
25;numerals-acol1236-1-sixty-1;numerals-acol1236-1;Chan2019;sixty;60;píèr àbícíèl;pierabiciel;;FALSE;10·(5+1);;
26;numerals-acol1236-1-seventy-1;numerals-acol1236-1;Chan2019;seventy;70;píèr àbíìrɔ́;pierabiiro;;FALSE;10·(5+2);;
27;numerals-acol1236-1-eighty-1;numerals-acol1236-1;Chan2019;eighty;80;píèr àboôrà;pieraboora;;FALSE;10·(5+3);;
28;numerals-acol1236-1-ninety-1;numerals-acol1236-1;Chan2019;ninety;90;píèr àbúŋwɛ́n;pierabungwen;;FALSE;10·(5+4);;
29;numerals-acol1236-1-hundred-1;numerals-acol1236-1;Chan2019;hundred;100;míyá;miya;( < Swahili / Arabic );TRUE;100;;
30;numerals-acol1236-1-twohundred-1;numerals-acol1236-1;Chan2019;twohundred;200;míyá àríò;miyaario;;FALSE;100·2;;
31;numerals-acol1236-1-thousand-1;numerals-acol1236-1;Chan2019;thousand;1000;élípàcíèl;elipaciel;( < Swahili / Arabic );TRUE;1000·1;;
