Language_ID,ID,Parameter_ID,Value,Form,Gloss,Alternate_Gloss,Comment_Glosser
kwak1266-1,kwak1266-1-1-1,1,mɔ́tù,mɔ́tù,1,NA,NA
kwak1266-1,kwak1266-1-2-1,2,íbà,íbà,{CL}2,NA,NA
kwak1266-1,kwak1266-1-3-1,3,ítátí,ítátí,{CL}3,NA,NA
kwak1266-1,kwak1266-1-4-1,4,ínîːn,ínîːn,{CL}4,NA,NA
kwak1266-1,kwak1266-1-5-1,5,ìtǎːn,ìtǎːn,{CL}5,5,NA
kwak1266-1,kwak1266-1-6-1,6,tɔ̀wɔ̀,tɔ̀wɔ̀,6,NA,NA
kwak1266-1,kwak1266-1-7-1,7,tàmbárʲɛ̀,tàmbárʲɛ̀,5+2’,5 + 2,NA
kwak1266-1,kwak1266-1-8-1,8,ʃǎl,ʃǎl,8,8,NA
kwak1266-1,kwak1266-1-9-1,9,bùjɛ́,bùjɛ́,9,x - 1,NA
kwak1266-1,kwak1266-1-10-1,10,kàːmɔ̀,kàːmɔ̀,10,NA,NA
kwak1266-1,kwak1266-1-11-1,11,kàːmɔ̀ nɛ̀ mɔ́tù,kàːmɔ̀ nɛ̀ mɔ́tù,10+{and}1,NA,NA
kwak1266-1,kwak1266-1-12-1,12,kàːmɔ̀ nɛ̀ íbà,kàːmɔ̀ nɛ̀ íbà,10+{and}{CL}2,NA,NA
kwak1266-1,kwak1266-1-13-1,13,kàːmɔ̀ nɛ̀ ítátí,kàːmɔ̀ nɛ̀ ítátí,10+{and}{CL}3,NA,NA
kwak1266-1,kwak1266-1-14-1,14,kàːmɔ̀ nɛ̀ ínîːn,kàːmɔ̀ nɛ̀ ínîːn,10+{and}{CL}4,NA,NA
kwak1266-1,kwak1266-1-15-1,15,kàːmɔ̀ nɛ̀ ìtǎːn,kàːmɔ̀ nɛ̀ ìtǎːn,10+{and}{CL}5,NA,NA
kwak1266-1,kwak1266-1-16-1,16,kàːmɔ̀ nɛ̀ tɔ̀wɔ̀,kàːmɔ̀ nɛ̀ tɔ̀wɔ̀,10+{and}6,NA,NA
kwak1266-1,kwak1266-1-17-1,17,kàːmɔ̀ nɛ̀ tàmbárʲɛ̀,kàːmɔ̀ nɛ̀ tàmbárʲɛ̀,10+{and}5+2’,NA,NA
kwak1266-1,kwak1266-1-18-1,18,kàːmɔ̀ nɛ̀ ʃǎl,kàːmɔ̀ nɛ̀ ʃǎl,10+{and}8,NA,NA
kwak1266-1,kwak1266-1-19-1,19,kàːmɔ̀ nɛ̀ bùjɛ́,kàːmɔ̀ nɛ̀ bùjɛ́,10+{and}9,NA,NA
kwak1266-1,kwak1266-1-20-1,20,kàːŋɡ ìbá,kàːŋɡ ìbá,10’·{CL}2,NA,NA
kwak1266-1,kwak1266-1-21-1,21,kàːŋɡ ìbá nɛ̀ mɔ́tù,kàːŋɡ ìbá nɛ̀ mɔ́tù,(10’·{CL}2)+{and}1,NA,NA
kwak1266-1,kwak1266-1-22-1,22,kàːŋɡ ìbá nɛ̀ íbà,kàːŋɡ ìbá nɛ̀ íbà,(10’·{CL}2)+{and}2,NA,NA
kwak1266-1,kwak1266-1-23-1,23,kàːŋɡ ìbá nɛ̀ ítátí,kàːŋɡ ìbá nɛ̀ ítátí,(10’·{CL}2)+{and}3,NA,NA
kwak1266-1,kwak1266-1-24-1,24,kàːŋɡ ìbá nɛ̀ ínîːn,kàːŋɡ ìbá nɛ̀ ínîːn,(10’·{CL}2)+{and}4,NA,NA
kwak1266-1,kwak1266-1-25-1,25,kàːŋɡ ìbá nɛ̀ ìtǎːn,kàːŋɡ ìbá nɛ̀ ìtǎːn,(10’·{CL}2)+{and}5,NA,NA
kwak1266-1,kwak1266-1-26-1,26,kàːŋɡ ìbá nɛ̀ tɔ̀wɔ̀,kàːŋɡ ìbá nɛ̀ tɔ̀wɔ̀,(10’·{CL}2)+{and}6,NA,NA
kwak1266-1,kwak1266-1-27-1,27,kàːŋɡ ìbá nɛ̀ tàmbárʲɛ̀,kàːŋɡ ìbá nɛ̀ tàmbárʲɛ̀,(10’·{CL}2)+{and}5+2’,NA,NA
kwak1266-1,kwak1266-1-28-1,28,kàːŋɡ ìbá nɛ̀ ʃǎl,kàːŋɡ ìbá nɛ̀ ʃǎl,(10’·{CL}2)+{and}8,NA,NA
kwak1266-1,kwak1266-1-29-1,29,kàːŋɡ ìbá nɛ̀ bùjɛ́,kàːŋɡ ìbá nɛ̀ bùjɛ́,(10’·{CL}2)+{and}9,NA,NA
kwak1266-1,kwak1266-1-30-1,30,kàːŋɡ ítátí,kàːŋɡ ítátí,10’·{CL}3,NA,NA
kwak1266-1,kwak1266-1-40-1,40,kàːŋɡ ínîːn,kàːŋɡ ínîːn,10’·{CL}4,NA,NA
kwak1266-1,kwak1266-1-50-1,50,kàːŋɡ ìtǎːn,kàːŋɡ ìtǎːn,10’·{CL}5,NA,NA
kwak1266-1,kwak1266-1-60-1,60,kàːŋɡ ì tɔ̀wɔ̀,kàːŋɡ ì tɔ̀wɔ̀,10’·{CL}6,NA,NA
kwak1266-1,kwak1266-1-70-1,70,kàːŋɡ ì tàmbárʲɛ̀,kàːŋɡ ì tàmbárʲɛ̀,10’·{CL}5+2’,NA,NA
kwak1266-1,kwak1266-1-80-1,80,kàːŋɡ ì ʃǎl,kàːŋɡ ì ʃǎl,10’·{CL}8,NA,NA
kwak1266-1,kwak1266-1-90-1,90,kàːŋɡ ì bùjɛ́,kàːŋɡ ì bùjɛ́,10’·{CL}9,NA,NA
kwak1266-1,kwak1266-1-100-1,100,tɛ̀tì,tɛ̀tì,100,NA,(< English 'hundred' )
kwak1266-1,kwak1266-1-200-1,200,tɛ̀tì kí bâ,tɛ̀tì kí bâ,100·{CL’}2,NA,NA
kwak1266-1,kwak1266-1-1000-1,1000,tɔ́sìn,tɔ́sìn,1000,NA,(< English 'thousand' )
kwak1266-1,kwak1266-1-2000-1,2000,tɔ́sìn kí bâ,tɔ́sìn kí bâ,1000·{CL’}2,NA,NA
