,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kwaj1242-1-one-1,numerals-kwaj1242-1,Chan2019,one,1,mũũ ˧˩,muu,,false,1,,
2,numerals-kwaj1242-1-two-1,numerals-kwaj1242-1,Chan2019,two,2,baa ˦˧,baa,,false,2,,
3,numerals-kwaj1242-1-three-1,numerals-kwaj1242-1,Chan2019,three,3,ta ˦,ta,,false,3,,
4,numerals-kwaj1242-1-four-1,numerals-kwaj1242-1,Chan2019,four,4,kɥ ˧˩,ky,,false,4,,
5,numerals-kwaj1242-1-five-1,numerals-kwaj1242-1,Chan2019,five,5,tɔ̃ ˦˧,to,,false,5,,
6,numerals-kwaj1242-1-six-1,numerals-kwaj1242-1,Chan2019,six,6,tɔ̃ ˨ fũ ˧,tofu,,false,5+1’,,
7,numerals-kwaj1242-1-seven-1,numerals-kwaj1242-1,Chan2019,seven,7,sə ˨ mba ˧˨,samba,,false,7,,
8,numerals-kwaj1242-1-eight-1,numerals-kwaj1242-1,Chan2019,eight,8,wɔ ˦ ŋkxɨt ˦,wongkxit,,false,8,,
9,numerals-kwaj1242-1-nine-1,numerals-kwaj1242-1,Chan2019,nine,9,bə ˦ ʁət ˨,barat,,false,9,,
10,numerals-kwaj1242-1-ten-1,numerals-kwaj1242-1,Chan2019,ten,10,wəm˦,wam,,false,10,,
11,numerals-kwaj1242-1-eleven-1,numerals-kwaj1242-1,Chan2019,eleven,11,wəm˦ kjɔa ˧˩mũũ ˧˩,wamkjoamuu,,false,10+1,,
12,numerals-kwaj1242-1-twelve-1,numerals-kwaj1242-1,Chan2019,twelve,12,wəm˦ kjɔa ˧˩baa ˧˩,wamkjoabaa,,false,10+2,,
13,numerals-kwaj1242-1-thirteen-1,numerals-kwaj1242-1,Chan2019,thirteen,13,wəm˦ kjɔa ˧˩ta ˦,wamkjoata,,false,10+3,,
