,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-pedi1238-1-one-1,numerals-pedi1238-1,Chan2019,one,1,tʼeé,tee,,false,1,,
2,numerals-pedi1238-1-two-1,numerals-pedi1238-1,Chan2019,two,2,pʼɛɹí,peri,,false,2,,
3,numerals-pedi1238-1-three-1,numerals-pedi1238-1,Chan2019,three,3,tʰáro,tharo,,false,3,,
4,numerals-pedi1238-1-four-1,numerals-pedi1238-1,Chan2019,four,4,ńnɛ,nne,,false,4,,
5,numerals-pedi1238-1-five-1,numerals-pedi1238-1,Chan2019,five,5,ɬáno,lano,,false,5,,
6,numerals-pedi1238-1-six-1,numerals-pedi1238-1,Chan2019,six,6,t͡sʰélá,tshela,,false,6,,
7,numerals-pedi1238-1-seven-1,numerals-pedi1238-1,Chan2019,seven,7,ʃupʼa,supa,,false,7,,5+2
8,numerals-pedi1238-1-eight-1,numerals-pedi1238-1,Chan2019,eight,8,seswái,seswai,,false,8,,5+3
9,numerals-pedi1238-1-nine-1,numerals-pedi1238-1,Chan2019,nine,9,seɲáne,senane,,false,9,,5+4
10,numerals-pedi1238-1-ten-1,numerals-pedi1238-1,Chan2019,ten,10,lesóme,lesome,,false,10,,
11,numerals-pedi1238-1-eleven-1,numerals-pedi1238-1,Chan2019,eleven,11,lesómétʼeé,lesometee,,false,10+1,,
12,numerals-pedi1238-1-twelve-1,numerals-pedi1238-1,Chan2019,twelve,12,lesómépʼɛɹí,lesomeperi,,false,10+2,,
13,numerals-pedi1238-1-thirteen-1,numerals-pedi1238-1,Chan2019,thirteen,13,lesómetʰáro,lesometharo,,false,10+3,,
14,numerals-pedi1238-1-fourteen-1,numerals-pedi1238-1,Chan2019,fourteen,14,lesómeńnɛ,lesomenne,,false,10+4,,
15,numerals-pedi1238-1-fifteen-1,numerals-pedi1238-1,Chan2019,fifteen,15,lesómeɬáno,lesomelano,,false,10+5,,
16,numerals-pedi1238-1-sixteen-1,numerals-pedi1238-1,Chan2019,sixteen,16,lesómet͡sʰélá,lesometshela,,false,10+6,,
17,numerals-pedi1238-1-seventeen-1,numerals-pedi1238-1,Chan2019,seventeen,17,lesóméʃupʼa,lesomesupa,,false,10+7,,
18,numerals-pedi1238-1-eighteen-1,numerals-pedi1238-1,Chan2019,eighteen,18,lesóméseswái,lesomeseswai,,false,10+8,,
