;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-ogbr1243-1-one-1;numerals-ogbr1243-1;Chan2019;one;1;òníꜜní;onini;;FALSE;1;;
2;numerals-ogbr1243-1-two-1;numerals-ogbr1243-1;Chan2019;two;2;ɪ̀jàːlʊ̀;ijalu;;FALSE;2;;
3;numerals-ogbr1243-1-three-1;numerals-ogbr1243-1;Chan2019;three;3;nɪ̀ːrà;nira;;FALSE;3;;
4;numerals-ogbr1243-1-four-1;numerals-ogbr1243-1;Chan2019;four;4;ɪ̀ːɲɔ̀;ino;;FALSE;4;;
5;numerals-ogbr1243-1-five-1;numerals-ogbr1243-1;Chan2019;five;5;ɲòːwò;nowo;;FALSE;5;;
6;numerals-ogbr1243-1-six-1;numerals-ogbr1243-1;Chan2019;six;6;nòdì;nodi;;FALSE;6;;5+1
7;numerals-ogbr1243-1-seven-1;numerals-ogbr1243-1;Chan2019;seven;7;nùɗjòù;nudjou;;FALSE;7;;5+2
8;numerals-ogbr1243-1-eight-1;numerals-ogbr1243-1;Chan2019;eight;8;nɔ́ɓɛ́nâ;nobena;;FALSE;8;;5+3
9;numerals-ogbr1243-1-nine-1;numerals-ogbr1243-1;Chan2019;nine;9;nèsùò;nesuo;;FALSE;9;;
10;numerals-ogbr1243-1-ten-1;numerals-ogbr1243-1;Chan2019;ten;10;kúɗjòù;kudjou;;FALSE;10;;
11;numerals-ogbr1243-1-eleven-1;numerals-ogbr1243-1;Chan2019;eleven;11;kúɗjòù nònî;kudjounoni;;FALSE;10+{LIG}1;;
12;numerals-ogbr1243-1-twelve-1;numerals-ogbr1243-1;Chan2019;twelve;12;kúɗjòù nɪ̀jàːlʊ̀;kudjounijalu;;FALSE;10+{LIG}2;;
13;numerals-ogbr1243-1-thirteen-1;numerals-ogbr1243-1;Chan2019;thirteen;13;kúɗjòù nɪ̀ːrà;kudjounira;;FALSE;10+{LIG}3;;
14;numerals-ogbr1243-1-fourteen-1;numerals-ogbr1243-1;Chan2019;fourteen;14;kúɗjòù nɪ̀ɲɔ̀;kudjounino;;FALSE;10+{LIG}4;;
15;numerals-ogbr1243-1-fifteen-1;numerals-ogbr1243-1;Chan2019;fifteen;15;kúɗjòù nìɲòwo;kudjouninowo;;FALSE;10+{LIG}5;;
16;numerals-ogbr1243-1-sixteen-1;numerals-ogbr1243-1;Chan2019;sixteen;16;kúɗjòù nòdì;kudjounodi;;FALSE;10+{LIG}6;;
17;numerals-ogbr1243-1-seventeen-1;numerals-ogbr1243-1;Chan2019;seventeen;17;kúɗjòù nòɗʊ̀ɔ̀;kudjounoduo;;FALSE;10+{LIG}7;;
18;numerals-ogbr1243-1-eighteen-1;numerals-ogbr1243-1;Chan2019;eighteen;18;kúɗjòù nɔ́ɓɛ́nâ;kudjounobena;;FALSE;10+{LIG}8;;
19;numerals-ogbr1243-1-nineteen-1;numerals-ogbr1243-1;Chan2019;nineteen;19;kúɗjòù nèsùò;kudjounesuo;;FALSE;10+{LIG}9;;
20;numerals-ogbr1243-1-twenty-1;numerals-ogbr1243-1;Chan2019;twenty;20;kúrùsù;kurusu;;FALSE;20;;
21;numerals-ogbr1243-1-twentyone-1;numerals-ogbr1243-1;Chan2019;twentyone;21;kúrùꜜsù nònî;kurusunoni;;FALSE;20+1;;
22;numerals-ogbr1243-1-twentytwo-1;numerals-ogbr1243-1;Chan2019;twentytwo;22;kúrùꜜsù nɪ̀jàːlʊ̀;kurusunijalu;;FALSE;20+2;;
23;numerals-ogbr1243-1-twentythree-1;numerals-ogbr1243-1;Chan2019;twentythree;23;kúrùꜜsù nɪ̀ːrà;kurusunira;;FALSE;20+3;;
24;numerals-ogbr1243-1-twentyfour-1;numerals-ogbr1243-1;Chan2019;twentyfour;24;kúrùꜜsù nɪ̀ɲɔ̀;kurusunino;;FALSE;20+4;;
25;numerals-ogbr1243-1-twentyfive-1;numerals-ogbr1243-1;Chan2019;twentyfive;25;kúrùꜜsù nìɲòwo;kurusuninowo;;FALSE;20+5;;
26;numerals-ogbr1243-1-twentysix-1;numerals-ogbr1243-1;Chan2019;twentysix;26;kúrùꜜsù nòdì;kurusunodi;;FALSE;20+6;;
27;numerals-ogbr1243-1-twentyseven-1;numerals-ogbr1243-1;Chan2019;twentyseven;27;kúrùꜜsù nòɗʊ̀ɔ̀;kurusunoduo;;FALSE;20+7;;
28;numerals-ogbr1243-1-twentyeight-1;numerals-ogbr1243-1;Chan2019;twentyeight;28;kúrùꜜsù nɔ́ɓɛ́nâ;kurusunobena;;FALSE;20+8;;
29;numerals-ogbr1243-1-twentynine-1;numerals-ogbr1243-1;Chan2019;twentynine;29;kúrùꜜsù nèsùò;kurusunesuo;;FALSE;20+9;;
30;numerals-ogbr1243-1-thirty-1;numerals-ogbr1243-1;Chan2019;thirty;30;kúrùꜜsù núɗjòù;kurusunudjou;( 20 + 10 );FALSE;20+10;;
31;numerals-ogbr1243-1-forty-1;numerals-ogbr1243-1;Chan2019;forty;40;kálârúsû;kalarusu;( 2 x 20  );FALSE;2·20;;
32;numerals-ogbr1243-1-fifty-1;numerals-ogbr1243-1;Chan2019;fifty;50;kálârúsû nùɗjòù;kalarusunudjou;;FALSE;(2·20)+10;;
33;numerals-ogbr1243-1-sixty-1;numerals-ogbr1243-1;Chan2019;sixty;60;kráꜜrárúsû;krararusu;( 3 x 20  );FALSE;3·20;;
34;numerals-ogbr1243-1-seventy-1;numerals-ogbr1243-1;Chan2019;seventy;70;kráꜜrárúsû;krararusu;( 3 x 20 + 10 );FALSE;(3·20)+10;;
35;numerals-ogbr1243-1-eighty-1;numerals-ogbr1243-1;Chan2019;eighty;80;kíꜜɲɔ́rúsû;kinorusu;( 4 x 20 );FALSE;4·20;;
36;numerals-ogbr1243-1-ninety-1;numerals-ogbr1243-1;Chan2019;ninety;90;kíꜜɲɔ́rúsû;kinorusu;( 4 x 20+10 );FALSE;(4·20)+10;;
37;numerals-ogbr1243-1-hundred-1;numerals-ogbr1243-1;Chan2019;hundred;100;kʊ́ꜜɔ́rúsû;kuorusu;( 5 x 20 );FALSE;5·20;;
38;numerals-ogbr1243-1-twohundred-1;numerals-ogbr1243-1;Chan2019;twohundred;200;òníɔ̀làsɪ̀;oniolasi;;FALSE;1·200;;
39;numerals-ogbr1243-1-thousand-1;numerals-ogbr1243-1;Chan2019;thousand;1000;kúàsɪ̀làsɪ̀;kuasilasi;;FALSE;5′·200;;
40;numerals-ogbr1243-1-twothousand-1;numerals-ogbr1243-1;Chan2019;twothousand;2000;kúꜜɗjoúàsɪ̀làsɪ̀;kudjouasilasi;;FALSE;10·200;;
