,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-kwes1245-1-one-1,barlowpacific-kwes1245-1,Barlow2024,one,1,áfàtàn,afatan,,FALSE,1,,
2,barlowpacific-kwes1245-1-one-2,barlowpacific-kwes1245-1,Barlow2024,one,1,afateni,afateni,,FALSE,1,,
3,barlowpacific-kwes1245-1-two-1,barlowpacific-kwes1245-1,Barlow2024,two,2,náwá,nawa,,FALSE,2,,
4,barlowpacific-kwes1245-1-three-1,barlowpacific-kwes1245-1,Barlow2024,three,3,náwá-jengki,nawajengki,,FALSE,2[+]1′,,
5,barlowpacific-kwes1245-1-three-2,barlowpacific-kwes1245-1,Barlow2024,three,3,nojenki,nojenki,,FALSE,2[+]1′,,
6,barlowpacific-kwes1245-1-four-1,barlowpacific-kwes1245-1,Barlow2024,four,4,náwá-náwá,nawanawa,,FALSE,2[+]2,,
7,barlowpacific-kwes1245-1-five-1,barlowpacific-kwes1245-1,Barlow2024,five,5,náwá-nawa-jengki,nawanawajengki,,FALSE,2[+]2[+]1,,
8,barlowpacific-kwes1245-1-five-2,barlowpacific-kwes1245-1,Barlow2024,five,5,fasbir,fasbir,,FALSE,5,,
9,barlowpacific-kwes1245-1-six-1,barlowpacific-kwes1245-1,Barlow2024,six,6,fasbir-èfriwi-áfàtàn,fasbirefriwiafatan,,FALSE,5+1,,
10,barlowpacific-kwes1245-1-seven-1,barlowpacific-kwes1245-1,Barlow2024,seven,7,fasbir-èfriwi-náwá,fasbirefriwinawa,,FALSE,5+2,,
11,barlowpacific-kwes1245-1-eight-1,barlowpacific-kwes1245-1,Barlow2024,eight,8,fasbif-èfriwi-nojengki,fasbifefriwinojengki,,FALSE,5+2[+]1′,,
12,barlowpacific-kwes1245-1-nine-1,barlowpacific-kwes1245-1,Barlow2024,nine,9,fasbir-èfriwi-náwá-náwá,fasbirefriwinawanawa,,FALSE,5+2[+]2,,
13,barlowpacific-kwes1245-1-ten-1,barlowpacific-kwes1245-1,Barlow2024,ten,10,dònsòrò-áfàtàn,donsoroafatan,,FALSE,10⋅1,,
14,barlowpacific-kwes1245-1-eleven-1,barlowpacific-kwes1245-1,Barlow2024,eleven,11,dònsòrò-áfàtàn-kámàdòn-áfàtàn,donsoroafatankamadonafatan,,FALSE,(10⋅1)+1,,
15,barlowpacific-kwes1245-1-twenty-1,barlowpacific-kwes1245-1,Barlow2024,twenty,20,dònsòrò-náwá,donsoronawa,,FALSE,10⋅2,,
16,barlowpacific-kwes1245-1-thirty-1,barlowpacific-kwes1245-1,Barlow2024,thirty,30,dònsòrò-nojenki,donsoronojenki,,FALSE,10⋅(2[+]1′),,
