"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-bilb1241-2-one-1","barlowpacific-bilb1241-2","Barlow2024","one",1,"kukun","kukun","","false",NA,NA,NA
"2","barlowpacific-bilb1241-2-two-1","barlowpacific-bilb1241-2","Barlow2024","two",2,"oru","oru","","false",NA,NA,NA
"3","barlowpacific-bilb1241-2-three-1","barlowpacific-bilb1241-2","Barlow2024","three",3,"toli","toli","","false",NA,NA,NA
"4","barlowpacific-bilb1241-2-four-1","barlowpacific-bilb1241-2","Barlow2024","four",4,"pali","pali","","false",NA,NA,NA
"5","barlowpacific-bilb1241-2-five-1","barlowpacific-bilb1241-2","Barlow2024","five",5,"lima-ta","limata","","false",NA,NA,NA
"6","barlowpacific-bilb1241-2-six-1","barlowpacific-bilb1241-2","Barlow2024","six",6,"kukun-kete","kukunkete","","false",NA,NA,NA
"7","barlowpacific-bilb1241-2-seven-1","barlowpacific-bilb1241-2","Barlow2024","seven",7,"kukun-oru","kukunoru","","false",NA,NA,NA
"8","barlowpacific-bilb1241-2-eight-1","barlowpacific-bilb1241-2","Barlow2024","eight",8,"kukun-toli","kukuntoli","","false",NA,NA,NA
"9","barlowpacific-bilb1241-2-nine-1","barlowpacific-bilb1241-2","Barlow2024","nine",9,"kukun-pali","kukunpali","","false",NA,NA,NA
"10","barlowpacific-bilb1241-2-ten-1","barlowpacific-bilb1241-2","Barlow2024","ten",10,"liman-oru","limanoru","","false",NA,NA,NA
"11","barlowpacific-bilb1241-2-twenty-1","barlowpacific-bilb1241-2","Barlow2024","twenty",20,"kukun-tama","kukuntama","","false",NA,NA,NA
