"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-bara1367-1-one-1","numerals-bara1367-1","Chan2019","one",1,"ʔi'ti","iti","","false",NA,NA,NA
"2","numerals-bara1367-1-two-1","numerals-bara1367-1","Chan2019","two",2,"roʔ","ro","","false",NA,NA,NA
"3","numerals-bara1367-1-three-1","numerals-bara1367-1","Chan2019","three",3,"laʔ","la","","false",NA,NA,NA
"4","numerals-bara1367-1-four-1","numerals-bara1367-1","Chan2019","four",4,"kaw","kaw","","false",NA,NA,NA
"5","numerals-bara1367-1-five-1","numerals-bara1367-1","Chan2019","five",5,"lem","lem","","false",NA,NA,NA
"6","numerals-bara1367-1-six-1","numerals-bara1367-1","Chan2019","six",6,"dum","dum","","false",NA,NA,NA
"7","numerals-bara1367-1-seven-1","numerals-bara1367-1","Chan2019","seven",7,"do'bam","dobam","","false",NA,NA,NA
"8","numerals-bara1367-1-eight-1","numerals-bara1367-1","Chan2019","eight",8,"ka'ru","karu","","false",NA,NA,NA
"9","numerals-bara1367-1-nine-1","numerals-bara1367-1","Chan2019","nine",9,"ser","ser","","false",NA,NA,NA
"10","numerals-bara1367-1-ten-1","numerals-bara1367-1","Chan2019","ten",10,"ʔor'wo","orwo","","false",NA,NA,NA
"11","numerals-bara1367-1-hundred-1","numerals-bara1367-1","Chan2019","hundred",100,"raj","raj","","false",NA,NA,NA
"12","numerals-bara1367-1-thousand-1","numerals-bara1367-1","Chan2019","thousand",1000,"ri'βin","ribin","","false",NA,NA,NA
