"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-kama1370-3-one-1","barlowpacific-kama1370-3","Barlow2024","one",1,"magoke","magoke","‘one only’","false",NA,NA,NA
"2","barlowpacific-kama1370-3-two-1","barlowpacific-kama1370-3","Barlow2024","two",2,"tare","tare","‘two’","false",NA,NA,NA
"3","barlowpacific-kama1370-3-three-1","barlowpacific-kama1370-3","Barlow2024","three",3,"tagufa","tagufa","‘three’","false",NA,NA,NA
"4","barlowpacific-kama1370-3-three-2","barlowpacific-kama1370-3","Barlow2024","three",3,"taregi nagoki","tareginagoki","‘two-and one-and’","false",NA,NA,NA
"5","barlowpacific-kama1370-3-four-1","barlowpacific-kama1370-3","Barlow2024","four",4,"taregi taregi","taregitaregi","‘two-and two-and’","false",NA,NA,NA
"6","barlowpacific-kama1370-3-five-1","barlowpacific-kama1370-3","Barlow2024","five",5,"nayatiga'a","nayatigaa","‘my hand’","false",NA,NA,NA
"7","barlowpacific-kama1370-3-six-1","barlowpacific-kama1370-3","Barlow2024","six",6,"naya evruka hia","nayaevrukahia","‘my hand it goes’","false",NA,NA,NA
"8","barlowpacific-kama1370-3-seven-1","barlowpacific-kama1370-3","Barlow2024","seven",7,"naya tare evruka hia","nayatareevrukahia","‘my hand two it goes’","false",NA,NA,NA
"9","barlowpacific-kama1370-3-eight-1","barlowpacific-kama1370-3","Barlow2024","eight",8,"naya taregi nagoki evruka hia","nayatareginagokievrukahia","","false",NA,NA,NA
"10","barlowpacific-kama1370-3-nine-1","barlowpacific-kama1370-3","Barlow2024","nine",9,"nayanataka heno taregi taregi evruka hia","nayanatakahenotaregitaregievrukahia","","false",NA,NA,NA
"11","barlowpacific-kama1370-3-ten-1","barlowpacific-kama1370-3","Barlow2024","ten",10,"nayantrema'a","nayantremaa","‘my hand-two-amount’","false",NA,NA,NA
"12","barlowpacific-kama1370-3-eleven-1","barlowpacific-kama1370-3","Barlow2024","eleven",11,"nayanteti evagaregeno nagaregati mago evruka hia","nayantetievagaregenonagaregatimagoevrukahia","‘from my hand finished from my foot one it goes’","false",NA,NA,NA
"13","barlowpacific-kama1370-3-fifteen-1","barlowpacific-kama1370-3","Barlow2024","fifteen",15,"nayanteti evagaregeno mago kayiya naga vagaria","nayantetievagaregenomagokayiyanagavagaria","‘from my hand finished one side my foot finishes’","false",NA,NA,NA
"14","barlowpacific-kama1370-3-sixteen-1","barlowpacific-kama1370-3","Barlow2024","sixteen",16,"mago naga kayiga hana higene mago kayigati mago evruka hia","magonagakayigahanahigenemagokayigatimagoevrukahia","","false",NA,NA,NA
"15","barlowpacific-kama1370-3-twenty-1","barlowpacific-kama1370-3","Barlow2024","twenty",20,"nagarre nayantrema'a","nagarrenayantremaa","‘my two feet my two hands amount’","false",NA,NA,NA
