,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-iris1253-1-one-1,numerals-iris1253-1,Chan2019,one,1,əˈhin̪,ahin,,false,1,,
2,numerals-iris1253-1-two-1,numerals-iris1253-1,Chan2019,two,2,əˈd̪o,ado,,false,2,,
3,numerals-iris1253-1-three-1,numerals-iris1253-1,Chan2019,three,3,ətʲɹʲi,atjrji,,false,3,,
4,numerals-iris1253-1-four-1,numerals-iris1253-1,Chan2019,four,4,əˈcæhɪɹʲ,acaehirj,,false,4,,
5,numerals-iris1253-1-five-1,numerals-iris1253-1,Chan2019,five,5,əˈkuɟ,akuj,,false,5,,
6,numerals-iris1253-1-six-1,numerals-iris1253-1,Chan2019,six,6,əˈʃe,ase,,false,6,,
7,numerals-iris1253-1-seven-1,numerals-iris1253-1,Chan2019,seven,7,əˈʃɑxt̪,asaxt,,false,7,,
8,numerals-iris1253-1-eight-1,numerals-iris1253-1,Chan2019,eight,8,əˈhʌxt̪,ahxt,,false,8,,
9,numerals-iris1253-1-nine-1,numerals-iris1253-1,Chan2019,nine,9,əˈn̪ˠi,angi,,false,9,,
10,numerals-iris1253-1-ten-1,numerals-iris1253-1,Chan2019,ten,10,əˈdʲɛ,adje,,false,10,,
11,numerals-iris1253-1-eleven-1,numerals-iris1253-1,Chan2019,eleven,11,əˈhiɲeg,ahineg,,false,1+10,,
12,numerals-iris1253-1-twelve-1,numerals-iris1253-1,Chan2019,twelve,12,əˈd̪ˠojeg,adgojeg,,false,2+10,,
13,numerals-iris1253-1-thirteen-1,numerals-iris1253-1,Chan2019,thirteen,13,əˈtʲɹʲidʲeg,atjrjidjeg,,false,3+10,,
14,numerals-iris1253-1-fourteen-1,numerals-iris1253-1,Chan2019,fourteen,14,əˈcæhɪɹʲdʲeg,acaehirjdjeg,,false,4+10,,
15,numerals-iris1253-1-fifteen-1,numerals-iris1253-1,Chan2019,fifteen,15,əˈkuɟdʲeg,akujdjeg,,false,5+10,,
16,numerals-iris1253-1-sixteen-1,numerals-iris1253-1,Chan2019,sixteen,16,əˈʃedʲeg,asedjeg,,false,6+10,,
17,numerals-iris1253-1-seventeen-1,numerals-iris1253-1,Chan2019,seventeen,17,əˈʃɑxdʲeg,asaxdjeg,,false,7+10,,
18,numerals-iris1253-1-eighteen-1,numerals-iris1253-1,Chan2019,eighteen,18,əˈhʌxdʲeg,ahxdjeg,,false,8+10,,
