,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-dand1238-1-one-1,numerals-dand1238-1,Chan2019,one,1,oɳɖ,ond,,false,1,,
2,numerals-dand1238-1-two-1,numerals-dand1238-1,Chan2019,two,2,ɾeːɳɖ,rend,,false,2,,
3,numerals-dand1238-1-three-1,numerals-dand1238-1,Chan2019,three,3,muːɳɖ,mund,,false,3,,
4,numerals-dand1238-1-four-1,numerals-dand1238-1,Chan2019,four,4,nalu,nalu,,false,4,,
5,numerals-dand1238-1-five-1,numerals-dand1238-1,Chan2019,five,5,eyŋg,eyngg,,false,5,,
6,numerals-dand1238-1-six-1,numerals-dand1238-1,Chan2019,six,6,aɾu,aru,,false,6,,
7,numerals-dand1238-1-seven-1,numerals-dand1238-1,Chan2019,seven,7,sat̪,sat,,false,7,borrowed from Indo-Aryan (Indo-European),
8,numerals-dand1238-1-eight-1,numerals-dand1238-1,Chan2019,eight,8,aʈ,at,,false,8,borrowed from Indo-Aryan (Indo-European),
9,numerals-dand1238-1-nine-1,numerals-dand1238-1,Chan2019,nine,9,nʌv,nv,,false,9,borrowed from Indo-Aryan (Indo-European),
10,numerals-dand1238-1-ten-1,numerals-dand1238-1,Chan2019,ten,10,d̪ʌs,ds,,false,10,borrowed from Indo-Aryan (Indo-European),
11,numerals-dand1238-1-eleven-1,numerals-dand1238-1,Chan2019,eleven,11,gyaɾa,gyara,,false,1′+10′,borrowed from Indo-Aryan (Indo-European),
12,numerals-dand1238-1-twelve-1,numerals-dand1238-1,Chan2019,twelve,12,baɾa,bara,,false,2′+10,borrowed from Indo-Aryan (Indo-European),
13,numerals-dand1238-1-thirteen-1,numerals-dand1238-1,Chan2019,thirteen,13,t̪eːra,tera,,false,3′+10′,borrowed from Indo-Aryan (Indo-European),
14,numerals-dand1238-1-fourteen-1,numerals-dand1238-1,Chan2019,fourteen,14,sʌvd̪a,svda,,false,4′+10′,borrowed from Indo-Aryan (Indo-European),
15,numerals-dand1238-1-fifteen-1,numerals-dand1238-1,Chan2019,fifteen,15,pʌnd̪ɾa,pndra,,false,5′+10′,borrowed from Indo-Aryan (Indo-European),
16,numerals-dand1238-1-sixteen-1,numerals-dand1238-1,Chan2019,sixteen,16,soːla,sola,,false,6′+10′,borrowed from Indo-Aryan (Indo-European),
17,numerals-dand1238-1-seventeen-1,numerals-dand1238-1,Chan2019,seventeen,17,sʌt̪ɾa,stra,,false,7+10′,borrowed from Indo-Aryan (Indo-European),
18,numerals-dand1238-1-eighteen-1,numerals-dand1238-1,Chan2019,eighteen,18,ʌʈʈaɾa,ttara,,false,8+10′,borrowed from Indo-Aryan (Indo-European),
19,numerals-dand1238-1-nineteen-1,numerals-dand1238-1,Chan2019,nineteen,19,unnis,unnis,,false,19,borrowed from Indo-Aryan (Indo-European); historically subtractive,
20,numerals-dand1238-1-twenty-1,numerals-dand1238-1,Chan2019,twenty,20,koːɽi,kori,,false,20,"borrowed from Indo-Aryan (Indo-European), ultimately from Munda (Austroasiatic) (?)",
21,numerals-dand1238-1-twenty-2,numerals-dand1238-1,Chan2019,twenty,20,biːs,bis,,false,20′,borrowed from Indo-Aryan (Indo-European); historically subtractive,
22,numerals-dand1238-1-twentyone-1,numerals-dand1238-1,Chan2019,twentyone,21,koːɽi oɳɖ,koriond,,false,20[+]1,"<koːɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Munda (Austroasiatic) (?)",
23,numerals-dand1238-1-twentytwo-1,numerals-dand1238-1,Chan2019,twentytwo,22,koːɽi ɾeːɳɖ,korirend,,false,20[+]2,"<koːɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Munda (Austroasiatic) (?)",
