,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-savi1242-1-one-1,numerals-savi1242-1,Chan2019,one,1,jak,jak,,false,1,,
2,numerals-savi1242-1-one-2,numerals-savi1242-1,Chan2019,one,1,jɛk,jek,,false,1,,
3,numerals-savi1242-1-one-3,numerals-savi1242-1,Chan2019,one,1,jɛk,jek,,false,1,,
4,numerals-savi1242-1-two-1,numerals-savi1242-1,Chan2019,two,2,d̪uː,du,,false,2,,
5,numerals-savi1242-1-two-2,numerals-savi1242-1,Chan2019,two,2,d̪ʊː,du,,false,2,,
6,numerals-savi1242-1-two-3,numerals-savi1242-1,Chan2019,two,2,du,du,,false,2,,
7,numerals-savi1242-1-three-1,numerals-savi1242-1,Chan2019,three,3,ɬɑː,la,,false,3,,
8,numerals-savi1242-1-three-2,numerals-savi1242-1,Chan2019,three,3,ɬɔː,lo,,false,3,,
9,numerals-savi1242-1-three-3,numerals-savi1242-1,Chan2019,three,3,ɬɔ,lo,,false,3,,
10,numerals-savi1242-1-four-1,numerals-savi1242-1,Chan2019,four,4,ʨɔːɾ,tcor,,false,4,,
11,numerals-savi1242-1-four-2,numerals-savi1242-1,Chan2019,four,4,ʨoːɾ,tcor,,false,4,,
12,numerals-savi1242-1-four-3,numerals-savi1242-1,Chan2019,four,4,ʨoɾ,tcor,,false,4,,
13,numerals-savi1242-1-five-1,numerals-savi1242-1,Chan2019,five,5,paːɲ,pan,,false,5,,
14,numerals-savi1242-1-five-2,numerals-savi1242-1,Chan2019,five,5,pãːɲʥ,pandz,,false,5,,
15,numerals-savi1242-1-five-3,numerals-savi1242-1,Chan2019,five,5,panʥ,pandz,,false,5,,
16,numerals-savi1242-1-six-1,numerals-savi1242-1,Chan2019,six,6,ʂo,so,,false,6,,
17,numerals-savi1242-1-six-2,numerals-savi1242-1,Chan2019,six,6,ʂʊˑ,su,,false,6,,
18,numerals-savi1242-1-six-3,numerals-savi1242-1,Chan2019,six,6,ʂu,su,,false,6,,
19,numerals-savi1242-1-seven-1,numerals-savi1242-1,Chan2019,seven,7,saːt̪,sat,,false,7,,
20,numerals-savi1242-1-seven-2,numerals-savi1242-1,Chan2019,seven,7,sæːt̪,saet,,false,7,,
21,numerals-savi1242-1-seven-3,numerals-savi1242-1,Chan2019,seven,7,sat,sat,,false,7,,
22,numerals-savi1242-1-eight-1,numerals-savi1242-1,Chan2019,eight,8,aːɕ,ac,,false,8,,
23,numerals-savi1242-1-eight-2,numerals-savi1242-1,Chan2019,eight,8,ãːɕ,ac,,false,8,,
24,numerals-savi1242-1-eight-3,numerals-savi1242-1,Chan2019,eight,8,aɕ,ac,,false,8,,
25,numerals-savi1242-1-nine-1,numerals-savi1242-1,Chan2019,nine,9,n̪oː,no,,false,9,,
26,numerals-savi1242-1-nine-2,numerals-savi1242-1,Chan2019,nine,9,n̪ʊː,nu,,false,9,,
27,numerals-savi1242-1-nine-3,numerals-savi1242-1,Chan2019,nine,9,no,no,,false,9,,
28,numerals-savi1242-1-ten-1,numerals-savi1242-1,Chan2019,ten,10,d̪æɕ,daec,,false,10,,
29,numerals-savi1242-1-ten-2,numerals-savi1242-1,Chan2019,ten,10,d̪ɛɕ,dec,,false,10,,
30,numerals-savi1242-1-ten-3,numerals-savi1242-1,Chan2019,ten,10,dɛɕ,dec,,false,10,,
31,numerals-savi1242-1-eleven-1,numerals-savi1242-1,Chan2019,eleven,11,jaˈkɑːɕ,jakac,,false,1+10,,
32,numerals-savi1242-1-eleven-2,numerals-savi1242-1,Chan2019,eleven,11,jɛˈkɔːɕ,jekoc,,false,1+10,,
33,numerals-savi1242-1-eleven-3,numerals-savi1242-1,Chan2019,eleven,11,jɛkɔɕ,jekoc,,false,1+10,,
34,numerals-savi1242-1-twelve-1,numerals-savi1242-1,Chan2019,twelve,12,bɑːɕ,bac,,false,2′+10,,
35,numerals-savi1242-1-twelve-2,numerals-savi1242-1,Chan2019,twelve,12,bɔːɕ,boc,,false,2′+10,,
36,numerals-savi1242-1-twelve-3,numerals-savi1242-1,Chan2019,twelve,12,bɔɕ,boc,,false,2′+10,,
37,numerals-savi1242-1-thirteen-1,numerals-savi1242-1,Chan2019,thirteen,13,t̪ɾʊˈhẽːɕ,truhec,,false,3+10,,
38,numerals-savi1242-1-thirteen-2,numerals-savi1242-1,Chan2019,thirteen,13,t̪ɾʊˈhɪˑɕ,truhic,,false,3+10,,
39,numerals-savi1242-1-thirteen-3,numerals-savi1242-1,Chan2019,thirteen,13,tɾueɕ,truec,,false,3+10,,
40,numerals-savi1242-1-fourteen-1,numerals-savi1242-1,Chan2019,fourteen,14,ʨaˈd̪iːɕ,tcadic,,false,4+10,,
41,numerals-savi1242-1-fourteen-2,numerals-savi1242-1,Chan2019,fourteen,14,ʨɛˈd̪iɕ,tcedic,,false,4+10,,
42,numerals-savi1242-1-fourteen-3,numerals-savi1242-1,Chan2019,fourteen,14,ʨɛdiɕ,tcedic,,false,4+10,,
43,numerals-savi1242-1-fifteen-1,numerals-savi1242-1,Chan2019,fifteen,15,pæɲˈʥiːɕ,paendzic,,false,5+10,,
44,numerals-savi1242-1-fifteen-2,numerals-savi1242-1,Chan2019,fifteen,15,pɛɲˈʥiɕ,pendzic,,false,5+10,,
45,numerals-savi1242-1-fifteen-3,numerals-savi1242-1,Chan2019,fifteen,15,pɛnʥiɕ,pendzic,,false,5+10,,
46,numerals-savi1242-1-sixteen-1,numerals-savi1242-1,Chan2019,sixteen,16,ʂʊˈɽæɕ,suraec,,false,6+10,,
47,numerals-savi1242-1-sixteen-2,numerals-savi1242-1,Chan2019,sixteen,16,ʂʊˈɽɛs,sures,,false,6+10,,
48,numerals-savi1242-1-sixteen-3,numerals-savi1242-1,Chan2019,sixteen,16,ʂuɽɛs,sures,,false,6+10,,
49,numerals-savi1242-1-seventeen-1,numerals-savi1242-1,Chan2019,seventeen,17,saˈtʲaːɕ,satjac,,false,7+10,,
50,numerals-savi1242-1-seventeen-2,numerals-savi1242-1,Chan2019,seventeen,17,sɛt̪ɪˈɔːɕ,setioc,,false,7+10,,
51,numerals-savi1242-1-seventeen-3,numerals-savi1242-1,Chan2019,seventeen,17,sɛtiɔɕ,setioc,,false,7+10,,
52,numerals-savi1242-1-eighteen-1,numerals-savi1242-1,Chan2019,eighteen,18,aɕˈtʲaːɕ,actjac,,false,8+10,,
53,numerals-savi1242-1-eighteen-2,numerals-savi1242-1,Chan2019,eighteen,18,ɛst̪ɪˈɞːɕ,estiec,,false,8+10,,
54,numerals-savi1242-1-eighteen-3,numerals-savi1242-1,Chan2019,eighteen,18,ɛɕtiɔɕ,ectioc,,false,8+10,,
55,numerals-savi1242-1-nineteen-1,numerals-savi1242-1,Chan2019,nineteen,19,ʊˈɳiːɕ,unic,,false,1′−([2′]⋅10),,
56,numerals-savi1242-1-nineteen-2,numerals-savi1242-1,Chan2019,nineteen,19,ʊˈɳĩɕ,unic,,false,1′−([2′]⋅10),,
57,numerals-savi1242-1-nineteen-3,numerals-savi1242-1,Chan2019,nineteen,19,uɳiɕ,unic,,false,1′−([2′]⋅10),,
58,numerals-savi1242-1-twenty-1,numerals-savi1242-1,Chan2019,twenty,20,biːɕ,bic,,false,2′⋅10,,
59,numerals-savi1242-1-twenty-2,numerals-savi1242-1,Chan2019,twenty,20,biˑɕ,bic,,false,2′⋅10,,
60,numerals-savi1242-1-twenty-3,numerals-savi1242-1,Chan2019,twenty,20,biɕ,bic,,false,2′⋅10,,
61,numerals-savi1242-1-twentyone-1,numerals-savi1242-1,Chan2019,twentyone,21,jaˈkaːmbɪɕ,jakambic,,false,1+{LP}(2′⋅10),LP stands for linking particle.,
62,numerals-savi1242-1-twentyone-2,numerals-savi1242-1,Chan2019,twentyone,21,jaˈkɔːmbiɕ,jakombic,,false,1+{LP}(2′⋅10),,
63,numerals-savi1242-1-twentyone-3,numerals-savi1242-1,Chan2019,twentyone,21,jɛkɔ~biɕ,jekobic,,false,1+(2′⋅10),,
64,numerals-savi1242-1-twentytwo-1,numerals-savi1242-1,Chan2019,twentytwo,22,dʊˈaːmbɪɕ,duambic,,false,2+{LP}(2′⋅10),,
65,numerals-savi1242-1-twentytwo-2,numerals-savi1242-1,Chan2019,twentytwo,22,ˈdʋɔːmbiɕ,dvombic,,false,2+{LP}(2′⋅10),,
66,numerals-savi1242-1-twentytwo-3,numerals-savi1242-1,Chan2019,twentytwo,22,duɔ~biɕ,duobic,,false,2+(2′⋅10),,
67,numerals-savi1242-1-twentythree-1,numerals-savi1242-1,Chan2019,twentythree,23,ˈɬaːmbɪɕ,lambic,,false,3+{LP}(2′⋅10),,
68,numerals-savi1242-1-twentythree-2,numerals-savi1242-1,Chan2019,twentythree,23,ˈɬɔːmbiɕ,lombic,,false,3+{LP}(2′⋅10),,
69,numerals-savi1242-1-twentythree-3,numerals-savi1242-1,Chan2019,twentythree,23,ɬɔ~biɕ,lobic,,false,3+(2′⋅10),,
70,numerals-savi1242-1-twentyfour-1,numerals-savi1242-1,Chan2019,twentyfour,24,ˈʨʊɾambɪɕ,tcurambic,,false,4+{LP}(2′⋅10),,
71,numerals-savi1242-1-twentyfour-2,numerals-savi1242-1,Chan2019,twentyfour,24,ʨʊˈɾɔˑmbiɕ,tcurombic,,false,4+{LP}(2′⋅10),,
72,numerals-savi1242-1-twentyfour-3,numerals-savi1242-1,Chan2019,twentyfour,24,ʨuɾɔ~biɕ,tcurobic,,false,4+(2′⋅10),,
73,numerals-savi1242-1-twentyfive-1,numerals-savi1242-1,Chan2019,twentyfive,25,ˈpaɲjambɪɕ,panjambic,,false,5+{LP}(2′⋅10),,
74,numerals-savi1242-1-twentyfive-2,numerals-savi1242-1,Chan2019,twentyfive,25,ˈpãɲdʑɔˑmbiɕ,pandzombic,,false,5+{LP}(2′⋅10),,
75,numerals-savi1242-1-twentyfive-3,numerals-savi1242-1,Chan2019,twentyfive,25,pɛndʑɔ~biɕ,pendzobic,,false,5+(2′⋅10),,
76,numerals-savi1242-1-twentysix-1,numerals-savi1242-1,Chan2019,twentysix,26,ʂʊˈaːmbɪɕ,suambic,,false,6+{LP}(2′⋅10),,
