,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-todr1244-1-one-1,numerals-todr1244-1,Chan2019,one,1,muə̤̆j,muaj,,false,1,,
2,numerals-todr1244-1-two-1,numerals-todr1244-1,Chan2019,two,2,bar,bar,,false,2,,
3,numerals-todr1244-1-three-1,numerals-todr1244-1,Chan2019,three,3,pi,pi,,false,3,,
4,numerals-todr1244-1-four-1,numerals-todr1244-1,Chan2019,four,4,puᵈn,pudn,,false,4,,
5,numerals-todr1244-1-five-1,numerals-todr1244-1,Chan2019,five,5,padăp,padap,,false,5,,
6,numerals-todr1244-1-six-1,numerals-todr1244-1,Chan2019,six,6,taⁿdru,tandru,,false,6,,
7,numerals-todr1244-1-seven-1,numerals-todr1244-1,Chan2019,seven,7,tape̤jh,tapejh,,false,7,,
8,numerals-todr1244-1-eight-1,numerals-todr1244-1,Chan2019,eight,8,tahim,tahim,,false,8,,
9,numerals-todr1244-1-nine-1,numerals-todr1244-1,Chan2019,nine,9,taci̤n,tacin,,false,9,,
10,numerals-todr1244-1-ten-1,numerals-todr1244-1,Chan2019,ten,10,ɟă̤t,jat,,false,10,,
11,numerals-todr1244-1-eleven-1,numerals-todr1244-1,Chan2019,eleven,11,muə̤̆j ɟă̤t muə̤̆j,muajjatmuaj,,false,(1⋅10)+1,,
12,numerals-todr1244-1-twelve-1,numerals-todr1244-1,Chan2019,twelve,12,muə̤̆j ɟă̤t bar,muajjatbar,,false,(1⋅10)+2,,
13,numerals-todr1244-1-thirteen-1,numerals-todr1244-1,Chan2019,thirteen,13,muə̤̆j ɟă̤t pi,muajjatpi,,false,(1⋅10)+3,,
14,numerals-todr1244-1-fourteen-1,numerals-todr1244-1,Chan2019,fourteen,14,muə̤̆j ɟă̤tpuᵈn,muajjatpudn,,false,(1⋅10)+4,,
15,numerals-todr1244-1-fifteen-1,numerals-todr1244-1,Chan2019,fifteen,15,muə̤̆j ɟă̤t padăp,muajjatpadap,,false,(1⋅10)+5,,
16,numerals-todr1244-1-sixteen-1,numerals-todr1244-1,Chan2019,sixteen,16,muə̤̆j ɟă̤t taⁿdru,muajjattandru,,false,(1⋅10)+6,,
