"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-taga1273-1-one-1","barlowpacific-taga1273-1","Barlow2024","one",1,"saaʔ","saa","","false",NA,NA,NA
"2","barlowpacific-taga1273-1-two-1","barlowpacific-taga1273-1","Barlow2024","two",2,"ruo","ruo","","false",NA,NA,NA
"3","barlowpacific-taga1273-1-three-1","barlowpacific-taga1273-1","Barlow2024","three",3,"talu","talu","","false",NA,NA,NA
"4","barlowpacific-taga1273-1-four-1","barlowpacific-taga1273-1","Barlow2024","four",4,"apat","apat","","false",NA,NA,NA
"5","barlowpacific-taga1273-1-five-1","barlowpacific-taga1273-1","Barlow2024","five",5,"limo","limo","","false",NA,NA,NA
"6","barlowpacific-taga1273-1-six-1","barlowpacific-taga1273-1","Barlow2024","six",6,"onom","onom","","false",NA,NA,NA
"7","barlowpacific-taga1273-1-seven-1","barlowpacific-taga1273-1","Barlow2024","seven",7,"tuluʔ","tulu","","false",NA,NA,NA
"8","barlowpacific-taga1273-1-eight-1","barlowpacific-taga1273-1","Barlow2024","eight",8,"baluʔ","balu","","false",NA,NA,NA
"9","barlowpacific-taga1273-1-nine-1","barlowpacific-taga1273-1","Barlow2024","nine",9,"siam","siam","","false",NA,NA,NA
"10","barlowpacific-taga1273-1-ten-1","barlowpacific-taga1273-1","Barlow2024","ten",10,"opor","opor","","false",NA,NA,NA
"11","barlowpacific-taga1273-1-eleven-1","barlowpacific-taga1273-1","Barlow2024","eleven",11,"opor am rondoʔ","oporamrondo","","false",NA,NA,NA
"12","barlowpacific-taga1273-1-eleven-2","barlowpacific-taga1273-1","Barlow2024","eleven",11,"opor am saumiʔ","oporamsaumi","","false",NA,NA,NA
"13","barlowpacific-taga1273-1-twenty-1","barlowpacific-taga1273-1","Barlow2024","twenty",20,"ruo ngo opor","ruongoopor","","false",NA,NA,NA
"14","barlowpacific-taga1273-1-thirty-1","barlowpacific-taga1273-1","Barlow2024","thirty",30,"talu ngo ofod","talungoofod","","false",NA,NA,NA
"15","barlowpacific-taga1273-1-forty-1","barlowpacific-taga1273-1","Barlow2024","forty",40,"afat ngo ofod","afatngoofod","","false",NA,NA,NA
"16","barlowpacific-taga1273-1-hundred-1","barlowpacific-taga1273-1","Barlow2024","hundred",100,"atus","atus","","false",NA,NA,NA
"17","barlowpacific-taga1273-1-twohundred-1","barlowpacific-taga1273-1","Barlow2024","twohundred",200,"ruo nga atus","ruongaatus","","false",NA,NA,NA
"18","barlowpacific-taga1273-1-thousand-1","barlowpacific-taga1273-1","Barlow2024","thousand",1000,"saribu","saribu","","false",NA,NA,NA
"19","barlowpacific-taga1273-1-thousand-2","barlowpacific-taga1273-1","Barlow2024","thousand",1000,"saliong","saliong","","false",NA,NA,NA
