"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-nafi1237-1-one-1","barlowpacific-nafi1237-1","Barlow2024","one",1,"urus","urus","","false",NA,NA,NA
"2","barlowpacific-nafi1237-1-two-1","barlowpacific-nafi1237-1","Barlow2024","two",2,"siruk","siruk","","false",NA,NA,NA
"3","barlowpacific-nafi1237-1-three-1","barlowpacific-nafi1237-1","Barlow2024","three",3,"siruk awen","sirukawen","","false",NA,NA,NA
"4","barlowpacific-nafi1237-1-four-1","barlowpacific-nafi1237-1","Barlow2024","four",4,"siruk de siruk","sirukdesiruk","","false",NA,NA,NA
"5","barlowpacific-nafi1237-1-five-1","barlowpacific-nafi1237-1","Barlow2024","five",5,"baing lafen","bainglafen","hands half","false",NA,NA,NA
"6","barlowpacific-nafi1237-1-six-1","barlowpacific-nafi1237-1","Barlow2024","six",6,"baing lafen urus","bainglafenurus","","false",NA,NA,NA
"7","barlowpacific-nafi1237-1-ten-1","barlowpacific-nafi1237-1","Barlow2024","ten",10,"baing suruk","baingsuruk","hands two","false",NA,NA,NA
"8","barlowpacific-nafi1237-1-eleven-1","barlowpacific-nafi1237-1","Barlow2024","eleven",11,"baing siruk urus","baingsirukurus","","false",NA,NA,NA
"9","barlowpacific-nafi1237-1-fourteen-1","barlowpacific-nafi1237-1","Barlow2024","fourteen",14,"baing siruk siruk da siruk","baingsiruksirukdasiruk","","false",NA,NA,NA
"10","barlowpacific-nafi1237-1-fifteen-1","barlowpacific-nafi1237-1","Barlow2024","fifteen",15,"baing siruk siruk da siruk da urus","baingsiruksirukdasirukdaurus","","false",NA,NA,NA
