"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-gofa1235-1-one-1","numerals-gofa1235-1","Chan2019","one",1,"ʔistá","ista","","false",NA,NA,NA
"2","numerals-gofa1235-1-two-1","numerals-gofa1235-1","Chan2019","two",2,"namʔʔá","nama","","false",NA,NA,NA
"3","numerals-gofa1235-1-three-1","numerals-gofa1235-1","Chan2019","three",3,"heedzdzá","heedzdza","","false",NA,NA,NA
"4","numerals-gofa1235-1-four-1","numerals-gofa1235-1","Chan2019","four",4,"ʔoiddá","oidda","","false",NA,NA,NA
"5","numerals-gofa1235-1-five-1","numerals-gofa1235-1","Chan2019","five",5,"ʔitʃtʃáʃa","itstsasa","","false",NA,NA,NA
"6","numerals-gofa1235-1-six-1","numerals-gofa1235-1","Chan2019","six",6,"ʔusúppuna","usuppuna","","false",NA,NA,NA
"7","numerals-gofa1235-1-seven-1","numerals-gofa1235-1","Chan2019","seven",7,"laáppuna","laappuna","","false",NA,NA,NA
"8","numerals-gofa1235-1-eight-1","numerals-gofa1235-1","Chan2019","eight",8,"hósppuna","hosppuna","","false",NA,NA,NA
"9","numerals-gofa1235-1-nine-1","numerals-gofa1235-1","Chan2019","nine",9,"ʔuddúfuna","uddufuna","","false",NA,NA,NA
"10","numerals-gofa1235-1-ten-1","numerals-gofa1235-1","Chan2019","ten",10,"támma","tamma","","false",NA,NA,NA
"11","numerals-gofa1235-1-eleven-1","numerals-gofa1235-1","Chan2019","eleven",11,"támmanné ʔistta","tammanneistta","","false",NA,NA,NA
"12","numerals-gofa1235-1-twelve-1","numerals-gofa1235-1","Chan2019","twelve",12,"támmanné namʔa","tammannenama","","false",NA,NA,NA
"13","numerals-gofa1235-1-thirteen-1","numerals-gofa1235-1","Chan2019","thirteen",13,"támmanné heedzdza","tammanneheedzdza","","false",NA,NA,NA
"14","numerals-gofa1235-1-fourteen-1","numerals-gofa1235-1","Chan2019","fourteen",14,"támmanné ʔoidda","tammanneoidda","","false",NA,NA,NA
"15","numerals-gofa1235-1-fifteen-1","numerals-gofa1235-1","Chan2019","fifteen",15,"támmanné ʔitʃtʃaʃa","tammanneitstsasa","","false",NA,NA,NA
"16","numerals-gofa1235-1-sixteen-1","numerals-gofa1235-1","Chan2019","sixteen",16,"támmanné ʔusuppuna","tammanneusuppuna","","false",NA,NA,NA
"17","numerals-gofa1235-1-seventeen-1","numerals-gofa1235-1","Chan2019","seventeen",17,"támmanné laappuna","tammannelaappuna","","false",NA,NA,NA
"18","numerals-gofa1235-1-eighteen-1","numerals-gofa1235-1","Chan2019","eighteen",18,"támmanné hosppuna","tammannehosppuna","","false",NA,NA,NA
"19","numerals-gofa1235-1-nineteen-1","numerals-gofa1235-1","Chan2019","nineteen",19,"támmanné ʔuddufuna","tammanneuddufuna","","false",NA,NA,NA
"20","numerals-gofa1235-1-twenty-1","numerals-gofa1235-1","Chan2019","twenty",20,"namʔu tamma","namutamma","","false",NA,NA,NA
"21","numerals-gofa1235-1-twenty-2","numerals-gofa1235-1","Chan2019","twenty",20,"laátamma","laatamma","","false",NA,NA,NA
"22","numerals-gofa1235-1-twentyone-1","numerals-gofa1235-1","Chan2019","twentyone",21,"namʔʔú támmanné ʔista","namutammanneista","","false",NA,NA,NA
"23","numerals-gofa1235-1-twentytwo-1","numerals-gofa1235-1","Chan2019","twentytwo",22,"namʔʔú támmanné namʔa","namutammannenama","","false",NA,NA,NA
"24","numerals-gofa1235-1-twentythree-1","numerals-gofa1235-1","Chan2019","twentythree",23,"namʔʔú támmanné heedzdza","namutammanneheedzdza","","false",NA,NA,NA
"25","numerals-gofa1235-1-twentyfour-1","numerals-gofa1235-1","Chan2019","twentyfour",24,"namʔʔú támmanné ʔoidda","namutammanneoidda","","false",NA,NA,NA
"26","numerals-gofa1235-1-twentyfive-1","numerals-gofa1235-1","Chan2019","twentyfive",25,"namʔʔú támmanné ʔitʃtʃaʃa","namutammanneitstsasa","","false",NA,NA,NA
"27","numerals-gofa1235-1-twentysix-1","numerals-gofa1235-1","Chan2019","twentysix",26,"namʔʔú támmanné ʔusuppuna","namutammanneusuppuna","","false",NA,NA,NA
"28","numerals-gofa1235-1-twentyseven-1","numerals-gofa1235-1","Chan2019","twentyseven",27,"namʔʔú támmanné laappuna","namutammannelaappuna","","false",NA,NA,NA
"29","numerals-gofa1235-1-twentyeight-1","numerals-gofa1235-1","Chan2019","twentyeight",28,"namʔʔú támmanné hosppuna","namutammannehosppuna","","false",NA,NA,NA
"30","numerals-gofa1235-1-twentynine-1","numerals-gofa1235-1","Chan2019","twentynine",29,"namʔʔú támmanné ʔuddufuna","namutammanneuddufuna","","false",NA,NA,NA
"31","numerals-gofa1235-1-thirty-1","numerals-gofa1235-1","Chan2019","thirty",30,"heédzdzú tamma","heedzdzutamma","","false",NA,NA,NA
"32","numerals-gofa1235-1-thirty-2","numerals-gofa1235-1","Chan2019","thirty",30,"hástama","hastama","","false",NA,NA,NA
"33","numerals-gofa1235-1-forty-1","numerals-gofa1235-1","Chan2019","forty",40,"ʔoíddú tamma","oiddutamma","","false",NA,NA,NA
"34","numerals-gofa1235-1-forty-2","numerals-gofa1235-1","Chan2019","forty",40,"ʔoítama","oitama","","false",NA,NA,NA
"35","numerals-gofa1235-1-fifty-1","numerals-gofa1235-1","Chan2019","fifty",50,"ʔitʃtʃáʃú tamma","itstsasutamma","","false",NA,NA,NA
"36","numerals-gofa1235-1-fifty-2","numerals-gofa1235-1","Chan2019","fifty",50,"ʔiʃátama","isatama","","false",NA,NA,NA
"37","numerals-gofa1235-1-sixty-1","numerals-gofa1235-1","Chan2019","sixty",60,"ʔusúppún tamma","usuppuntamma","","false",NA,NA,NA
"38","numerals-gofa1235-1-seventy-1","numerals-gofa1235-1","Chan2019","seventy",70,"laáppún tamma","laappuntamma","","false",NA,NA,NA
"39","numerals-gofa1235-1-eighty-1","numerals-gofa1235-1","Chan2019","eighty",80,"hósppun tamma","hosppuntamma","","false",NA,NA,NA
"40","numerals-gofa1235-1-ninety-1","numerals-gofa1235-1","Chan2019","ninety",90,"ʔuddúfún tamma","uddufuntamma","","false",NA,NA,NA
"41","numerals-gofa1235-1-hundred-1","numerals-gofa1235-1","Chan2019","hundred",100,"tsʼeéta","tseeta","","false",NA,NA,NA
"42","numerals-gofa1235-1-twohundred-1","numerals-gofa1235-1","Chan2019","twohundred",200,"namʔa tsʼeéta","namatseeta","","false",NA,NA,NA
"43","numerals-gofa1235-1-thousand-1","numerals-gofa1235-1","Chan2019","thousand",1000,"mukúla","mukula","","false",NA,NA,NA
"44","numerals-gofa1235-1-thousand-2","numerals-gofa1235-1","Chan2019","thousand",1000,"(ʃáʔa)","saa","( ʃiʔa < Amharic)","true",NA,NA,NA
"45","numerals-gofa1235-1-twothousand-1","numerals-gofa1235-1","Chan2019","twothousand",2000,"namʔa mukúla","namamukula","","false",NA,NA,NA
