,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-nort2724-1-one-1,numerals-nort2724-1,Chan2019,one,1,e44,e44,,false,1,,
2,numerals-nort2724-1-one-2,numerals-nort2724-1,Chan2019,one,1,ɑ31,a31,,false,1′,,
3,numerals-nort2724-1-two-1,numerals-nort2724-1,Chan2019,two,2,kv33,kv33,,false,2,,
4,numerals-nort2724-1-three-1,numerals-nort2724-1,Chan2019,three,3,sɑ̃55,sa55,,false,3,,
5,numerals-nort2724-1-four-1,numerals-nort2724-1,Chan2019,four,4,si44,si44,,false,4,,
6,numerals-nort2724-1-five-1,numerals-nort2724-1,Chan2019,five,5,ŋu33,ngu33,,false,5,,
7,numerals-nort2724-1-six-1,numerals-nort2724-1,Chan2019,six,6,fv44,fv44,,false,6,,
8,numerals-nort2724-1-seven-1,numerals-nort2724-1,Chan2019,seven,7,tɕʰi44,tchi44,,false,7,,
9,numerals-nort2724-1-eight-1,numerals-nort2724-1,Chan2019,eight,8,tɕuɑ44,tcua44,,false,8,,
10,numerals-nort2724-1-nine-1,numerals-nort2724-1,Chan2019,nine,9,tɕi33,tci33,,false,9,,
11,numerals-nort2724-1-ten-1,numerals-nort2724-1,Chan2019,ten,10,tʂeʴ42,tser42,,false,10,,
12,numerals-nort2724-1-eleven-1,numerals-nort2724-1,Chan2019,eleven,11,tʂeʴ42e33,tser42e33,,false,10+1,,
13,numerals-nort2724-1-twelve-1,numerals-nort2724-1,Chan2019,twelve,12,tʂeʴ42kv33,tser42kv33,,false,10+2,,
14,numerals-nort2724-1-thirteen-1,numerals-nort2724-1,Chan2019,thirteen,13,tʂeʴ42sɑ̃55,tser42sa55,,false,10+3,,
15,numerals-nort2724-1-fourteen-1,numerals-nort2724-1,Chan2019,fourteen,14,tʂeʴ42si44,tser42si44,,false,10+4,,
16,numerals-nort2724-1-fifteen-1,numerals-nort2724-1,Chan2019,fifteen,15,tʂeʴ42ŋv33,tser42ngv33,,false,10+5,,
17,numerals-nort2724-1-sixteen-1,numerals-nort2724-1,Chan2019,sixteen,16,tʂeʴ42fv44,tser42fv44,,false,10+6,,
18,numerals-nort2724-1-seventeen-1,numerals-nort2724-1,Chan2019,seventeen,17,tʂeʴ42tɕʰi44,tser42tchi44,,false,10+7,,
19,numerals-nort2724-1-eighteen-1,numerals-nort2724-1,Chan2019,eighteen,18,tʂeʴ42tɕuɑ44,tser42tcua44,,false,10+8,,
20,numerals-nort2724-1-nineteen-1,numerals-nort2724-1,Chan2019,nineteen,19,tʂeʴ42tɕi33,tser42tci33,,false,10+9,,
21,numerals-nort2724-1-twenty-1,numerals-nort2724-1,Chan2019,twenty,20,ku33tʂeʴ42,ku33tser42,,false,2⋅10,,
22,numerals-nort2724-1-twentyone-1,numerals-nort2724-1,Chan2019,twentyone,21,ku33 tʂeʴ42 e44,ku33tser42e44,,false,(2⋅10)+1,,
23,numerals-nort2724-1-twentytwo-1,numerals-nort2724-1,Chan2019,twentytwo,22,ku33 tʂeʴ42 kv33,ku33tser42kv33,,false,(2⋅10)+2,,
24,numerals-nort2724-1-twentythree-1,numerals-nort2724-1,Chan2019,twentythree,23,ku33 tʂeʴ42 sɑ̃55,ku33tser42sa55,,false,(2⋅10)+3,,
25,numerals-nort2724-1-twentyfour-1,numerals-nort2724-1,Chan2019,twentyfour,24,ku33 tʂeʴ42 si44,ku33tser42si44,,false,(2⋅10)+4,,
26,numerals-nort2724-1-twentyfive-1,numerals-nort2724-1,Chan2019,twentyfive,25,ku33 tʂeʴ42 ŋu33,ku33tser42ngu33,,false,(2⋅10)+5,,
27,numerals-nort2724-1-twentysix-1,numerals-nort2724-1,Chan2019,twentysix,26,ku33 tʂeʴ42 fv44,ku33tser42fv44,,false,(2⋅10)+6,,
28,numerals-nort2724-1-twentyseven-1,numerals-nort2724-1,Chan2019,twentyseven,27,ku33 tʂeʴ42 tɕʰi44,ku33tser42tchi44,,false,(2⋅10)+7,,
29,numerals-nort2724-1-twentyeight-1,numerals-nort2724-1,Chan2019,twentyeight,28,ku33 tʂeʴ42 tɕuɑ44,ku33tser42tcua44,,false,(2⋅10)+8,,
30,numerals-nort2724-1-twentynine-1,numerals-nort2724-1,Chan2019,twentynine,29,ku33 tʂeʴ42 tɕi33,ku33tser42tci33,,false,(2⋅10)+9,,
31,numerals-nort2724-1-thirty-1,numerals-nort2724-1,Chan2019,thirty,30,sɑ̃55 tʂeʴ42,sa55tser42,,false,3⋅10,,
32,numerals-nort2724-1-forty-1,numerals-nort2724-1,Chan2019,forty,40,si44 tʂeʴ42,si44tser42,,false,4⋅10,,
33,numerals-nort2724-1-fifty-1,numerals-nort2724-1,Chan2019,fifty,50,ŋv33 tʂeʴ42,ngv33tser42,,false,5⋅10,,
34,numerals-nort2724-1-sixty-1,numerals-nort2724-1,Chan2019,sixty,60,fv44 tʂeʴ42,fv44tser42,,false,6⋅10,,
35,numerals-nort2724-1-seventy-1,numerals-nort2724-1,Chan2019,seventy,70,tɕʰi44 tʂeʴ42,tchi44tser42,,false,7⋅10,,
36,numerals-nort2724-1-eighty-1,numerals-nort2724-1,Chan2019,eighty,80,tɕuɑ44 tʂeʴ42,tcua44tser42,,false,8⋅10,,
37,numerals-nort2724-1-ninety-1,numerals-nort2724-1,Chan2019,ninety,90,tɕi33 tʂeʴ42,tci33tser42,,false,9⋅10,,
38,numerals-nort2724-1-hundred-1,numerals-nort2724-1,Chan2019,hundred,100,pa44,pa44,< Chinese,true,100,,
39,numerals-nort2724-1-twohundred-1,numerals-nort2724-1,Chan2019,twohundred,200,kv33pa44,kv33pa44,,false,2⋅100,,
40,numerals-nort2724-1-thousand-1,numerals-nort2724-1,Chan2019,thousand,1000,tɕʰĩ55,tchi55,< Chinese,true,1000,,
41,numerals-nort2724-1-twothousand-1,numerals-nort2724-1,Chan2019,twothousand,2000,kv33 tɕʰĩ55,kv33tchi55,,false,2⋅1000,,
