,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-sani1269-1-one-1,numerals-sani1269-1,Chan2019,one,1,tʰɪ11,thi11,,false,1,,
2,numerals-sani1269-1-two-1,numerals-sani1269-1,Chan2019,two,2,n̩11,n11,,false,2,,
3,numerals-sani1269-1-three-1,numerals-sani1269-1,Chan2019,three,3,sɤ55,su55,,false,3,,
4,numerals-sani1269-1-four-1,numerals-sani1269-1,Chan2019,four,4,ɬz̯55,lz55,,false,4,,
5,numerals-sani1269-1-five-1,numerals-sani1269-1,Chan2019,five,5,ŋa55,nga55,,false,5,,
6,numerals-sani1269-1-six-1,numerals-sani1269-1,Chan2019,six,6,kʰu22,khu22,,false,6,,
7,numerals-sani1269-1-seven-1,numerals-sani1269-1,Chan2019,seven,7,sɿ11,sr11,,false,7,,
8,numerals-sani1269-1-eight-1,numerals-sani1269-1,Chan2019,eight,8,he22,he22,,false,8,,
9,numerals-sani1269-1-nine-1,numerals-sani1269-1,Chan2019,nine,9,kɯ55,kw55,,false,9,,
10,numerals-sani1269-1-ten-1,numerals-sani1269-1,Chan2019,ten,10,tsʰɪ33,tshi33,,false,10,,
11,numerals-sani1269-1-eleven-1,numerals-sani1269-1,Chan2019,eleven,11,tsʰɪ33tʰɪ11,tshi33thi11,,false,10+1,,
12,numerals-sani1269-1-twelve-1,numerals-sani1269-1,Chan2019,twelve,12,tsʰɪ33n̩11,tshi33n11,,false,10+2,,
13,numerals-sani1269-1-thirteen-1,numerals-sani1269-1,Chan2019,thirteen,13,tsʰɪ33sø33,tshi33so33,,false,10+3,,
14,numerals-sani1269-1-fourteen-1,numerals-sani1269-1,Chan2019,fourteen,14,tsʰɪ33ɬz̯55,tshi33lz55,,false,10+4,,
15,numerals-sani1269-1-fifteen-1,numerals-sani1269-1,Chan2019,fifteen,15,tsʰɪ33ŋa55,tshi33nga55,,false,10+5,,
16,numerals-sani1269-1-sixteen-1,numerals-sani1269-1,Chan2019,sixteen,16,tsʰɪ33kʰu22,tshi33khu22,,false,10+6,,
17,numerals-sani1269-1-seventeen-1,numerals-sani1269-1,Chan2019,seventeen,17,tsʰɪ33sɿ11,tshi33sr11,,false,10+7,,
18,numerals-sani1269-1-eighteen-1,numerals-sani1269-1,Chan2019,eighteen,18,tsʰɪ33he22,tshi33he22,,false,10+8,,
19,numerals-sani1269-1-nineteen-1,numerals-sani1269-1,Chan2019,nineteen,19,tsʰɪ33kɯ55,tshi33kw55,,false,10+9,,
20,numerals-sani1269-1-twenty-1,numerals-sani1269-1,Chan2019,twenty,20,n̩11tsɪ44,n11tsi44,,false,2⋅10,,
21,numerals-sani1269-1-twentyone-1,numerals-sani1269-1,Chan2019,twentyone,21,n̩11 tsɪ44 tʰɪ11,n11tsi44thi11,,false,(2⋅10)+1,,
22,numerals-sani1269-1-twentytwo-1,numerals-sani1269-1,Chan2019,twentytwo,22,n̩11 tsɪ44 n̩11,n11tsi44n11,,false,(2⋅10)+2,,
23,numerals-sani1269-1-twentythree-1,numerals-sani1269-1,Chan2019,twentythree,23,n̩11 tsɪ44 sø33,n11tsi44so33,,false,(2⋅10)+3,,
24,numerals-sani1269-1-twentyfour-1,numerals-sani1269-1,Chan2019,twentyfour,24,n̩11 tsɪ44 ɬz̯55,n11tsi44lz55,,false,(2⋅10)+4,,
25,numerals-sani1269-1-twentyfive-1,numerals-sani1269-1,Chan2019,twentyfive,25,n̩11 tsɪ44 ŋa55,n11tsi44nga55,,false,(2⋅10)+5,,
26,numerals-sani1269-1-twentysix-1,numerals-sani1269-1,Chan2019,twentysix,26,n̩11 tsɪ44 kʰu22,n11tsi44khu22,,false,(2⋅10)+6,,
27,numerals-sani1269-1-twentyseven-1,numerals-sani1269-1,Chan2019,twentyseven,27,n̩11 tsɪ44 sɿ11,n11tsi44sr11,,false,(2⋅10)+7,,
28,numerals-sani1269-1-twentyeight-1,numerals-sani1269-1,Chan2019,twentyeight,28,n̩11 tsɪ44 he22,n11tsi44he22,,false,(2⋅10)+8,,
29,numerals-sani1269-1-twentynine-1,numerals-sani1269-1,Chan2019,twentynine,29,n̩11 tsɪ44 kɯ55,n11tsi44kw55,,false,(2⋅10)+9,,
30,numerals-sani1269-1-thirty-1,numerals-sani1269-1,Chan2019,thirty,30,sø33 tsʰɪ33,so33tshi33,,false,3⋅10,,
31,numerals-sani1269-1-forty-1,numerals-sani1269-1,Chan2019,forty,40,ɬz̯55 tsʰɪ33,lz55tshi33,,false,4⋅10,,
32,numerals-sani1269-1-fifty-1,numerals-sani1269-1,Chan2019,fifty,50,ŋa55 tsʰɪ33,nga55tshi33,,false,5⋅10,,
33,numerals-sani1269-1-sixty-1,numerals-sani1269-1,Chan2019,sixty,60,kʰu22 tsʰɪ33,khu22tshi33,,false,6⋅10,,
34,numerals-sani1269-1-seventy-1,numerals-sani1269-1,Chan2019,seventy,70,sɿ11 tsʰɪ33,sr11tshi33,,false,7⋅10,,
35,numerals-sani1269-1-eighty-1,numerals-sani1269-1,Chan2019,eighty,80,he22 tsʰɪ33,he22tshi33,,false,8⋅10,,
36,numerals-sani1269-1-ninety-1,numerals-sani1269-1,Chan2019,ninety,90,kɯ55 tsʰɪ33,kw55tshi33,,false,9⋅10,,
37,numerals-sani1269-1-hundred-1,numerals-sani1269-1,Chan2019,hundred,100,tʰɪ11 ha33,thi11ha33,,false,1⋅100,,
38,numerals-sani1269-1-twohundred-1,numerals-sani1269-1,Chan2019,twohundred,200,n̩11ha33,n11ha33,,false,2⋅100,,
39,numerals-sani1269-1-thousand-1,numerals-sani1269-1,Chan2019,thousand,1000,tʰɪ11tv̩55,thi11tv55,,false,1⋅1000,,
40,numerals-sani1269-1-twothousand-1,numerals-sani1269-1,Chan2019,twothousand,2000,n̩11tv̩55,n11tv55,,false,2⋅1000,,
