,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-deor1238-1-one-1,numerals-deor1238-1,Chan2019,one,1,tʃɑ,tsa,,false,1,,
2,numerals-deor1238-1-one-2,numerals-deor1238-1,Chan2019,one,1,zɑ,za,,false,1′,,
3,numerals-deor1238-1-two-1,numerals-deor1238-1,Chan2019,two,2,kuni,kuni,,false,2,,
4,numerals-deor1238-1-two-2,numerals-deor1238-1,Chan2019,two,2,kini,kini,,false,2,,
5,numerals-deor1238-1-two-3,numerals-deor1238-1,Chan2019,two,2,huni,huni,,false,2′,,
6,numerals-deor1238-1-two-4,numerals-deor1238-1,Chan2019,two,2,hini,hini,,false,2′,,
7,numerals-deor1238-1-three-1,numerals-deor1238-1,Chan2019,three,3,ŋda,ngda,,false,3,,
8,numerals-deor1238-1-four-1,numerals-deor1238-1,Chan2019,four,4,tʃì,tsi,,false,4,,
9,numerals-deor1238-1-five-1,numerals-deor1238-1,Chan2019,five,5,muwɑ,muwa,,false,5,,
10,numerals-deor1238-1-six-1,numerals-deor1238-1,Chan2019,six,6,tʃu,tsu,,false,6,,
11,numerals-deor1238-1-seven-1,numerals-deor1238-1,Chan2019,seven,7,ʃìŋ,sing,,false,7,,
12,numerals-deor1238-1-eight-1,numerals-deor1238-1,Chan2019,eight,8,tʃe,tse,,false,8,,
13,numerals-deor1238-1-nine-1,numerals-deor1238-1,Chan2019,nine,9,duɡu,dugu,,false,9,,
14,numerals-deor1238-1-ten-1,numerals-deor1238-1,Chan2019,ten,10,duɡa,duga,,false,10,,
15,numerals-deor1238-1-eleven-1,numerals-deor1238-1,Chan2019,eleven,11,muduɡa muzɑ,mudugamuza,,false,{PR}10+{PR}1′,PR stands for prefix.,
16,numerals-deor1238-1-twelve-1,numerals-deor1238-1,Chan2019,twelve,12,muduɡa muhuni,mudugamuhuni,,false,{PR}10+{PR}2′,,
17,numerals-deor1238-1-thirteen-1,numerals-deor1238-1,Chan2019,thirteen,13,muduɡa muŋda,mudugamungda,,false,{PR}10+{PR}3,,
18,numerals-deor1238-1-fourteen-1,numerals-deor1238-1,Chan2019,fourteen,14,muduɡa mudtʃì,mudugamudtsi,,false,{PR}10+{PR}4,,
19,numerals-deor1238-1-fifteen-1,numerals-deor1238-1,Chan2019,fifteen,15,muduɡa mumuwɑ,mudugamumuwa,,false,{PR}10+{PR}5,,
20,numerals-deor1238-1-sixteen-1,numerals-deor1238-1,Chan2019,sixteen,16,muduɡa mutʃu,mudugamutsu,,false,{PR}10+{PR}6,,
21,numerals-deor1238-1-seventeen-1,numerals-deor1238-1,Chan2019,seventeen,17,muduɡa muʃìŋ,mudugamusing,,false,{PR}10+{PR}7,,
22,numerals-deor1238-1-eighteen-1,numerals-deor1238-1,Chan2019,eighteen,18,muduɡa mutʃe,mudugamutse,,false,{PR}10+{PR}8,,
23,numerals-deor1238-1-nineteen-1,numerals-deor1238-1,Chan2019,nineteen,19,muduɡa muduɡu,mudugamudugu,,false,{PR}10+{PR}9,,
24,numerals-deor1238-1-twenty-1,numerals-deor1238-1,Chan2019,twenty,20,kuwɑ-tʃɑ,kuwatsa,(20 x 1),false,20⋅1,,
25,numerals-deor1238-1-twentyone-1,numerals-deor1238-1,Chan2019,twentyone,21,kuwɑtʃɑ muzɑ,kuwatsamuza,,false,(20⋅1)+{PR}1′,,
26,numerals-deor1238-1-twentytwo-1,numerals-deor1238-1,Chan2019,twentytwo,22,kuwɑtʃɑ muhuni,kuwatsamuhuni,,false,(20⋅1)+{PR}2′,,
27,numerals-deor1238-1-twentythree-1,numerals-deor1238-1,Chan2019,twentythree,23,kuwɑtʃɑ muŋda,kuwatsamungda,,false,(20⋅1)+{PR}3,,
28,numerals-deor1238-1-twentyfour-1,numerals-deor1238-1,Chan2019,twentyfour,24,kuwɑtʃɑ mudtʃì,kuwatsamudtsi,,false,(20⋅1)+{PR}4,,
29,numerals-deor1238-1-twentyfive-1,numerals-deor1238-1,Chan2019,twentyfive,25,kuwɑtʃɑ mumuwɑ,kuwatsamumuwa,,false,(20⋅1)+{PR}5,,
30,numerals-deor1238-1-twentysix-1,numerals-deor1238-1,Chan2019,twentysix,26,kuwɑtʃɑ mutʃu,kuwatsamutsu,,false,(20⋅1)+{PR}6,,
31,numerals-deor1238-1-twentyseven-1,numerals-deor1238-1,Chan2019,twentyseven,27,kuwɑtʃɑ muʃìŋ,kuwatsamusing,,false,(20⋅1)+{PR}7,,
32,numerals-deor1238-1-twentyeight-1,numerals-deor1238-1,Chan2019,twentyeight,28,kuwɑtʃɑ mutʃe,kuwatsamutse,,false,(20⋅1)+{PR}8,,
33,numerals-deor1238-1-twentynine-1,numerals-deor1238-1,Chan2019,twentynine,29,kuwɑtʃɑ muduɡu,kuwatsamudugu,,false,(20⋅1)+{PR}9,,
34,numerals-deor1238-1-thirty-1,numerals-deor1238-1,Chan2019,thirty,30,kuwɑ-(ŋ)tʃɑ,kuwangtsa,[(20 x 1)+10],false,?,Looks like the form for 10 is missing.,(20⋅1)+10
35,numerals-deor1238-1-forty-1,numerals-deor1238-1,Chan2019,forty,40,kuwɑ-kini,kuwakini,(20 x 2),false,20⋅2,,
36,numerals-deor1238-1-fifty-1,numerals-deor1238-1,Chan2019,fifty,50,kuwɑ-muwɑ,kuwamuwa,,false,?,,
37,numerals-deor1238-1-sixty-1,numerals-deor1238-1,Chan2019,sixty,60,kuwɑ-ŋda,kuwangda,(20 x 3),false,20⋅3,,
38,numerals-deor1238-1-seventy-1,numerals-deor1238-1,Chan2019,seventy,70,kuwɑ-ʃì(ŋ),kuwasing,,false,?,,
39,numerals-deor1238-1-eighty-1,numerals-deor1238-1,Chan2019,eighty,80,kuwɑ-tʃì,kuwatsi,(20 x 4),false,20⋅4,,
40,numerals-deor1238-1-ninety-1,numerals-deor1238-1,Chan2019,ninety,90,kuwɑ-(du)ɡu,kuwadugu,,false,?,,
41,numerals-deor1238-1-hundred-1,numerals-deor1238-1,Chan2019,hundred,100,kuwɑ- muwa,kuwamuwa,(20 x 5),false,20⋅5,,
42,numerals-deor1238-1-twohundred-1,numerals-deor1238-1,Chan2019,twohundred,200,kuwɑmuwɑ kuwɑmuhini,kuwamuwakuwamuhini,( 20 x 2 ),false,?,,
43,numerals-deor1238-1-thousand-1,numerals-deor1238-1,Chan2019,thousand,1000,kuwɑmuwɑ muduɡa,kuwamuwamuduga,,false,(20⋅5)⋅{PR}10,,
44,numerals-deor1238-1-tenthousand-1,numerals-deor1238-1,Chan2019,tenthousand,10000,kuwɑmuwɑ kuwɑmuwɑ,kuwamuwakuwamuwa,,false,(20⋅5)⋅(20⋅5),,
