,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-chau1259-1-one-1,numerals-chau1259-1,Chan2019,one,1,tig,tig,,false,1,,
2,numerals-chau1259-1-two-1,numerals-chau1259-1,Chan2019,two,2,nisi,nisi,,false,2,,
3,numerals-chau1259-1-three-1,numerals-chau1259-1,Chan2019,three,3,sum,sum,,false,3,,
4,numerals-chau1259-1-four-1,numerals-chau1259-1,Chan2019,four,4,pi,pi,,false,4,,
5,numerals-chau1259-1-five-1,numerals-chau1259-1,Chan2019,five,5,ŋəi,ngai,,false,5,,
6,numerals-chau1259-1-six-1,numerals-chau1259-1,Chan2019,six,6,ʈuɡo,tugo,,false,6,,
7,numerals-chau1259-1-six-2,numerals-chau1259-1,Chan2019,six,6,ʈoɡo,togo,,false,6,,
8,numerals-chau1259-1-seven-1,numerals-chau1259-1,Chan2019,seven,7,nis,nis,,false,7,,
9,numerals-chau1259-1-seven-2,numerals-chau1259-1,Chan2019,seven,7,nisyə,nisya,,false,7,,
10,numerals-chau1259-1-eight-1,numerals-chau1259-1,Chan2019,eight,8,zyəd,zyad,,false,8,,
11,numerals-chau1259-1-nine-1,numerals-chau1259-1,Chan2019,nine,9,ɡui,gui,,false,9,,
12,numerals-chau1259-1-ten-1,numerals-chau1259-1,Chan2019,ten,10,ci,ci,,false,10,,
13,numerals-chau1259-1-eleven-1,numerals-chau1259-1,Chan2019,eleven,11,cəte,cate,,false,10+1,,
14,numerals-chau1259-1-twelve-1,numerals-chau1259-1,Chan2019,twelve,12,cəne,cane,,false,10+2,,
15,numerals-chau1259-1-thirteen-1,numerals-chau1259-1,Chan2019,thirteen,13,cəsum,casum,,false,10+3,,
16,numerals-chau1259-1-fourteen-1,numerals-chau1259-1,Chan2019,fourteen,14,cəpi,capi,,false,10+4,,
17,numerals-chau1259-1-fifteen-1,numerals-chau1259-1,Chan2019,fifteen,15,cəbəŋ,cabang,,false,10+5,,
18,numerals-chau1259-1-sixteen-1,numerals-chau1259-1,Chan2019,sixteen,16,cəʈo,cato,,false,10+6,,
19,numerals-chau1259-1-seventeen-1,numerals-chau1259-1,Chan2019,seventeen,17,cəni,cani,,false,10+7,,
20,numerals-chau1259-1-eighteen-1,numerals-chau1259-1,Chan2019,eighteen,18,cədze,cadze,,false,10+8,,
21,numerals-chau1259-1-nineteen-1,numerals-chau1259-1,Chan2019,nineteen,19,curɡu,curgu,,false,10+9,,
22,numerals-chau1259-1-twenty-1,numerals-chau1259-1,Chan2019,twenty,20,nəsa,nasa,,false,2⋅10′,,
